postcode,nta,staten_island_condominium_property_gross_income_per_sqft,comparable_rental_2_neighborhood,staten_island_condominium_property_total_units,comparable_rental_1_market_value_per_sqft,comparable_rental_1_gross_sqft,comparable_rental_2_est_gross_income,comparable_rental_2_dist_from_coop_in_miles
10306,New Dorp-Midland Beach                                                     ,0,GRASMERE,159,22.79,382560,1890996.0,2.05
10314,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,0,,177,22.22,180495,,
10314,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,0,,37,42.8,43200,,
10305,Old Town-Dongan Hills-South Beach                                          ,0,,100,42.4,74260,,
10301,New Brighton-Silver Lake                                                   ,0,,47,42.4,74260,,
10305,Stapleton-Rosebank                                                         ,0,CLOVE LAKES,102,41.3,107960,1441897.0,2.15
10314,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,0,MARINERS HARBOR,243,22.76,222300,3357337.0,3.45
