bin,healthcodesubsection,regulationsummary,averagepublichealthhazardiolationrate,url
2000540,,There were no new violations observed at the time of this inspection/visit.,6.1285,
3135866,,There were no new violations observed at the time of this inspection/visit.,4.9984,
3084621,,There were no new violations observed at the time of this inspection/visit.,6.1285,universitysettlement.org
3081140,47.27(e),Child care service failed to Notify DOHMH within 24 hours of child with vaccine preventable illness; meningitis or TB or incidence of disease outbreak.,6.1285,
4143650,47.25(a)(1),At time of inspection child care service unable to document that all children enrolled have had an age appropriate medical evaluation.,6.1285,www.irasdaycareinc.com
3107217,131.09(g),Commercial building regularly cleaned; kept clean and in good repair; kept free of overcrowding.,14.2558,www.gych.org
4119270,47.19(c)(2),Uncleared staff observed having unsupervised contact with children. Current SCR clearance is over 2 years old. Documents Not available at time of inspection,6.1285,www.syseit.com
3115676,47.33(b),At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,6.1285,
4051191,47.33(b),At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,6.1285,www.creativediscoverydaycare.com
4175963,,There were no new violations observed at the time of this inspection/visit.,6.1285,
1012047,47.33(b),At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,6.1285,
3019195,,There were no new violations observed at the time of this inspection/visit.,6.1285,www.nykidsclub.com
2059823,47.29(c)(1),"Epi auto injector Not provided, Not maintained or expired.",6.1285,www.ocfnyc.com
4147804,47.19(c)(2),Uncleared staff observed having unsupervised contact with children. Current SCR clearance is over 2 years old. Documents Not available at time of inspection,6.1285,www.aaceny.net
1090264,47.33(b),At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,6.1285,www.brighthorizons.com
4000000,131.09(f),Walls and ceiling in commercial building Not properly constructed; Not maintained in good repair; unclean,23.3017,
2088565,,There were no new violations observed at the time of this inspection/visit.,4.9984,Starbrightdc.com
4461930,47.33(b),At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,4.9984,
1083583,,There were no new violations observed at the time of this inspection/visit.,6.1285,www.hudsonguild.org
2011053,47.23(f)(1),Teacher to child ratios and group size maintained in Group Child Care program,,roundtheclocknursery.org
2098317,,There were no new violations observed at the time of this inspection/visit.,,www.readysetlearn.nyc
2098220,,There were no new violations observed at the time of this inspection/visit.,4.9984,www.sunshinenewyork.com
3141674,,There were no new violations observed at the time of this inspection/visit.,6.1285,
3336446,47.49(a),At time of inspection child care service facility observed Not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,6.1285,www.HeartShare.org
1017811,47.57(c),At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate the potential for exposure to choking hazards by children.,6.1285,www.beginningsnursery.org
4595432,47.41(j),At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,6.1285,
3153095,,There were no new violations observed at the time of this inspection/visit.,14.2558,
4056772,47.57(b),At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,6.1285,
4231222,47.41(j),At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,6.1285,
3170485,43.14,Training certificates maintained on site and available upon request,23.3017,
3000000,43.13(c)(1),School operator arranges for fingerprinting,23.3017,www.bloppy.org
1019603,47.61(e),Child care service fails to store dry goods in insect/rodent proof containers at time of inspection.,6.1285,www.nycpreschool.org
5048033,,There were no new violations observed at the time of this inspection/visit.,6.1285,www.werexplorespreschool.com
1050057,47.57(b),At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,6.1285,www.merricats.org
2094178,47.19(g),"Child care service failed to Notify DOHMH within 24 hours of child abuse allegation/indication or record of criminal activity of individuals associated with child care service; serious injury, death or loss of a child.",6.1285,
3000000,,There were no new violations observed at the time of this inspection/visit.,6.1285,www.nycshiningsmiles.com
1055804,131.09(c),"Plumbing and plumbing fixtures Not properly connected, vented, drained; Not installed and maintained in commercial building",6.1285,www.bilingualnestny.com
2028943,43.14(a),Teaching and supervisory staff trained in abuse/maltreatment identification and reporting. 2 hours of training received every 24 months. Training provided by OCFS approved trainer. New staff trained within 3 months of hire,23.3017,www.sthelenaelementary.com
1087340,,There were no new violations observed at the time of this inspection/visit.,4.9984,tutortime.com
2093518,47.33(c)(1),"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.",6.1285,
4049428,,There were no new violations observed at the time of this inspection/visit.,6.1285,www.thejhelc.com
1084087,47.33(b),At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,6.1285,
4182252,47.25(c),At time of inspection records of enrolled children's periodic medical examination were Not provided or maintained.,6.1285,www.parsonspreschool.org
4258993,47.41(j),At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,6.1285,
3321834,,There were no new violations observed at the time of this inspection/visit.,6.1285,www.sunshinenewyork.com
2126993,47.19(c)(2),Uncleared staff observed having unsupervised contact with children. Current SCR clearance is over 2 years old. Documents Not available at time of inspection,6.1285,www.littledaydreamersdaycare2.com
5089719,,There were no new violations observed at the time of this inspection/visit.,6.1285,www.cscofny.org
