dbn,school_name,qr_4_2,temp_housing_pct,element_score_ri,iep,qr_1_3,pavg_prof_pct_mth_all,rating_tr_disp,qr_1_4,survey_pp_es,survey_pp_se,dates_of_review,enrollment,qr_2_2,superintendent,srte_lre_all,tr_pp_dist,flbl_m_lre_all,ctval_lre_all,white,nval_lre_all,pavg_prof_pct_ela_all,ct_pp_dist,suvey_pp_tr,es_pp_city,ell,hra_elig_pct,flbl_e_chronic_absent_all,val_chronic_absent_all
84X592,Amber Charter School II,No Data,0.156,3.28,0.099,No Data,0.819,Meeting Target,No Data,0.91,0.82,No Data,353,No Data,No Data,Meeting Target,91%,0.19 to 0.37,3.85,0.011,0.321,0.736,86%,0.93,0.91,0.108,0.64,91.7% or higher,0.867
26Q376,P.S. 376,Well Developed,0.034,3.87,0.126,Proficient,No Data,Exceeding Target,Well Developed,1,1,2020-03-19T00:00:00.000,119,Proficient,"GIUNTA, DANIELLE",Not Meeting Target,100%,0.21 to 0.38,1,0.134,0.303,No Data,100%,1,0.91,0.202,0.336,85.5% or higher,0.902
84M338,WHIN Music Community,No Data,0.137,2.05,0.194,No Data,No Data,Approaching Target,No Data,0.57,0.61,No Data,139,No Data,No Data,Meeting Target,87%,0.21 to 0.38,3.1,0.079,0.457,No Data,64%,0.76,0.91,0.165,0.568,85.5% or higher,0.682
25Q242,P.S. 242 Leonard P. Stavisky Early Childhood Schoo,Well Developed,0.008,3.84,0.171,Well Developed,0.858,Meeting Target,Proficient,0.85,0.79,2017-10-01T00:00:00.000,362,Proficient,"DIMANGO, DANIELLE",Approaching Target,93%,0.19 to 0.37,2.65,0.036,0.561,0.756,90%,0.9,0.91,0.356,0.494,91.7% or higher,0.91
28Q349,The Queens School for Leadership and Excellence,Well Developed,0.156,4,0.163,Well Developed,0.714,Approaching Target,Proficient,0.82,0.82,2017-12-01T00:00:00.000,392,Proficient,"SARDUY, MABEL",Approaching Target,91%,0.19 to 0.37,2.44,0.018,0.529,0.709,89%,0.83,0.91,0.196,0.676,91.7% or higher,0.711
10X207,P.S. 207,Well Developed,0.233,2.89,0.243,Well Developed,0.189,Meeting Target,Proficient,0.76,0.69,2018-05-01T00:00:00.000,301,Proficient,"HULLA, MARIBEL",Meeting Target,91%,0.19 to 0.37,3.8,0.073,0.828,0.233,86%,0.85,0.91,0.296,0.837,91.7% or higher,0.648
84X484,Bronx Charter School for Better Learning II,No Data,0.04,3.91,0.104,No Data,0.832,Meeting Target,No Data,0.92,0.92,No Data,298,No Data,No Data,Not Meeting Target,96%,0.19 to 0.37,1,0.003,0.258,0.795,94%,0.91,0.91,0.034,0.466,91.7% or higher,0.838
84Q385,Elm Community Charter School,No Data,0.058,4.42,0.192,No Data,No Data,Exceeding Target,No Data,0.95,0.96,No Data,104,No Data,No Data,No Data,93%,0.21 to 0.38,No Data,0.038,0.652,No Data,90%,0.98,0.91,0.346,0.625,85.5% or higher,0.755
24Q028,P.S. 28 - The Thomas Emanuel Early Childhood Cente,Proficient,0.065,4.06,0.21,No Data,No Data,Exceeding Target,No Data,0.96,0.95,2014-12-15T00:00:00.000,462,Well Developed,"CHAN, MADELENE",Approaching Target,97%,0.21 to 0.38,2.72,0.004,0.697,No Data,94%,0.97,0.91,0.649,0.805,85.5% or higher,0.855
11X483,The Matilda Avenue School,Well Developed,0.258,4.17,0.11,Well Developed,0.819,Exceeding Target,Proficient,0.99,0.94,2018-03-01T00:00:00.000,163,Well Developed,"VAUGHAN, CRISTINE",Approaching Target,96%,0.19 to 0.37,2.39,0.049,0.362,0.736,94%,0.98,0.91,0.049,0.638,91.7% or higher,0.633
30Q228,The Ivan Lafayette Early Childhood School of the A,Well Developed,0.175,4.15,0.216,Proficient,No Data,Exceeding Target,Well Developed,0.97,1,2017-04-01T00:00:00.000,268,Proficient,"COMPOSTO, PHILIP",Approaching Target,96%,0.21 to 0.38,2.94,0.041,0.846,No Data,94%,0.97,0.91,0.534,0.694,85.5% or higher,0.848
28Q303,The Academy for Excellence through the Arts,Well Developed,0.006,4.98,0.166,No Data,0.842,Exceeding Target,No Data,0.97,1,2016-05-19T00:00:00.000,175,Well Developed,"SARDUY, MABEL",Not Meeting Target,91%,0.19 to 0.37,1.86,0.371,0.412,0.907,89%,0.98,0.91,0.017,0.16,91.7% or higher,0.977
84Q375,Success Academy Charter School - Far Rockaway,No Data,0.09,No Data,0.21,No Data,0.939,No Data,No Data,0.97,No Data,No Data,409,No Data,No Data,Exceeding Target,94%,0.19 to 0.37,4.38,0.022,0.566,0.841,86%,0.96,0.91,0.015,0.641,91.7% or higher,No Data
84X588,South Bronx Classical Charter School  IV,No Data,0.143,3.98,0.11,No Data,No Data,Meeting Target,No Data,0.87,0.8,No Data,154,No Data,No Data,Meeting Target,89%,0.21 to 0.38,3.5,0.006,0.204,No Data,76%,0.94,0.91,0.286,0.844,85.5% or higher,0.927
31R062,The Kathleen Grimm School for Leadership and Susta,Well Developed,0.03,4.78,0.201,Well Developed,0.842,Exceeding Target,Well Developed,0.96,0.93,2018-02-01T00:00:00.000,264,Well Developed,"GALLASSIO, VINCENZA",Meeting Target,93%,0.19 to 0.37,3.45,0.814,0.615,0.907,92%,0.96,0.91,0.015,0.174,91.7% or higher,0.849
29Q360,P.S. 360,Proficient,0.059,3.58,0.128,Well Developed,0.869,Exceeding Target,Well Developed,0.98,0.98,2018-02-01T00:00:00.000,187,Proficient,"MITCHELL, BEVERLY",Approaching Target,97%,0.19 to 0.37,2.72,0.0,0.339,0.831,99%,0.97,0.91,0.0,0.369,91.7% or higher,0.915
