pivot-metric,pivot-value,job_filing_number,latitude,longitude,total_fee,designprofessional_city,owner_type,house_number,zip,amount_due,last_objection_date,asbestosabatementcompliance,total_construction_floor
block,1385.0,M00280601-I1,40.770888,-73.96545,0.0,,Private-Tax Exempt,44,10021,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",45
block,908.0,S00389527-I1,40.595807,-74.113145,130.0,GARDEN CITY,Private,121,10304,0,2020-09-18T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",39
block,1264.0,M00609478-I1,40.758736,-73.981266,441.3,FORT LEE,Private,1230,10020,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",61044
no_good_check,,X00144370-I1,40.849793,-73.868874,1544.3,CORONA,Private,1944,10462,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",15
block,876.0,Q00206496-P1,40.776916,-73.92114,1818.5,JAMAICA,Private,23-81,11105,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",200
no_good_check,,Q00336071-I1,40.595196,-73.755477,205.3,,Private,20-26,11691,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",20
no_good_check,,M00513706-I1,40.750122,-73.979114,1070.5,,Private,81,10016,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",20
block,2086.0,Q00265511-I1,40.732518,-73.861459,308.3,,Private,97-02,11374,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",50
block,1271.0,M00298535-I1,40.762421,-73.976684,689.4,BRONX,Private,57,10019,0,,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",100
no_good_check,,M00424335-P1,40.759644,-73.980627,8627.7,FORT LEE,Private,1251,10020,0,2023-02-10T00:00:00.000,"The scope of work is exempt from the asbestos requirement (Reg. promulgated by the NYC DEP (15RCNY 1-23(b)) or is an alteration to a building constructed pursuant to plans submitted for approval on or after April 1, 1987, in accordance with 28-106.1.",106128
