job_filing_number,job_number,bin,gl_company,depacp5controlno,worker_compensation_company,building_type,applicant_city,applicant_license_number,signedoff_date,applicant_businessname,disability_expirationdate
M00324793-I1,M00324793,1007568,PRINCETON EXCESS&SURPLUS,,NEW YORK STATE INS FUND,Other,LONG ISLAND CITY,L - 402001,2020-04-29T00:00:00.000,"TRANSEL ELEV & ELECT,INC",2020-12-31T00:00:00.000
M00643678-I1,M00643678,1084459,ACCREDITED SURETY & CASUA,,NJ MANUFACTURES INS CO,Other,LONG ISLAND CITY,L - 366001,2022-01-04T00:00:00.000,NOUVEAU ELEVATOR IND LLC,2022-12-31T00:00:00.000
M00273794-P1,M00273794,1015090,NATIONAL UNION FIRE INS,,AIU INSURANCE COMPANY,Other,NEW YORK,L - 056001,,OTIS ELEVATOR COMPANY,2021-09-30T00:00:00.000
B00112863-I1,B00112863,3423909,GREAT AMERICAN ALL INS CO,,NEW YORK STATE INS FUND,Other,STATEN ISLAND,L - 598001,2019-03-22T00:00:00.000,T&T TOWER ELEVATOR CO INC,2020-12-31T00:00:00.000
M00283423-I1,M00283423,1086525,ACCREDITED SURETY AND CAS,,ACCREDITED SURETY AND CAS,Other,ASTORAI,L - 249018,2020-08-25T00:00:00.000,CENTENNIAL ELEVATOR INDUS,2022-04-01T00:00:00.000
B00294787-I1,B00294787,3029667,HARTFORD FIRE INSURANCE,,AIU INSURANCE COMPANY,Other,NEW YORK,L - 056099,2022-10-03T00:00:00.000,OTIS ELEVATOR COMPANY,2021-09-30T00:00:00.000
X00714877-P1,X00714877,2128872,OLD REPUBLIC INS CO,,OLD REPUBLIC INS CO,Other,"LONG ISLAND CITY,",L - 038001,,"KONE, INC",2023-12-31T00:00:00.000
M00173266-I1,M00173266,1087207,HDI GLOBAL INSURANCE CO,,INDEMNITY INS CO,Other,NEW YORK,,2021-02-24T00:00:00.000,THYSSENKRUPP ELEV CORPO,2020-12-31T00:00:00.000
X08051291-I1,X08051291,2127444,HDI GLOBAL INS COMPANY,,INDEMNITY INSURANCE COMPANY OF NORTH AMERICA,Other,NEW YORK,L - 610055,,TK ELEVATOR CORPORATION,2023-12-23T00:00:00.000
B00396976-I1,B00396976,3421424,GREAT AMERICAN INS CO,,UNITED WISCONSIN INS CO,Other,MASPETH,L - 537001,2021-09-16T00:00:00.000,ECONOMY ELEVATOR INC,2022-01-01T00:00:00.000
B00226263-I1,B00226263,3341823,CINCINNATI SPECIALTY,,NEW JERSEY MANUFACTURE IN,Other,BROOKLYN,L - 556001,2020-11-21T00:00:00.000,MILLENNIUM ELEV ENT LLC,2021-12-31T00:00:00.000
Q00379215-P1,Q00379215,4618927,HARTFORD FIRE INSURANCE,,AIU INSURANCE COMPANY,Other,NEW YORK,L - 056099,,OTIS ELEVATOR COMPANY,2021-09-30T00:00:00.000
M00294915-I1,M00294915,1023157,HARTFORD FIRE INSURANCE,,AIU INSURANCE COMPANY,Other,NEW YORK,L - 056001,2020-06-16T00:00:00.000,OTIS ELEVATOR COMPANY,2021-09-30T00:00:00.000
M00252029-I1,M00252029,1075794,GREAT AMERICAN INS CO,,NEW YORK STATE INS FUND,Other,WOODSIDE,L - 575001,2020-01-07T00:00:00.000,AC ELEVATOR INDUSTRIES,2020-12-03T00:00:00.000
X00659603-I1,X00659603,2130717,LLOYDS OF LONDON,,NYSIF,Other,WOODSIDE,PE - 071719,2023-02-21T00:00:00.000,TOHFAZ UDDIN PE PC,2022-04-01T00:00:00.000
M00076327-I1,M00076327,1086160,HARTFORD FIRE INSURANCE,,NEW HAMPSHIRE INS CO,Other,NEW YORK,L - 056001,2020-01-03T00:00:00.000,OTIS ELEVATOR COMPANY,2019-09-30T00:00:00.000
Q00749258-P1,Q00749258,4618933,Bridgeway Insurance Company,,NYSIF,Other,NEW YORK,L - 572001,,S & Q ELEVATOR INC,2024-01-29T00:00:00.000
M00105859-I1,M00105859,1018992,GREAT AMERICAN INS CO,,NYSIF,Other,LONG ISLAND CITY,L - 026001,2020-01-20T00:00:00.000,CONSOLIDATED ELE. IND.INC,2020-12-31T00:00:00.000
X00346350-I1,X00346350,2101324,HDI GLOBAL INSURANCE CO,,INDEMNITY INS CO,Other,NEW YORK,,2020-06-09T00:00:00.000,THYSSENKRUPP ELEV CORPO,2020-12-31T00:00:00.000
M00553462-I1,M00553462,1019910,CINCINNATI SPECIALTY,,NYSIF,Other,NEW YORK,L - 074066,2021-11-26T00:00:00.000,NORTH AMERICAN ELEVATOR,2021-12-31T00:00:00.000
B00595356-P2,B00595356,3429520,OLD REPUBLIC INS CO,,OLD REPUBLIC INS CO,Other,"LONG ISLAND CITY,",L - 038001,,"KONE, INC",2022-12-31T00:00:00.000
M00067715-I1,M00067715,1031310,HISCOX INSURANCE COMPANY,,NEW YORK STATE INS FUND,Other,LONG ISLAND CITY,L - 412001,2019-11-07T00:00:00.000,P.S. MARCATO ELEV. CO INC,2020-12-31T00:00:00.000
M08050107-I1,M08050107,1091887,Arch Insurance Co,,Arch Indemnity Insurance Co.,Other,NEW ROCHELLE,PE - 083125,,"UNIVERSAL BUILDERS SUPPLY, LLC",2023-09-30T00:00:00.000
B00323914-I1,B00323914,3117604,GREAT AMERICAN INS CO,,NEW YORK STATE INS FUND,Other,LONG ISLAND CITY,L - 560001,2021-10-12T00:00:00.000,AMBER ELEV INSPECTION INC,2021-07-14T00:00:00.000
M01215333-I1,M01215333,1005750,LLOYDS OF LONDON,,HIGHVIEW NATIONAL INSURANCE COMPANY,Other,BROOKLYN,L - 556001,,MILLENNIUM ELEV ENT LLC,2026-12-31T00:00:00.000
B00376773-I1,B00376773,3179402,NORTHFIELD INSURNCE CO,,NYSIF,Other,BRONX,L - 610114,2021-08-03T00:00:00.000,MERCURY ELEVATOR CORP,2021-07-01T00:00:00.000
M00063005-I1,M00063005,1027141,HISCOX INS COMPANY INC,,NEW YORK STATE INS FUND,Other,LONG ISLAND CITY,L - 366001,2020-08-31T00:00:00.000,NOUVEAU ELEVATOR IND INC,2018-12-31T00:00:00.000
B00043174-I1,B00043174,3329757,CINCINNATI SPECIALTY,,NEW YORK STATE INS FUND,Other,NEW YORK,L - 083131,2021-02-16T00:00:00.000,CHAMPION ELEVATOR CORP,2021-12-31T00:00:00.000
M00324727-I1,M00324727,1024782,LLOYDS OF LONDON,,LIBERTY MUTUAL FIRE INS,Other,OZONE PARK,L - 470001,,ALLIANCE ELEV COMPANY LLC,2021-11-01T00:00:00.000
M00187497-P2,M00187497,1087243,PRINCETON EXCESS & SURP,,EVEREST NATIONAL INS CO,Other,ASTORAI,L - 249018,,CENTENNIAL ELEVATOR INDUS,2021-03-31T00:00:00.000
M00190440-I1,M00190440,1051738,GREAT AMERICAN INS COMPAN,,NEW YORK STATE INS FUND,Other,NEW YORK,L - 509014,2019-11-21T00:00:00.000,"INFINITY ELEVATOR CO, INC",2019-12-31T00:00:00.000
B00210760-I1,B00210760,3422022,GREAT AMERICAN INS COMP,,NATIONAL LIABILITY & FIRE,Other,BRONX,L - 581001,2020-02-10T00:00:00.000,C&C ELEVATOR CONSULTANTS,2020-04-13T00:00:00.000
X00319354-P1,X00319354,212941600.00%,GREAT AMERICAN E & S INS,,NEW YORK STATE INS FUND,Other,OZONE PARK,L - 523001,,L.C.D. ELEVATOR REPAIR IN,2021-03-20T00:00:00.000
M00134815-I1,M00134815,1085969,ACCREDITED SURETY & CASUA,,NJ MANUFACTURES INS CO,Other,LONG ISLAND CITY,L - 366001,2021-02-05T00:00:00.000,NOUVEAU ELEVATOR IND LLC,2021-12-31T00:00:00.000
M00627277-I1,M00627277,1084106,ACCREDITED SURETY AND CAS,,ACCREDITED SURETY AND CAS,Other,ASTORIA,L - 249018,2022-01-11T00:00:00.000,CENTENNIAL ELEVATOR INDUS,2022-04-01T00:00:00.000
M00874483-P1,M00874483,1091067,Arch Insurance Co,,Arch Indemnity Insurance Co.,Other,NEW ROCHELLE,PE - 083125,,"UNIVERSAL BUILDERS SUPPLY, LLC",2023-09-30T00:00:00.000
S00169784-I1,S00169784,5015146,GREAT AMERICAN INS,,NEW YORK STATE INS FUND,Other,BRONX,L - 610072,2019-12-03T00:00:00.000,BERGEN-PASSAIC ELEV OF NY,2020-12-31T00:00:00.000
X00067472-P1,X00067472,2092394,GREAT AMERICANLTY INS CO,,NSIF,Other,BROOKLYN,L - 238001,,"MIDTOWN ELEVATOR CO., INC",2021-12-31T00:00:00.000
M00243696-I1,M00243696,1087473,AMERICAN EMPIRE SURPLUS,,LIBERTY MUTUAL FIRE INS,Other,OZONE PARK,L - 470001,2021-07-22T00:00:00.000,ALLIANCE ELEV COMPANY LLC,2021-11-01T00:00:00.000
M00165310-I1,M00165310,1055592,PRINCETON EXCESS&SURPLUS,,NYSIF,Other,BRONX,L - 564001,,START ELEVATOR LLC,2021-01-19T00:00:00.000
Q00525110-P1,Q00525110,4623857,Accredited Surety & Cas Co i,,NYS Workers Comp Board,Other,NEW YORK,PE - 080957,,A DEGREE OF FREEDOM,2022-08-13T00:00:00.000
X00488545-I1,X00488545,2094699,ACCREDITED SURETY & CASUA,,NJ MANUFACTURES INS CO,Other,LONG ISLAND CITY,L - 366001,2021-08-12T00:00:00.000,NOUVEAU ELEVATOR IND LLC,2021-12-31T00:00:00.000
M00287238-I1,M00287238,1087193,GREAT AMERICAN INS CO,,NEW YORK STATE INS FUND,Other,BRONX,L - 610093,2021-06-25T00:00:00.000,AUTHENTIC ELEVATOR SVCS,2022-07-17T00:00:00.000
M00142369-I1,M00142369,1028253,CINCINNATI SPECIALTY UNDE,,NJ MANUFACTURERS INS GRP,Other,LONG ISLAND CITY,L - 165001,2020-01-06T00:00:00.000,CENTURY ELEV. MAIN. CORP.,2021-01-01T00:00:00.000
Q00317019-I1,Q00317019,4029793,GREAT AMERICAN INS CO,,NEW YORK STATE INS FUND,Other,BROOKLYN,L - 433001,2021-02-17T00:00:00.000,M D ELEVATOR INC,2021-11-24T00:00:00.000
X00422493-I1,X00422493,2003025,CINCINNATI SPECIALTY,,NEW YORK STATE INS FUND,Other,NEW YORK,L - 083131,,CHAMPION ELEVATOR CORP,2021-12-31T00:00:00.000
Q00691866-I1,Q00691866,4090330,GREAT AMERICAN ALLIANCE,,NEW YORK STATE INS FUND,Other,NEW YORK,L - 487003,2022-07-05T00:00:00.000,GOTHAM ELEV INSPECT INC,2022-12-31T00:00:00.000
X00372605-I1,X00372605,2825406,HDI GLOBAL INS COMPANY,,INDEMNITY INS COMP OF,Other,NEW YORK,,2021-08-16T00:00:00.000,THYSSENKRUPP ELEV CORPO,2021-12-31T00:00:00.000
M00371747-I1,M00371747,1046770,ACCREDITED SURETY&CASUALY,,NYSIF,Other,BRONX,L - 564003,2022-02-28T00:00:00.000,START ELEVATOR LLC,2022-12-05T00:00:00.000
M00797302-I1,M00797302,1035071,NATIONAL UNION FIRE INS,,AIU Insurance Company,Other,NEW YORK,L - 056001,2023-03-03T00:00:00.000,OTIS ELEVATOR COMPANY,2023-09-30T00:00:00.000
X00852654-I1,X00852654,2084091,GREAT AMERICAN INS COMPAN,,NY State Workers' Compensation Board,Other,NEW YORK,L - 610050,,LIBERTY ELEVATOR CORP,2024-09-25T00:00:00.000
X01128178-I1,X01128178,2010803,Hotaling Property & Casualty LLC,,New York State Insurance Fund,Other,NEW YORK,L - 083131,,CHAMPION ELEVATOR CORP,2026-07-01T00:00:00.000
Q00212541-I1,Q00212541,4006812,GREAT AMERICAN INSURANCE,,NYSIF,Other,GLENDALE,L - 554005,2021-03-16T00:00:00.000,"ALL-WAYS ELEVATOR, INC",2022-07-11T00:00:00.000
Q00657653-A7,Q00657653,4624116,Peace of Mind Insurance Brokerage LLC,,Peace of Mind Insurance Brokerage LLC,Other,NEW YORK,L - 581005,,G-TECH ELEVATOR ASSOCIATE,2025-09-15T00:00:00.000
B00244888-I1,b00244888,3322342,GREAT AMERICAN INS CO,,NEW YORK STATE INS FUND,Other,BRONX,L - 507001,2020-07-07T00:00:00.000,SOLID STATE ELEVATOR CORP,2020-12-31T00:00:00.000
M00401210-P1,M00401210,1091604,HDI GLOBAL INS COMPANY,,INDEMNITY INS COMP OF,Other,NEW YORK,L - 610055,,TK ELEVATOR CORPORATION,2022-12-31T00:00:00.000
Q00171431-I1,Q00171431,4533202,GEMINI INSURANCE COMPANY,,NEW YORK STATE INS FUND,Other,BRONX,L - 332001,2019-07-30T00:00:00.000,UPLIFT ELEVATOR OF NY INC,2019-08-23T00:00:00.000
