app_id,license_nbr,app_chairs,city,dpqa,send_package_dd,swc_tables,hearing_dd,cp,nan with business_name,Approved with business_name,Pending Review with business_name
6549-2020-RSWC,1305734-DCA,40,REGO PARK,Issued Temp Op Letter,,10,,Pending Review,,,POLLOS MARIO WOODHAVEN CORP.
26581-2019-RSWC,1249523-DCA,38,NEW YORK,Issued Temp Op Letter,2019-09-13T00:00:00.000,19,2019-11-07T00:00:00.000,Pending Review,,,AKRAM RESTAURANT MANAGEMENT INC.
35177-2019-RSWC,2049840-DCA,22,BROOKLYN,Issued Temp Op Letter,2019-12-13T00:00:00.000,11,2020-01-06T00:00:00.000,Pending Review,,,DESSERT PALACE BOSE INC
3758-2020-RSWC,1221041-DCA,32,BROOKLYN,Issued Temp Op Letter,2020-02-25T00:00:00.000,8,2020-04-17T00:00:00.000,Pending Review,,,"LEAHLALA, LLC"
31265-2018-RSWC,2021429-DCA,28,NEW YORK,Approved,2018-12-10T00:00:00.000,14,2019-01-31T00:00:00.000,,,ONE MELON LLC,
26098-2019-RSWC,2055193-DCA,38,NEW YORK,Issued Temp Op Letter,2019-08-30T00:00:00.000,19,2019-10-25T00:00:00.000,Pending Review,,,BARAWINE LLC
19105-2019-RSWC,1412892-DCA,24,NEW YORK,Issued Temp Op Letter,2019-05-09T00:00:00.000,12,2020-04-17T00:00:00.000,Proceed,,,120 U REST. LLC
2373-2020-RSWC,2055688-DCA,58,NEW YORK,Issued Temp Op Letter,2020-02-03T00:00:00.000,27,,Pending Review,,,RENAISSANCE HARLEM CORP
12415-2019-aswc,2091930-DCA,42,BROOKLYN,Under Review,2019-11-01T00:00:00.000,11,,Pending Review,,,ABI GROUP LLC
3852-2019-RSWC,1359208-DCA,10,NEW YORK,Issued Temp Op Letter,2019-01-25T00:00:00.000,4,2019-03-06T00:00:00.000,Pending Review,,,TECTON CAFE INC.
6115-2018-RSWC,1223566-DCA,29,NEW YORK,Issued Temp Op Letter,2018-04-05T00:00:00.000,9,,Proceed,,,"CAFE 71, INC."
18098-2019-RSWC,1414471-DCA,21,NEW YORK,Issued Temp Op Letter,2019-04-19T00:00:00.000,8,2019-05-20T00:00:00.000,Pending Review,,,TRIM CASTLE CORP.
35842-2019-RSWC,1463548-DCA,8,NEW YORK,Process Completed,2019-12-23T00:00:00.000,3,2020-03-12T00:00:00.000,,SOFIA 61ST STREET CORP.,,
6572-2018-RSWC,1022739-DCA,28,NEW YORK,Issued Temp Op Letter,2018-06-18T00:00:00.000,14,2020-01-24T00:00:00.000,Proceed Objections Cured,,,TERMINUS RESTAURANT ASSOCIATES LLC
3682-2020-RSWC,1280217-DCA,8,LONG ISLAND CITY,Issued Temp Op Letter,2020-02-21T00:00:00.000,4,2020-04-17T00:00:00.000,Pending Review,,,CALOUNE CORP.
904-2020-RSWC,1187714-DCA,36,NEW YORK,Issued Temp Op Letter,2020-01-16T00:00:00.000,18,2020-03-25T00:00:00.000,Pending Review,,,"BROADWAY 104, LLC"
31814-2019-RSWC,1454646-DCA,15,NEW YORK,Issued Temp Op Letter,2019-11-12T00:00:00.000,6,,Pending Review,,,PQ 933 BROADWAY INC.
26326-2019-RSWC,1458966-DCA,16,NEW YORK,Issued Temp Op Letter,2019-09-09T00:00:00.000,4,2019-10-29T00:00:00.000,Pending Review,,,"PLAN A GROUP, LLC"
