app_id,final_x,final_y,expiration_date,moo_dd,intake_dd,zip,app_swc_type,state,swc_sq_ft,cc_dd,app_status,business_name2
2797-2020-RSWC,986515,210642,2020-06-29T00:00:00.000,,2020-02-06T00:00:00.000,10010,Unenclosed,NY,270,2020-04-28T00:00:00.000,Pending Review,
12306-2019-ASWC,991841,225604,2022-12-15T00:00:00.000,2020-06-01T00:00:00.000,2019-10-29T00:00:00.000,10024,Unenclosed,NY,297,2020-01-29T00:00:00.000,Application Review Completed,
20735-2019-RSWC,1025511,242464,2020-06-30T00:00:00.000,,2019-05-24T00:00:00.000,10462,Enclosed,NY,603,,Pending Review,SABROSURA
6115-2018-RSWC,989170,222796,2020-03-30T00:00:00.000,,2018-04-04T00:00:00.000,10023,Enclosed,NY,288,,Pending Review,CAFE ARGENTINO
13562-2019-RSWC,1015414,251008,2020-09-10T00:00:00.000,2020-01-23T00:00:00.000,2019-03-12T00:00:00.000,10458,Unenclosed,NY,509,2019-09-05T00:00:00.000,Pending Review,
29629-2019-RSWC,1027125,201977,2020-02-06T00:00:00.000,,2019-10-23T00:00:00.000,11375,Unenclosed,NY,184,,Pending Review,MOCA ASIAN BISTRO
23613-2019-RSWC,997936,223391,2020-03-31T00:00:00.000,,2019-07-11T00:00:00.000,10128,Enclosed,NY,510,,Pending Review,MIDNIGHT EXPRESS
128-2020-RSWC,994386,201298,2020-08-28T00:00:00.000,,2020-01-06T00:00:00.000,11211,Unenclosed,NY,247,2020-04-02T00:00:00.000,Pending Review,
26572-2019-RSWC,996007,200927,2020-03-15T00:00:00.000,,2019-09-13T00:00:00.000,11211,Unenclosed,NY,177,2019-11-28T00:00:00.000,Pending Review,CHARLESTON
438,1007421,217912,2020-05-31T00:00:00.000,,2020-03-04T00:00:00.000,11103,Unenclosed,NY,620,,Pending Review,THE GRAND
1470771-ASWC,989299,217432,2018-05-15T00:00:00.000,,,10019,Enclosed,NY,500,,Pending Review,THE STAGECOACH
17734-2017-RSWC,996424,220674,2020-09-15T00:00:00.000,2020-01-02T00:00:00.000,2017-05-11T00:00:00.000,10075,Enclosed,NY,272,2020-01-02T00:00:00.000,Pending Review,LENWICH
13275-2017-ASWC,1033048,205446,2020-07-01T00:00:00.000,,2017-09-21T00:00:00.000,11367,Enclosed,NY,508,,Pending Review,BRAVO PIZZA
35740-2019-RSWC,994640,200131,2020-04-10T00:00:00.000,,2019-12-18T00:00:00.000,11249,Unenclosed,NY,266,,Pending Review,NITEHAWK CINEMA/ LO-RES
8278-2018-RSWC,990579,225113,2020-03-17T00:00:00.000,,2018-05-10T00:00:00.000,10024,Enclosed,NY,224,,Pending Review,
19105-2019-RSWC,986190,206649,2020-03-31T00:00:00.000,,2019-05-02T00:00:00.000,10003,Enclosed,NY,292,2020-05-08T00:00:00.000,Pending Review,TORTARIA
31938-2019-RSWC,986811,207762,2019-12-15T00:00:00.000,,2019-11-14T00:00:00.000,10003,Small Unenclosed,NY,139,2020-01-27T00:00:00.000,Pending Review,Barn Joo
18905-2019-RSWC,1004434,254348,2020-02-21T00:00:00.000,,2019-04-30T00:00:00.000,10040,Unenclosed,NY,170,2019-07-18T00:00:00.000,Pending Review,POP AND POUR
