comparable_rental_3_total_units,comparable_rental_1_total_units,comparable_rental_3_estimated_expense,nta,bronx_condominiums_comparable_properties_expense_per_sqft,council_district,bronx_condominiums_comparable_properties_estimated_expense,comparable_rental_3_year_built,comparable_rental_2_distance_from_condo_in_miles,comparable_rental_1_building_classification,comparable_rental_1_year_built,comparable_rental_2_full_market_value,comparable_rental_2_market_value_per_sqft,comparable_rental_2_address,comparable_rental_3_boro_block_lot,comparable_rental_1_gross_sqft
28,32,"165,825",Highbridge                                                                 ,6.91,16,167649,1927,1.2,C1-WALK-UP,1924,432000,19.2,1805 DR M L KING JR BOULE,2-02861-0050,21000
 ,45, ,Spuyten Duyvil-Kingsbridge                                                 ,6.99,11,384485, ,0.43,D7-ELEVATOR,1927,1934000,42.62,3855 ORLOFF AVENUE,,42552
 ,97, ,Longwood                                                                   ,4.71,17,593063, ,0.46,D5-ELEVATOR,1923,4635000,41.19,645 PROSPECT AVENUE,,88463
 ,117, ,Longwood                                                                   ,7.09,17,800710, ,2.51,D7-ELEVATOR,1936,4815000,40.13,355 EAST 184 STREET,,123000
108,78,"1,080,504",Spuyten Duyvil-Kingsbridge                                                 ,5.18,11,322973,1938,0.31,D1-ELEVATOR,1951,3432000,31.5,2700 HENRY HUDSON PARKWAY,2-05789-0024,92782
108,78,"1,080,504",Spuyten Duyvil-Kingsbridge                                                 ,5.18,11,181300,1938,0.11,D1-ELEVATOR,1955,3619000,39.01,2675 HENRY HUDSON PARKWAY,2-05789-0024,108955
40,76,"315,271",East Tremont                                                               ,7.94,15,116432,1931,0.08,D7-ELEVATOR,1930,9702000,53.57,883 EAST 180 STREET,2-03128-0013,73824
54,85,"373,925",Parkchester                                                                ,6.47,18,21771401,1930,0.38,D1-ELEVATOR,1936,4004000,30.68,1565 THIERIOT AVENUE,2-03925-0025,78000
44,79,"275,408",Soundview-Castle Hill-Clason Point-Harding Park                            ,5.97,18,132528,1930,1.58,D7-ELEVATOR,1939,2805000,37.45,2010 POWELL AVENUE,2-03716-0036,70500
68,101,"419,099",Bedford Park-Fordham North                                                 ,5.05,11,403596,1930,0.15,D1-ELEVATOR,1965,4201000,39.58,3010 GRAND CONCOURSE,2-03311-0072,101050
 ,108, ,Spuyten Duyvil-Kingsbridge                                                 ,8.85,11,89456, ,0.2,D1-ELEVATOR,1938,643000,85.17,3615 OXFORD AVENUE,,163197
15,20,"40,659",Schuylerville-Throgs Neck-Edgewater Park                                   ,7.68,13,489508,1964,6.68,C9-WALK-UP,1974,2808000,41.36,1132 NELSON AVENUE,2-04199-0037,21318
39,54,"306,682",Morrisania-Melrose                                                         ,6.97,17,691703,1931,0.37,D1-ELEVATOR,1920,1132000,27.61,501 EAST 165 STREET,2-02398-0027,46400
74,108,"397,257",Bronxdale                                                                  ,3.45,15,400890,1959,0.0,D1-ELEVATOR,1954,1518000,19.61,2320 BRONX PARK EAST,2-04337-0064,137350
74,108,"397,257",Bronxdale                                                                  ,3.45,15,439151,1959,0.0,D1-ELEVATOR,1954,1518000,19.61,2320 BRONX PARK EAST,2-04337-0064,137350
 ,27, ,Williamsbridge-Olinville                                                   ,7.89,12,151733, ,0.35,C1-WALK-UP,1927,847000,44.93,800 EAST 223 STREET,,22560
