comparable_rental_1_net_operating_income,bronx_condominiums_comparable_properties_boro_block_lot,comparable_rental_3_full_market_value,comparable_rental_1_estimated_expense,comparable_rental_3_distance_from_condo_in_miles,comparable_rental_3_expense_per_sqft,comparable_rental_2_boro_block_lot,comparable_rental_2_gross_income_per_sqft,census_tract,bronx_condominiums_comparable_properties_condo_section,bronx_condominiums_comparable_properties_gross_income_per_sqft,comparable_rental_2_estimated_gross_income,comparable_rental_2_net_operating_income,longitude,comparable_rental_3_net_operating_income,bronx_condominiums_comparable_properties_gross_sqft,comparable_rental_3_building_classification,comparable_rental_3_estimated_gross_income,comparable_rental_3_market_value_per_sqft
152529,2-02516-7501,"587,000",174432,0.99,7.37,2-02879-0123,14.81,199,0073-R1,15.57,333198,140014,-73.92534,"188,100",24262,C1-WALK-UP,"353,925",26.09
468018,2-05777-7501, ,224771, , ,2-03263-0104,14.87,285,0079-R1,15.58,674935,280578,-73.90362, ,55005, , , 
594620,2-02690-7502, ,644239, , ,2-02674-0051,14.13,12901,0132-R1,10.24,1590276,763333,-73.901137, ,125905, , , 
596183,2-02364-7501, ,596184, , ,2-02688-0036,12.87,71,0099-R1,16.31,966782,300476,-73.912916, ,72000, , , 
54306,2-02980-7501, ,73868, , ,2-02690-0105,14.5,123,0087-R1,13.97,181224,77506,-73.891575, ,10816, , , 
594620,2-02369-7502, ,644239, , ,2-02674-0051,14.13,185,0122-R1,13.36,1590276,763333,-73.908543, ,150121, , , 
373267,2-03929-7501,"1,258,000",286553,0.27,6.92,2-03925-0018,11.16,21602,0023-R2,11.16,1455886,859246,-73.861448,"202,882",1867373,D1-ELEVATOR,"576,807",23.3
166325,2-03103-7501, ,203253, , ,2-03103-0003,15.98,391,0110-R1,16.66,196981,96193,-73.885185, ,48750, , , 
415364,2-02985-7501,"5,344,000",339705,0.28,9.6,2-03124-0001,17.37,359,0125-R1,19.71,3145885,1708764,-73.885486,"746,476",98608,D7-ELEVATOR,"1,455,324",72.39
333740,2-02690-7501, ,501840, , ,2-02690-0173,10.29,12901,0131-R1,10.24,741173,343349,-73.900141, ,72717, , , 
597024,2-03432-7501,"1,551,000",401055,1.7,5.74,2-03801-0001,13.09,4,0033-R6,13.09,980263,532975,-73.854206,"269,282",34516,D7-ELEVATOR,"544,690",32.31
627501,2-05857-7501,"9,207,000",371959,0.5,6.88,2-05909-0163,13.05,345,0019-R1,13.05,3092924,1615433,-73.897969,"1,440,497",71146,D1-ELEVATOR,"3,060,447",39.1
343349,2-02378-7501, ,397824, , ,2-02688-0036,12.87,69,0126-R1,12.81,966782,300476,-73.912873, ,63872, , , 
47532,2-02934-7501, ,79552, , ,2-02690-0105,14.5,151,0086-R1,11.66,181224,77506,-73.899332, ,12319, , , 
110208,2-02742-7501,"2,140,000",114725,0.17,8.96,2-02743-0019,15.24,119,0072-R1,15.24,969157,520008,-73.89034,"311,431",279904,D7-ELEVATOR,"759,513",42.77
108671,2-03261-7501, ,127674, , ,2-04847-0039,15.59,277,0081-R1,15.59,293830,123660,-73.90099, ,21861, , , 
520008,2-02748-7501, ,449149, , ,2-02751-0022,14.0,119,0046-R1,11.5,1238859,594620,-73.889517, ,93600, , , 
