dbn,ethnicity_amerindian_pct_1,teacher_ethnicity_white_pct,n_pct_core_sci_all,val_attendance_k8_all,near_pct_asian,val_chronic_absent_ems_allem,val_pct_accel_p_all,ethnicity_pacific_pct,val_hs_9gr_credits_all,val_pct_accel_try_sci_all,qr_3_1,near_pct_amerindian,ethnicity_asian_pct_dist,val_prof_pct_watn3_mthlevel2,iep,n_pct_core_mth_all,qr_1_2,val_prof_2plus_watn3_elalevel1,n_ele_core_all,val_pct_accelerated_all,val_pct_accel_sci_all,ethnicity_white_pct_dist,val_pct_accel_try_lote_all,cap_sc_pct,val_chronic_absent_ems_alleh,teacher_ethnicity_hispanic,near_pct_pacific,median_distance,principal,val_pct_accel_p_sci_all,rr_p,val_prof_2plus_watn3_mthlevel1,val_ele_core_all,enrollment,ethnicity_hispanic_pct,val_chronic_absent_ems_alleb,eni_pct_k8,gender_female_pct,near_pct_hispanic,dates_of_review,n_prof_pct_watn3_mthlevel34,n_pct_accel_try_sci_all,ethnicity_asian_pct,n_prof_pct_watn5_elalevel2,survey_pp_se,n_pct_accel_mth_all,n_interaction_k8_all,teacher_attendance,rr_s,rating_mth_grade_5_pct_rs,hra_elig_pct
10X226,0.007,0.531,No Data,0.936,0.003,No Data,No Data,0.003,No Data,No Data,Proficient,0.003,0.037,0.208,0.178,No Data,Proficient,No Data,57,No Data,No Data,0.053,No Data,0.045,0.832,0.406,0.003,0.2,GLORIA DARDEN,No Data,6%,0.304,0.941,377,0.759,0.747,0.94,0.507,0.748,2018-03-01T00:00:00.000,13,No Data,0.005,No Data,0.89,No Data,374,0.982,,No Data,0.857
22K203,0.01,0.72,No Data,0.932,0.07,No Data,No Data,0.015,No Data,No Data,Well Developed,0.011,0.166,0.103,0.29,No Data,Proficient,No Data,82,No Data,No Data,0.31,No Data,0.153,0.667,No Data,0.017,0.3,Yocasta Dominguezmiller,No Data,57%,No Data,0.991,524,0.097,0.801,0.687,0.5,0.083,2019-02-01T00:00:00.000,49,No Data,0.071,No Data,0.86,No Data,524,0.984,,No Data,0.628
23K165,0.01,0.192,No Data,0.894,0.005,No Data,No Data,0.0,No Data,No Data,Proficient,0.01,0.009,No Data,0.467,No Data,Developing,No Data,26,No Data,No Data,0.014,No Data,0.139,0.5,No Data,0.003,0.2,Jason Rivers,No Data,88%,No Data,0.907,137,0.197,0.624,0.959,0.423,0.145,2018-05-01T00:00:00.000,7,No Data,0.0,No Data,0.79,No Data,142,0.982,,No Data,0.927
25Q120,0.005,0.823,No Data,0.962,0.771,No Data,No Data,0.001,No Data,No Data,Proficient,0.004,0.562,0.436,0.135,No Data,Proficient,0.167,151,No Data,No Data,0.115,No Data,0.049,0.807,No Data,0.001,0.4,Robert Marino,No Data,65%,0.529,0.991,859,0.159,No Data,0.776,0.501,0.176,2017-01-01T00:00:00.000,87,No Data,0.816,No Data,0.87,No Data,847,0.972,,No Data,0.71
15K676,0.004,0.643,No Data,0.86,0.025,No Data,No Data,0.0,No Data,No Data,Developing,0.003,0.193,No Data,0.433,No Data,Developing,No Data,19,No Data,No Data,0.364,No Data,0.067,0.566,No Data,0.0,0.2,Deanna Thompson,No Data,38%,No Data,0.974,104,0.481,0.444,0.977,0.529,0.514,2017-03-01T00:00:00.000,5,No Data,0.01,No Data,No Data,No Data,111,0.979,,No Data,0.923
09X361,0.004,0.368,371,0.942,0.005,No Data,0,0.0,0.876,0,Proficient,0.003,0.008,No Data,0.274,371,Proficient,No Data,No Data,0,0,0.012,0,0.082,0.819,0.342,0.001,0.3,Kyle Brillante,No Data,3%,No Data,No Data,380,0.766,0.8,0.951,0.503,0.736,2019-02-01T00:00:00.000,No Data,120,0.0,32,0.74,120,377,0.981,92%,2.33,0.895
23K178,0.011,No Data,101,0.878,0.009,No Data,0,0.008,0.765,0,Proficient,0.012,0.008,No Data,0.229,101,Proficient,No Data,No Data,0,0,0.012,0,0.081,0.339,No Data,0.002,0.3,JOSEPH HENRY,No Data,84%,No Data,No Data,258,0.194,0.552,0.932,0.481,0.173,2016-11-01T00:00:00.000,No Data,40,0.012,7,0.7,40,264,0.983,89%,No Data,0.872
02M131,0.004,0.452,297,0.965,0.854,No Data,0,0.0,0.972,0,Proficient,0.0,0.256,No Data,0.234,297,Proficient,No Data,No Data,0,0,0.406,0.226,0.059,0.653,No Data,0.002,0.3,Benjamin Geballe,No Data,27%,No Data,No Data,304,0.151,0.69,0.842,0.408,0.063,2020-03-01T00:00:00.000,No Data,137,0.734,41,0.75,137,316,0.981,77%,3,0.757
27Q306,0.062,0.677,No Data,0.928,0.156,No Data,No Data,0.006,No Data,No Data,Proficient,0.027,0.213,No Data,0.25,No Data,Proficient,No Data,50,No Data,No Data,0.049,No Data,0.109,0.736,0.226,0.008,0.4,Cheryl Ann Leone,No Data,75%,No Data,0.99,340,0.691,0.5,0.721,0.453,0.713,2018-11-01T00:00:00.000,27,No Data,0.179,No Data,0.86,No Data,341,0.975,,No Data,0.656
29Q052,0.042,0.364,No Data,0.904,0.026,No Data,No Data,0.003,No Data,No Data,Proficient,0.021,0.186,0.059,0.251,No Data,Developing,No Data,45,No Data,No Data,0.018,No Data,0.079,0.448,No Data,0.004,0.4,LINDA POUGH,No Data,48%,No Data,0.963,342,0.173,0.664,0.8,0.465,0.203,2017-10-01T00:00:00.000,16,No Data,0.029,No Data,0.75,No Data,338,0.982,,No Data,0.769
