bin,filing_representative_first_name,boiler_equipment_work_type_,initial_cost,little_e,special_inspection_agency_number,house_no,postcode,specialinspectionrequirement,approved_date,place_of_assembly_work_type_,shed,scaffold,lot,street_name,bbl
2002572,SHMUEL,0,150000.0,No,005616,1140,10456.0,"Fire-Resistant Penetrations and Joints,Heating Systems,Mechanical Systems,Post-installed Anchors",2020-12-07T08:23:55.000,0,0,0,14,GRANT AVENUE,2024490014.0
1076258,MU/RO/BR/SE,0,38850.0,No,003028,10,10036.0,Sprinkler Systems,2021-12-01T16:18:36.000,0,0,0,7502,WEST   46 STREET,1012617502.0
3418117,JAFAR,0,4000.0,No,,1314,11213.0,,,0,1,0,16,LINCOLN PLACE,3013900016.0
2129590,John,0,10000.0,Yes,,5921,10471.0,,2024-05-28T09:01:58.000,0,0,0,225,PALISADE AVENUE,2059330225.0
1090681,SUNITA,0,110000.0,No,000678,40,10014.0,"Post-installed Anchors,Structural Stability – Alterations of existing buildings,Structural Steel - Details,Structural Steel - High Strength Bolting,Structural Steel - Welding",2022-01-03T14:13:55.000,0,0,0,1,10 AVENUE,1006460001.0
1033968,KATHERINE,0,7700.0,No,,317,10024.0,,2023-05-26T11:53:26.000,0,0,0,22,WEST   87 STREET,1012490022.0
3049850,KHEMRAJ,0,7000.0,No,,701,11221.0,,,0,1,0,71,LAFAYETTE AVENUE,3017867502.0
1007573,ARIEL,0,20000.0,No,,565,10012.0,,2022-03-22T08:11:44.000,0,0,0,5,BROADWAY,1004980005.0
3418229,,0,37500.0,No,001098,1040,11238.0,Fire-Resistant Penetrations and Joints,2024-05-30T10:18:13.000,0,0,0,7501,DEAN STREET,3011427501.0
1035741,WILLIAM,0,1.0,No,,689,10022.0,,2022-07-19T13:36:18.000,0,0,1,1,5 AVENUE,1012900001.0
1087142,MARTIN,0,14700.0,No,002003,237,10036.0,"Post-installed Anchors,Sprinkler Systems,Tenant Protection Plan Compliance",2025-06-05T12:39:28.000,0,0,0,1,WEST   42 STREET,1010140001.0
2022550,RODOLFO,0,999758.48,No,317,800,10473.0,"Fire-Resistant Penetrations and Joints,Fuel-Oil Storage and Fuel-Oil Piping Systems,Heating Systems,Post-installed Anchors",2023-01-20T11:19:07.000,0,0,0,1,TAYLOR AVENUE,2036410001.0
2128608,JULIAN,0,216750.0,No,7411,828,10455.0,Fire-Resistant Penetrations and Joints,2024-11-13T08:21:44.000,0,0,0,7503,EAST  149 STREET,2025827503.0
1035071,PANAJOT,0,101372.6,No,,9,10019.0,,2024-04-23T09:58:45.000,0,0,0,22,WEST   57 STREET,1012730022.0
1033197,SUNITA,0,100000.0,No,000843,2376,10024.0,Fire-Resistant Penetrations and Joints,2020-08-20T18:51:48.000,0,0,0,7503,BROADWAY,1012347503.0
3329628,HELEN,0,1800.0,No,,630,11206.0,,2021-02-23T10:46:41.000,0,0,0,1,FLUSHING AVENUE,3017200001.0
3426514,JOEL,0,32500.0,Yes,1008,221,11206.0,"Structural Stability – Alterations of existing buildings,Subgrade Inspections",,0,0,0,41,MIDDLETON STREET,3022380041.0
3324292,BERNARD,0,1574865.0,No,"005842,007079",807,11207.0,"Concrete - Cast-In-Place,Fire-Resistant Penetrations and Joints,Masonry,Structural Stability – Alterations of existing buildings,Structural Steel - Details",2021-11-15T15:40:43.000,0,0,0,1,SCHENCK AVENUE,3043550001.0
1057284,MUHAMMAD,0,5000.0,No,,2785,10025.0,,2021-06-02T10:26:47.000,0,0,0,46,BROADWAY,1018920046.0
4617247,MATTHEW,0,1150.0,No,,181-25,11430.0,,2019-06-25T17:37:59.000,0,0,0,70,EASTERN ROAD,4142600070.0
4570298,,0,158730.0,No,,85-15,11373.0,"Fire-Resistant Penetrations and Joints,Tenant Protection Plan Compliance",2023-03-26T20:20:15.000,0,0,0,7501,QUEENS BOULEVARD,4015497501.0
1085962,MARTIN,0,70000.0,No,1102,600,10036.0,Fire-Resistant Penetrations and Joints,2021-10-14T14:20:43.000,0,0,0,7502,WEST   42 STREET,1010897502.0
3117411,JOEL,0,10000.0,No,008524,2731,11226.0,Structural Stability – Alterations of existing Buildings,2025-02-07T09:19:11.000,0,0,0,61,ALBEMARLE ROAD,3051110061.0
3425954,STEVEN,0,100.0,Yes,,125,11211.0,,2023-04-18T17:10:32.000,0,0,0,1,BORINQUEN PLACE,3024110001.0
4624969,JOEL,0,0.0,No,,909,11691.0,"Excavations - Sheeting, Shoring, and Bracing,Structural Stability – Alterations of existing buildings,Structural Steel - Details,Structural Steel - Welding,Subsurface Investigations (Borings/Test Pits)",2024-05-06T12:21:25.000,0,0,0,24,CORNAGA AVENUE,4155720024.0
2077929,SHAVONN,0,10000.0,No,,925,10465.0,,,0,0,0,11,DEAN AVENUE,2054690011.0
1091742,,0,203626.0,No,"001371,1371,666",105,10012.0,"Construction Operations Influencing Adjacent Structures,Fire-Resistant Penetrations and Joints,Mastic and Intumescent Fire-resistant Coatings,Structural Stability – Alterations of existing buildings,Tenant Protection Plan Compliance",2024-04-25T12:17:40.000,0,0,0,7505,GREENE STREET,1005007505.0
3020427,EARL,0,95000.0,No,"004099,1579,4099",39,11215.0,"Concrete - Cast-In-Place,Helical Piles Foundation (BB # 2014-020),Masonry,Post-installed Anchors,Structural Stability – Alterations of existing buildings,Subgrade Inspections,Subsurface Conditions – Fill Placement & In-Place Density,Subsurface Investigations (Borings/Test Pits)",2023-03-07T08:52:24.000,0,0,0,55,GARFIELD PLACE,3009610055.0
2012452,,0,6000.0,No,006232,2316,10458.0,Fire-Resistant Penetrations and Joints,2022-04-26T15:55:46.000,0,0,0,7,HUGHES AVENUE,2030870007.0
1041224,,0,1000.0,No,,58,10065.0,,2020-05-01T09:02:08.000,0,1,1,37,EAST 68 STREET,1013820037.0
4238813,,0,5250.0,No,,102-35,11429.0,,2023-03-31T11:37:41.000,0,0,0,1,212 STREET,4110860001.0
3179500,,0,6000.0,No,001514,1212,11230.0,"Fire-Resistant Penetrations and Joints,Private On-Site Storm Water Disposal Systems-, and Detention Facilities, Installation",2023-05-26T11:10:54.000,0,0,0,4,AVENUE I,3067050004.0
4623682,JOEL,0,1000.0,No,710,45-19,11101.0,"Fire-Resistant Penetrations and Joints,Private On-Site Storm Water Disposal Systems-, and Detention Facilities, Installation",2023-11-15T10:39:17.000,0,0,0,13,DAVIS STREET,4000850013.0
3429687,SUNITA,0,0.0,Yes,,500,11217.0,,2025-06-27T13:06:25.000,1,0,0,1,DEGRAW STREET,3004240001.0
5053638,ZHEN RONG,0,50000.0,No,0965,261,10306.0,Fire-Resistant Penetrations and Joints,2025-01-27T11:51:42.000,0,0,0,40,RUDYARD STREET,5036990040.0
4087555,QIUYUAN,0,1000.0,No,,65-07,11385.0,,2022-10-26T13:52:14.000,0,0,0,7,FRESH POND ROAD,4036110007.0
1014262,MATTHEW,0,200.0,No,,205,10001.0,,2025-07-09T09:15:16.000,0,0,0,36,WEST   28 STREET,1007780036.0
1009861,STACEY,0,6000.0,No,000915,18,10014.0,Fire-Resistant Penetrations and Joints,2025-02-13T09:28:16.000,0,0,0,23,GROVE STREET,1005850023.0
4050630,KATHERINE,0,162500.0,No,,99-01,11374.0,,2020-09-25T15:48:21.000,0,0,0,5,63 ROAD,4021100005.0
3022472,WINSTON,0,500.0,No,,258,11215.0,,,0,0,0,28,10 STREET,3010150028.0
1031957,,0,30000.0,No,7746,159,10024.0,"Chimneys and vents,Mechanical Systems,Tenant Protection Plan Compliance",2023-08-11T12:21:43.000,0,0,0,10,WEST   80 STREET,1012110010.0
