participated,ge10,sp0217,politicalparty_15,politicalparty_12,borocode_16,civilcourtdistrict_16,politicalparty_18,pr08,pr0616,electiondistrict_11,congressdistrict_15,assemblydistrict_17,nta_16,ct2010_11,registrationyear,councildistrict_11,eligible,ge12,councildistrict_09,councildistrict_16,congressdistrict_09,politicalparty_08,weights,congressdistrict_11,nta_13,sp0609,communitydistrict_16,senatedistrict_12,pr0912
3,0.0,,REP,REP,5.0,1.0,REP,0.0,,85.0,11.0,63.0,SI22,17010.0,2004,51.0,19,0.0,51.0,49.0,13.0,REP,0.59375,13.0,SI07,,501.0,23.0,
0,0.0,,DEM,DEM,2.0,1.0,DEM,,,9.0,14.0,82.0,BX37,25400.0,1979,13.0,22,0.0,13.0,13.0,7.0,DEM,0.6875,7.0,BX37,,211.0,34.0,
18,1.0,,DEM,DEM,2.0,2.0,DEM,,,56.0,16.0,81.0,BX22,34500.0,1992,11.0,23,0.0,11.0,11.0,17.0,DEM,0.71875,17.0,BX22,,208.0,34.0,
1,,,,,1.0,4.0,REP,,,,,73.0,MN19,,2016,,3,,,5.0,,,0.09375,,,,106.0,,
3,0.0,,DEM,DEM,2.0,1.0,DEM,,,3.0,16.0,82.0,BX13,36300.0,2002,15.0,24,1.0,15.0,12.0,16.0,DEM,0.75,16.0,BX17,,210.0,32.0,0.0
2,0.0,,DEM,DEM,2.0,2.0,DEM,0.0,0.0,24.0,13.0,78.0,BX05,40302.0,2000,15.0,27,1.0,15.0,15.0,16.0,DEM,0.84375,16.0,BX05,,207.0,33.0,0.0
7,1.0,,BLK,BLK,1.0,7.0,BLK,,,22.0,13.0,71.0,MN04,23501.0,2000,7.0,11,1.0,7.0,7.0,15.0,BLK,0.34375,15.0,MN04,,109.0,30.0,
5,,,IND,,3.0,6.0,DEM,,,,8.0,36.0,BK42,,2014,,9,,,40.0,,,0.28125,,,,314.0,,
2,,,,,,,DEM,,,,,,,,2018,,3,,,,,,0.09375,,,,,,
3,,,,,,,DEM,,,,,72.0,,,2017,,4,,,,,,0.125,,,,,,
0,0.0,,DEM,DEM,3.0,4.0,DEM,0.0,,89.0,9.0,55.0,BK81,89200.0,2004,41.0,25,0.0,41.0,41.0,11.0,DEM,0.78125,11.0,BK81,,316.0,20.0,0.0
0,,,BLK,BLK,3.0,7.0,BLK,,,,7.0,54.0,BK77,,2012,,6,0.0,,37.0,,,0.1875,,BK77,,304.0,18.0,
3,0.0,,DEM,IND,2.0,1.0,DEM,,,106.0,16.0,83.0,BX44,105804.0,2002,42.0,15,0.0,42.0,12.0,10.0,IND,0.46875,10.0,BK93,,212.0,19.0,
2,,,,,,,DEM,,,,,,,,2018,,2,,,,,,0.0625,,,,,,
15,1.0,,DEM,DEM,3.0,2.0,DEM,1.0,,106.0,8.0,57.0,BK75,23300.0,1992,36.0,24,1.0,36.0,35.0,10.0,DEM,0.75,10.0,BK75,,303.0,25.0,0.0
0,,,,,,,DEM,,,,,,,,2018,,1,,,,,,0.03125,,,,,,
1,,,DEM,,3.0,5.0,DEM,,0.0,,7.0,51.0,BK32,,2015,,7,,,38.0,,,0.21875,,,,307.0,,
11,0.0,,DEM,DEM,3.0,8.0,DEM,0.0,,61.0,8.0,59.0,BK45,69601.0,1992,46.0,25,1.0,46.0,46.0,10.0,DEM,0.78125,10.0,BK45,,318.0,19.0,
2,0.0,,DEM,DEM,4.0,2.0,DEM,,,3.0,14.0,35.0,QN28,34700.0,2008,21.0,22,1.0,21.0,21.0,7.0,DEM,0.6875,7.0,QN28,,403.0,13.0,
1,0.0,,DEM,DEM,1.0,7.0,DEM,,0.0,95.0,13.0,69.0,MN09,20901.0,1984,7.0,25,0.0,7.0,7.0,15.0,DEM,0.78125,15.0,MN09,,109.0,30.0,
