civilcourtdistrict_18,assemblydistrict_13,politicalparty_17,ct2010_14,senatedistrict_10,communitydistrict_08,sp13,politicalparty_11,ge18,sp15,senatedistrict_17,participation_score_2018,electiondistrict_18,pr0916,ro09,congressdistrict_12,borocode_09,ct2000_08,borocode_14,councildistrict_08,nta_12,ct2010_16,congressdistrict_18,pr09,age,borocode_13,electiondistrict_16,assemblydistrict_09,sp0210,ge13,politicalparty_14,borocode_15,councildistrict_10,councildistrict_13,ro13,communitydistrict_18,electiondistrict_09,pr17,borocode_18,sp12
1,63.0,REP,18901.0,24.0,503.0,,REP,1.0,0.0,23.0,15.7894736842105,80,,,11.0,5.0,17010.0,5.0,51.0,SI37,14100.0,11,,45,5.0,19.0,63.0,,0.0,REP,5.0,51.0,50.0,,501,85.0,,5,
1,82.0,DEM,25400.0,34.0,211.0,,DEM,0.0,,34.0,0.0,57,,0.0,14.0,2.0,25400.0,2.0,13.0,BX37,25400.0,14,0.0,58,2.0,57.0,80.0,,0.0,DEM,2.0,13.0,13.0,0.0,211,9.0,0.0,2,
2,81.0,DEM,34500.0,34.0,208.0,,DEM,1.0,,34.0,78.2608695652174,56,,0.0,16.0,2.0,34500.0,2.0,11.0,BX22,34500.0,16,1.0,84,2.0,56.0,81.0,,1.0,DEM,2.0,11.0,11.0,1.0,208,56.0,0.0,2,
4,,REP,,,,,,0.0,,28.0,33.3333333333333,39,,,,,,,,,10800.0,12,,28,,39.0,,,,,,,,,106,,,1,
1,87.0,DEM,30200.0,36.0,206.0,,DEM,0.0,,36.0,12.5,66,0.0,0.0,15.0,2.0,36300.0,2.0,15.0,BX17,30200.0,16,0.0,34,2.0,66.0,76.0,,0.0,DEM,2.0,15.0,17.0,0.0,210,3.0,0.0,2,
2,78.0,DEM,40302.0,33.0,207.0,,DEM,0.0,,33.0,7.40740740740741,25,0.0,0.0,13.0,2.0,40302.0,2.0,15.0,BX05,40302.0,13,0.0,93,2.0,25.0,78.0,,1.0,DEM,2.0,15.0,15.0,0.0,207,24.0,0.0,2,
7,71.0,BLK,23501.0,30.0,109.0,,BLK,1.0,,30.0,63.6363636363636,26,,,13.0,1.0,23501.0,1.0,7.0,MN04,23501.0,13,,53,1.0,26.0,71.0,,0.0,BLK,1.0,7.0,7.0,,109,22.0,,1,
1,,DEM,38300.0,,,,,1.0,,12.0,55.5555555555556,19,0.0,,,,,3.0,,,51002.0,12,,28,,16.0,,,,IND,3.0,,,,401,,1.0,4,
1,,,,,,,,1.0,,,66.6666666666667,76,,,,,,,,,,11,,27,,,,,,,,,,,501,,,5,
7,,DEM,,,,,,1.0,,31.0,75.0,34,,,,,,,,,,13,,68,,,,,,,,,,,112,,1.0,1,
