borocode_08,councildistrict_17,pr15,civilcourtdistrict_13,politicalparty_13,sp0409,assemblydistrict_11,ge11,civilcourtdistrict_11,pr13,nta_08,communitydistrict_12,assemblydistrict_15,civilcourtdistrict_10,pp16,congressdistrict_10,senatedistrict_11,councildistrict_18,assemblydistrict_10,communitydistrict_09,senatedistrict_14,nta_11,sp11,councildistrict_15,ct2010_17,electiondistrict_10,senatedistrict_18,ge17,communitydistrict_17,nta_17,assemblydistrict_14,congressdistrict_17,pr0618,politicalparty_09,electiondistrict_12
5.0,49.0,,1.0,REP,,63.0,0.0,2.0,0.0,SI48,501.0,63.0,2.0,0.0,13.0,24.0,49,63.0,503.0,24.0,SI48,,50.0,30301.0,85.0,23,1.0,501.0,SI12,63.0,11.0,0.0,REP,52.0
2.0,13.0,,1.0,DEM,0.0,80.0,0.0,1.0,0.0,BX37,211.0,82.0,1.0,0.0,7.0,34.0,13,80.0,211.0,34.0,BX37,,13.0,25400.0,9.0,34,0.0,211.0,BX37,82.0,14.0,0.0,DEM,57.0
2.0,11.0,,2.0,DEM,1.0,81.0,1.0,2.0,1.0,BX22,208.0,81.0,2.0,1.0,17.0,34.0,11,81.0,208.0,34.0,BX22,,11.0,34500.0,56.0,34,0.0,208.0,BX22,81.0,16.0,0.0,DEM,56.0
,5.0,,,,,,,,,,,,,,,,5,,,,,,,10800.0,,28,0.0,106.0,MN19,,12.0,,,
2.0,12.0,,1.0,DEM,0.0,76.0,0.0,1.0,0.0,BX17,206.0,82.0,1.0,0.0,16.0,36.0,12,76.0,206.0,36.0,BX17,,12.0,30200.0,3.0,36,0.0,210.0,BX13,82.0,16.0,0.0,DEM,7.0
2.0,15.0,,2.0,DEM,0.0,78.0,0.0,2.0,0.0,BX05,207.0,78.0,2.0,0.0,16.0,33.0,15,78.0,207.0,33.0,BX05,,15.0,40302.0,24.0,33,0.0,207.0,BX05,78.0,13.0,,DEM,25.0
1.0,7.0,,7.0,BLK,,71.0,0.0,7.0,,MN04,109.0,71.0,7.0,,15.0,30.0,7,71.0,109.0,30.0,MN04,,7.0,23501.0,22.0,30,1.0,109.0,MN04,71.0,13.0,,BLK,26.0
,22.0,,,,,,,,,,,56.0,,0.0,,,22,,,25.0,,,41.0,6501.0,,12,0.0,401.0,QN70,56.0,12.0,0.0,,
,,,,,,,,,,,,,,,,,49,,,,,,,,,23,,,,,,1.0,,
,10.0,,,,,,,,,,,,,,,,10,,,,,,,27900.0,,31,1.0,112.0,MN35,,13.0,,,
3.0,41.0,,4.0,DEM,,55.0,0.0,4.0,0.0,BK81,316.0,55.0,4.0,0.0,11.0,19.0,41,55.0,316.0,20.0,BK81,,41.0,89200.0,89.0,20,0.0,316.0,BK81,55.0,9.0,0.0,DEM,94.0
,37.0,,7.0,BLK,,,,,,,304.0,54.0,,,,,37,,,18.0,,,37.0,43700.0,,18,0.0,304.0,BK77,54.0,7.0,,,37.0
3.0,12.0,,4.0,IND,,40.0,0.0,4.0,,BK93,305.0,83.0,4.0,0.0,10.0,19.0,12,40.0,305.0,36.0,BK93,,12.0,38000.0,106.0,36,0.0,212.0,BX44,83.0,16.0,0.0,IND,78.0
,,,,,,,,,,,,,,,,,40,,,,,,,,,20,,,,,,,,
3.0,35.0,,2.0,DEM,,57.0,0.0,2.0,1.0,BK75,303.0,57.0,2.0,1.0,10.0,18.0,35,57.0,303.0,25.0,BK75,,35.0,23300.0,106.0,25,1.0,303.0,BK75,57.0,8.0,,DEM,33.0
,,,,,,,,,,,,,,,,,8,,,,,,,,,29,,,,,,,,
