location,longitude,createddate,srresolution,descriptor1,stateassembly,:@computed_region_sbqj_enih,communityboard,srcallertype,callerzipcode,citycouncil,complaintnumber,taxclass
"{'type': 'Point', 'coordinates': [-73.88373136484792, 40.688094354241464]}",,2022-07-27T01:26:01,Work Priority Category - D,,,62.0,405.0,,,,,
"{'type': 'Point', 'coordinates': [-73.77236486649191, 40.756625329139005]}",,2020-12-10T20:34:00,Work Completed,,,69.0,411.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.91640349450526, 40.67901787243435]}",,2021-04-28T14:20:08,,Hitting Building,55.0,46.0,316.0,,,41.0,311-06097017,
"{'type': 'Point', 'coordinates': [-73.94767977887112, 40.66044871478176]}",-73.947417,2022-09-07T03:39:01,,Blocking Street,43.0,44.0,309.0,,,40.0,311-11660029,
"{'type': 'Point', 'coordinates': [-73.91165796650793, 40.65794540780634]}",-73.91191,2023-06-28T21:58:27,,Blocking Street,55.0,46.0,316.0,,,41.0,311-14979491,
"{'type': 'Point', 'coordinates': [-74.14102972174692, 40.608448288374674]}",,2022-05-17T13:05:00,Work Priority Category - D,,63.0,75.0,501.0,"Business

Business",,50.0,,
"{'type': 'Point', 'coordinates': [-73.81968120042113, 40.71026411179295]}",,2022-02-10T15:19:04,Work Priority Category - C,,,65.0,408.0,,,,,
"{'type': 'Point', 'coordinates': [-73.83760410041617, 40.74705973243962]}",,2019-10-07T17:49:00,Work Completed,,,68.0,481.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.88116660951998, 40.82454979884783]}",,2022-04-10T17:11:22,Inspected - No Work Order,,,26.0,209.0,,,,,
"{'type': 'Point', 'coordinates': [-73.94069918197961, 40.6622911900956]}",,2022-06-18T11:05:00,Work Completed,,,44.0,309.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.96786217733052, 40.7068126954052]}",,2022-11-12T15:53:00,Work Priority Category - C,,,56.0,301.0,"Business

Business",,,,
"{'type': 'Point', 'coordinates': [-73.90642153677868, 40.69764762944246]}",-73.906607,2016-10-13T14:42:00,Planting Declined - Unplantable,,38.0,62.0,405.0,,,34.0,,
"{'type': 'Point', 'coordinates': [-74.10380183990904, 40.5955053540152]}",-74.103628,2015-09-23T19:32:00,Reviewed - Block Pruning,,63.0,76.0,502.0,,,50.0,,
