property_id,property_id_1,postcode,senior_care_community_living,data_center_ups_system,retail_store_walk_in,data_center_it_site_energy,data_center_it_equipment,percent_of_total_electricity,parent_property_id,longitude,alert_energy_meter_has_gaps,nyc_building_identification,non_refrigerated_warehouse,data_quality_checker_date,last_modified_date_water,multifamily_housing_number_7,largest_property_use_type_1,estimated_data_flag_fuel_1,outpatient_rehabilitation,primary_property_type,urgent_care_clinic_other,estimated_values_energy,council_district,college_university_gross,self_storage_facility_gross,alert_gross_floor_area_is,social_meeting_hall_gross,hotel_room_density_number,financial_office_weekly,other_weekly_operating_hours,largest_property_use_type,financial_office_number_of_1,k_12_school_gross_floor_area,food_sales_gross_floor_area,municipally_supplied_potable_2,water_use_all_water_sources,multifamily_housing_number,nta,multifamily_housing_percent_1,financial_office_number_of
3264952,3264952,10036,,,,,,,,-73.981429,Ok,1085873,,2018-02-19T00:00:00.000,03/12/2018 04:35 PM EDT,,293966.0,,,Hotel,,No,4.0,,,Ok,,1.3539,,,Hotel,,,,,21234.0,,Midtown-Midtown South,,
5789747,5789747,10453,,,,,,,,-73.924136,Ok,2814098,,,02/13/2018 12:22 PM EST,1.02724,95401.0,,,Multifamily Housing,,No,16.0,,,Ok,,,,,Multifamily Housing,,,,,8012.4,133.56,University Heights-Morris Heights,100.0,
2662181,2662181,10019,,,,,,,,-73.977842,Ok,1023759,,,,0.0,317234.0,,,Multifamily Housing,,No,4.0,,,Ok,,,,84.0,Multifamily Housing,,,,,,406.0,Midtown-Midtown South,100.0,
3274282,3274282,104575105,,,,,,,,-73.889246,Ok,2012632,,2018-02-20T00:00:00.000,,,82856.0,,,Other,,No,17.0,,,Ok,,,,,Other,,,,,974348.4,,East Tremont,,
4406023,4406023,10007,,,0.0,,,,,-74.009378,Ok,1001227,,2018-04-03T00:00:00.000,03/09/2018 12:49 PM EST,,1066192.0,,,Office,,No,1.0,,,Ok,,,,,Office,,,,,22083.2,,Battery Park City-Lower Manhattan,,
5846549,5846549,10460,,,,,,,5846549.0,-73.881107,Ok,2101907;2013248;2112834;2101193;2092385;2092386;,,,,0.31902,532888.0,No,,Multifamily Housing,,No,15.0,,,Ok,,,,,Multifamily Housing,,,,,,1168.0,East Tremont,,
4624722,4624722,11222,,,,,,5.254538,,-73.955442,Ok,3063673,,2018-02-15T00:00:00.000,02/15/2018 12:50 PM EST,,360000.0,,,Manufacturing/Industrial Plant,,Yes,33.0,,,Ok,,,,,Manufacturing/Industrial Plant,,,,,1572.0,,Greenpoint,,
5052689,5052689,10023,,,,,,,,-73.989916,Ok,1030313,,,,,58272.0,,,K-12 School,,No,6.0,,,Ok,,,,,K-12 School,,58272.0,,,,,Lincoln Square,,
2817671,2817671,10468,,,,,,,,-73.899501,Ok,2015299,,,,0.2807,57000.0,No,,Multifamily Housing,,No,14.0,,,Ok,,,,,Multifamily Housing,,,,,,79.0,Van Cortlandt Village,90.0,
2701949,2701949,10012,,,,,,,,-74.001807,Ok,1007309,,2018-03-22T00:00:00.000,03/15/2018 11:59 AM EDT,,70000.0,No,,Office,,No,1.0,,,Ok,,,,,Office,,,,,,,SoHo-TriBeCa-Civic Center-Little Italy,,
6263139,6263139,10467,,,,,,,,,Ok,2057043,,,,0.31341,127629.0,,,Multifamily Housing,,No,,,,Ok,,,,,Multifamily Housing,,,,,,178.68,,100.0,
2792662,2792662,11373,,,,,,,,-73.878529,Ok,400200,,,04/03/2018 01:49 PM EDT,1.28664,64509.0,,,Multifamily Housing,,Yes,25.0,,,Ok,,,,,Multifamily Housing,,,,,1062233.7,72.0,Elmhurst,100.0,
2646028,2646028,11375,,,,,,,,-73.852016,Ok,4051250,,2018-03-25T00:00:00.000,03/25/2018 06:50 PM EDT,,190934.0,,,Hospital (General Medical & Surgical),,No,29.0,,,Ok,,,,,Hospital (General Medical & Surgical),,,,,0.0,,Forest Hills,,
2.664118E+6,2664118,10022,,,0.0,,,,,-73.961705,Ok,1040637,,,02/13/2018 12:30 PM EST,0.0,903532.0,,,Multifamily Housing,,No,5.0,,,Ok,,,,,Multifamily Housing,,,,,47279.9,1035.0,Turtle Bay-East Midtown,100.0,
4848996,4848996,10010,,,,,,,,-73.985031,Ok,1018090,,,02/13/2018 12:27 PM EST,0.06667,75000.0,,,Multifamily Housing,,No,2.0,,,Ok,,,,,Multifamily Housing,,,,,539.3,40.0,Gramercy,80.0,
6227760,6227760,11209,,,,,,,,-74.027841,Ok,6227760,,,03/19/2018 03:38 PM EDT,,30000.0,,,Other - Mall,,No,43.0,,,Ok,,,,,Other - Mall,,,,,757.6,,Bay Ridge,,
6247708,6247708,10452,,,,,,,,-73.930475,Ok,2003444,,,,0.2982,36888.0,,,Multifamily Housing,,No,8.0,,,Ok,,,,,Multifamily Housing,,,,,,51.64,Highbridge,100.0,
4938305,4938305,10029,,,,,,,4938305.0,-73.94694,Ok,1052015; 1052058,,2018-03-01T00:00:00.000,,,180300.0,No,,Other,,No,8.0,,,Ok,,,,66.0,Other,,,,,5384.5,,East Harlem South,,
6187159,6187159,10033,,,,,,,,-73.930073,Ok,1063579,,2018-03-01T00:00:00.000,03/01/2018 08:20 AM EST,,26260.0,,,College/University,,No,10.0,26260.0,,Ok,,,,,College/University,,,,,2.1,,Washington Heights North,,
2989315,2989315,11209,,,,,,,,-74.040822,Ok,3153885,,,02/13/2018 12:02 PM EST,0.10874,275892.0,,,Multifamily Housing,,No,43.0,,,Ok,,,,,Multifamily Housing,,,,,6168.5,178.0,Bay Ridge,100.0,
6.245205E+6,6245205,10017,,,,,,,,,Ok,1037556,,2018-03-12T00:00:00.000,,,177000.0,,,Office,,No,,,,Ok,,,,,Office,,,,,,,,,
