manhattan_cooperatives_comparable_properties_address,borough,comparable_rental_2_gross_income_per_sqft,postcode,comparable_rental_2_building_classification,comparable_rental_1_neighborhood,comparable_rental_1_boro_block_lot,manhattan_cooperatives_comparable_properties_est_gross_income,longitude,comparable_rental_1_address,comparable_rental_1_est_gross_income,community_council,comparable_rental_1_year_built,bbl,manhattan_cooperatives_comparable_properties_total_units
"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""885 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,16.75,,D3-ELEVATOR,UPPER WEST SIDE (96-116),1-01882-0028,1761426,,"{'latitude': '40.803241247833', 'longitude': '-73.963667575524', 'human_address': '{""address"": ""1020 AMSTERDAM AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1652212,,1910,,55
"{'latitude': '40.7537245769', 'longitude': '-73.964503945011', 'human_address': '{""address"": ""30 BEEKMAN PLACE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,,10022.0,,UPPER EAST SIDE (59-79),1-01393-0040,2082177,-73.964549,"{'latitude': '40.630389341936', 'longitude': '-74.036092220536', 'human_address': '{""address"": ""74 79 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",3219139,4.0,1899,1013620038.0,38
"{'latitude': '40.632624014222', 'longitude': '-74.026481700799', 'human_address': '{""address"": ""326 73 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,49.9,,C4-WALK-UP,UPPER EAST SIDE (59-79),1-01472-0005,432900,,"{'latitude': '40.629353715133', 'longitude': '-74.02551287742', 'human_address': '{""address"": ""403 77 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",376462,,1920,,20
"{'latitude': '40.799925589671', 'longitude': '-73.964418762845', 'human_address': '{""address"": ""155 106 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,23.93,,C4-WALK-UP,UPPER WEST SIDE (96-116),1-01860-0026,218080,,"{'latitude': '40.798699667983', 'longitude': '-73.963606956387', 'human_address': '{""address"": ""109 105 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",200904,,1900,,15
"{'latitude': '40.737457046341', 'longitude': '-73.985768079207', 'human_address': '{""address"": ""60 GRAMERCY PARK"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,36.2,10010.0,D5-ELEVATOR,MURRAY HILL,1-00889-0068,6300000,-73.986309,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""120 34 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",10714000,2.0,1962,1008770009.0,160
"{'latitude': '40.648655911773', 'longitude': '-74.016259621121', 'human_address': '{""address"": ""230 50 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,33.9,,D3-ELEVATOR,UPPER WEST SIDE (79-96),1-01253-0035,1932984,,"{'latitude': '40.617057645564', 'longitude': '-74.033321331102', 'human_address': '{""address"": ""310 95 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1466490,,1925,,43
"{'latitude': '40.726090813956', 'longitude': '-73.979947518578', 'human_address': '{""address"": ""614 9 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,26.9,,C7-WALK-UP,ALPHABET CITY,1-00406-0021,759000,,"{'latitude': '40.662705282422', 'longitude': '-73.979958325162', 'human_address': '{""address"": ""530 13 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",816000,,1900,,37
"{'latitude': '40.604890521039', 'longitude': '-74.000381907923', 'human_address': '{""address"": ""30 22 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,48.5,,D9-ELEVATOR,FLATIRON,1-00851-0060,386920,,"{'latitude': '40.604673433891', 'longitude': '-73.999423380952', 'human_address': '{""address"": ""18 23 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",541322,,1900,,23
"{'latitude': '40.844987776433', 'longitude': '-73.938792328194', 'human_address': '{""address"": ""4101 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,12.52,10033.0,D7-ELEVATOR,WASHINGTON HEIGHTS LOWER,1-02134-0095,941100,-73.938839,"{'latitude': '40.833710278186', 'longitude': '-73.945276440025', 'human_address': '{""address"": ""3761 BROADWAY"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",870514,10.0,1920,1021420130.0,78
"{'latitude': '40.640499819403', 'longitude': '-74.025450871983', 'human_address': '{""address"": ""55 65 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",1,47.6,,D3-ELEVATOR,MIDTOWN EAST,1-01350-0035,1170400,,"{'latitude': '40.642734310183', 'longitude': '-74.018530699764', 'human_address': '{""address"": ""330 58 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",776135,,1939,,36
