manhattan_cooperatives_comparable_properties_boro_block_lot,manhattan_cooperatives_comparable_properties_address,manhattan_cooperatives_comparable_properties_gross_sqft,comparable_rental_2_full_market_value,comparable_rental_2_market_value_per_sqft,comparable_rental_2_neighborhood,comparable_rental_1_total_units,census_tract,nta,comparable_rental_1_gross_sqft,manhattan_cooperatives_comparable_properties_market_value_per_sqft,comparable_rental_1_building_classification,comparable_rental_2_est_gross_income,community_board
1-01511-0065,"{'latitude': '40.626840054264', 'longitude': '-74.035173493269', 'human_address': '{""address"": ""112 83 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",40053,6930000.0,191.0,UPPER EAST SIDE (79-96),36,,,41371,163.0,D6-ELEVATOR,1412421.0,
1-02057-0046,"{'latitude': '40.821893186721', 'longitude': '-73.948253195942', 'human_address': '{""address"": ""270 CONVENT AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",75679,2620000.0,36.6,HARLEM-UPPER,49,227.0,Hamilton Heights                                                           ,60165,27.6,D1-ELEVATOR,931829.0,9.0
1-01209-0037,"{'latitude': '40.615904996313', 'longitude': '-74.037775694753', 'human_address': '{""address"": ""12 96 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",127289,17200000.0,118.0,UPPER WEST SIDE (79-96),114,,,134183,82.0,D3-ELEVATOR,4141606.0,
1-00846-0064,"{'latitude': '40.666548998195', 'longitude': '-73.99761668431', 'human_address': '{""address"": ""18 18 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",36400,9510000.0,230.0,FLATIRON,16,,,30680,154.0,D6-ELEVATOR,1937010.0,
1-01519-0067,"{'latitude': '40.621178952329', 'longitude': '-74.037566924989', 'human_address': '{""address"": ""108 91 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",41600,5340000.0,115.0,UPPER EAST SIDE (79-96),28,,,46718,158.0,D6-ELEVATOR,1288286.0,
1-01824-0055,"{'latitude': '40.801973203772', 'longitude': '-73.952578934903', 'human_address': '{""address"": ""92 ST NICHOLAS AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",64869,2990000.0,56.0,HARLEM-CENTRAL,76,218.0,Central Harlem South                                                       ,63284,25.3,D1-ELEVATOR,885064.0,10.0
1-00482-0001,"{'latitude': '40.721654753335', 'longitude': '-73.99883106687', 'human_address': '{""address"": ""41 CROSBY STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",31365,5510000.0,142.0,SOHO,37,45.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,21740,158.0,D9-ELEVATOR,1182870.0,2.0
1-01236-0061,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""590 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",97685,11100000.0,108.0,UPPER WEST SIDE (79-96),90,,,96992,103.0,D6-ELEVATOR,2676585.0,
1-02180-0070,"{'latitude': '40.851444908603', 'longitude': '-73.936166307868', 'human_address': '{""address"": ""24 BENNETT AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",75522,3210000.0,51.0,WASHINGTON HEIGHTS UPPER,45,273.0,Washington Heights North                                                   ,54288,51.0,D7-ELEVATOR,949154.0,12.0
1-00311-0013,"{'latitude': '40.716051977092', 'longitude': '-73.987193839811', 'human_address': '{""address"": ""357 GRAND STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",986641,29900000.0,47.6,LOWER EAST SIDE,1112,1401.0,Lower East Side                                                            ,1588533,78.0,D6-ELEVATOR,14108000.0,3.0
1-00454-0063,"{'latitude': '40.666832077666', 'longitude': '-73.986643907898', 'human_address': '{""address"": ""313 12 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",21178,3240000.0,150.0,EAST VILLAGE,20,,,19565,150.0,C1-WALK-UP,695000.0,
1-01237-0001,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""600 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",100977,11100000.0,108.0,UPPER WEST SIDE (79-96),90,,,96992,104.0,D6-ELEVATOR,2676585.0,
1-01582-0034,"{'latitude': '40.620937663291', 'longitude': '-74.025364890541', 'human_address': '{""address"": ""530 86 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",120835,14800000.0,135.0,UPPER EAST SIDE (79-96),71,,,97750,140.0,D6-ELEVATOR,3185349.0,
1-01565-0001,"{'latitude': '40.776531383563', 'longitude': '-73.949602178986', 'human_address': '{""address"": ""1646 1 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",193836,28700000.0,148.0,UPPER EAST SIDE (79-96),133,14401.0,Yorkville                                                                  ,205967,75.0,D6-ELEVATOR,6153719.0,8.0
1-00827-0060,"{'latitude': '40.603277437452', 'longitude': '-73.997312977218', 'human_address': '{""address"": ""22 26 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",48685,9510000.0,230.0,FLATIRON,16,,,30680,149.0,D6-ELEVATOR,1937010.0,
1-00614-0037,"{'latitude': '40.669326865537', 'longitude': '-73.990022646978', 'human_address': '{""address"": ""237 11 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",13968,1770000.0,190.0,GREENWICH VILLAGE-WEST,19,,,7050,175.0,C1-WALK-UP,361000.0,
1-01067-0028,"{'latitude': '40.642438335492', 'longitude': '-74.01641951306', 'human_address': '{""address"": ""405 57 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",43809,5340000.0,142.0,CLINTON,60,,,65615,112.0,D3-ELEVATOR,1145851.0,
1-01892-0001,"{'latitude': '40.802476824108', 'longitude': '-73.969908870408', 'human_address': '{""address"": ""340 RIVERSIDE DRIVE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",124351,9290000.0,73.0,UPPER WEST SIDE (96-116),60,195.0,Morningside Heights                                                        ,119315,73.0,D3-ELEVATOR,2484832.0,7.0
1-00791-0066,"{'latitude': '40.665630678351', 'longitude': '-73.991258502015', 'human_address': '{""address"": ""136 16 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",14765,1860000.0,193.0,CHELSEA,15,,,8000,172.0,C1-WALK-UP,379000.0,
1-00454-0066,"{'latitude': '40.666901342884', 'longitude': '-73.986787892289', 'human_address': '{""address"": ""309 12 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",11054,1660000.0,160.0,EAST VILLAGE,22,,,10746,169.0,C5-WALK-UP,356000.0,
1-00640-0064,"{'latitude': '40.736961214273', 'longitude': '-74.007068856658', 'human_address': '{""address"": ""20 BETHUNE STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",12290,2510000.0,190.0,GREENWICH VILLAGE-WEST,24,79.0,West Village                                                               ,11222,171.0,C4-WALK-UP,512000.0,2.0
1-00351-0001,"{'latitude': '40.716960292342', 'longitude': '-73.98901946353', 'human_address': '{""address"": ""62 ESSEX STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",198260,10400000.0,61.0,LOWER EAST SIDE,146,18.0,Chinatown                                                                  ,167453,62.0,D3-ELEVATOR,4885000.0,3.0
1-01875-0056,"{'latitude': '40.799822802897', 'longitude': '-73.968384430384', 'human_address': '{""address"": ""242 104 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",18576,2750000.0,135.0,UPPER WEST SIDE (96-116),29,,,20994,112.0,D1-ELEVATOR,590731.0,
1-00517-0008,"{'latitude': '40.727104644832', 'longitude': '-74.001825809227', 'human_address': '{""address"": ""147 SULLIVAN STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9433,1500000.0,170.0,SOHO,20,49.0,SoHo-TriBeCa-Civic Center-Little Italy                                     ,8755,167.0,C7-WALK-UP,321447.0,2.0
1-01399-0074,"{'latitude': '40.766414010733', 'longitude': '-73.967084999236', 'human_address': '{""address"": ""605 PARK AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",181000,34200000.0,188.0,UPPER EAST SIDE (59-79),182,120.0,Upper East Side-Carnegie Hill                                              ,189612,156.0,D6-ELEVATOR,6975958.0,8.0
1-01552-0034,"{'latitude': '40.620608057414', 'longitude': '-74.031231407678', 'human_address': '{""address"": ""330 90 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",8590,,,,18,,,8990,168.0,C4-WALK-UP,,
1-02240-0001,"{'latitude': '40.868639945804', 'longitude': '-73.923611772339', 'human_address': '{""address"": ""109 SEAMAN AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",43195,1360000.0,30.4,INWOOD,70,295.0,Marble Hill-Inwood                                                         ,42520,40.5,C1-WALK-UP,570961.0,12.0
1-00897-0001,"{'latitude': '40.734182309203', 'longitude': '-73.98654632795', 'human_address': '{""address"": ""147 3 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",58000,12900000.0,210.0,GRAMERCY,78,48.0,Gramercy                                                                   ,65430,163.0,D8-ELEVATOR,2624000.0,6.0
1-01861-0002,"{'latitude': '40.800651200389', 'longitude': '-73.965574138226', 'human_address': '{""address"": ""943 AMSTERDAM AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9546,948000.0,99.0,UPPER WEST SIDE (96-116),15,193.0,Morningside Heights                                                        ,8760,55.0,C4-WALK-UP,228813.0,7.0
1-01165-0004,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""290 END AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",148845,35000000.0,141.0,UPPER WEST SIDE (79-96),151,,,150000,159.0,D5-ELEVATOR,7512261.0,
1-00827-0068,"{'latitude': '40.602970438745', 'longitude': '-73.997635422401', 'human_address': '{""address"": ""38 26 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",65150,14800000.0,231.0,FLATIRON,87,,,78646,140.0,D5-ELEVATOR,3021349.0,
1-00641-0010,"{'latitude': '40.738139326132', 'longitude': '-74.008858507497', 'human_address': '{""address"": ""128 JANE STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",50820,3370000.0,151.0,GREENWICH VILLAGE-WEST,23,79.0,West Village                                                               ,12144,164.0,D1-ELEVATOR,724200.0,2.0
1-01451-0038,"{'latitude': '40.629761233114', 'longitude': '-74.027419973249', 'human_address': '{""address"": ""334 77 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",10060,2010000.0,200.0,UPPER EAST SIDE (79-96),20,,,10060,201.0,C4-WALK-UP,409543.0,
1-01407-0033,"{'latitude': '40.770110224273', 'longitude': '-73.960349077236', 'human_address': '{""address"": ""1250 3 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",326054,58100000.0,176.0,UPPER EAST SIDE (79-96),309,128.0,Upper East Side-Carnegie Hill                                              ,316500,154.0,D6-ELEVATOR,12469436.0,8.0
1-01498-0061,"{'latitude': '40.624797989293', 'longitude': '-74.040206519065', 'human_address': '{""address"": ""12 87 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",45000,,,,66,,,46421,149.0,D7-ELEVATOR,,
1-00431-0025,"{'latitude': '40.756053999992', 'longitude': '-73.986951000288', 'human_address': '{""address"": ""51 AVENUE"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",121406,17700000.0,135.0,UPPER WEST SIDE (59-79),114,,,122813,137.0,D7-ELEVATOR,3805035.0,
1-00883-0058,"{'latitude': '40.600001723042', 'longitude': '-73.998289583128', 'human_address': '{""address"": ""140 28 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",98359,3530000.0,171.0,MURRAY HILL,49,,,26280,158.0,D1-ELEVATOR,758000.0,
1-01520-0025,"{'latitude': '40.620953204347', 'longitude': '-74.036357668632', 'human_address': '{""address"": ""155 91 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",37854,8440000.0,216.0,UPPER EAST SIDE (59-79),48,,,39510,163.0,D1-ELEVATOR,1719463.0,
1-00765-0059,"{'latitude': '40.663938281363', 'longitude': '-73.987758422747', 'human_address': '{""address"": ""228 16 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",9985,,,,15,,,8525,158.0,C4-WALK-UP,,
1-00443-0050,"{'latitude': '40.574550020942', 'longitude': '-74.120932973052', 'human_address': '{""address"": ""54 1 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",10083,1030000.0,114.0,EAST VILLAGE,18,,,10410,120.0,C7-WALK-UP,249000.0,
1-02176-0044,"{'latitude': '40.849545387176', 'longitude': '-73.936591155836', 'human_address': '{""address"": ""706 180 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",18340,,,,27,,,15960,43.6,C7-WALK-UP,,
1-01602-0060,"{'latitude': '40.615234333059', 'longitude': '-74.037464095817', 'human_address': '{""address"": ""12 97 STREET"", ""city"": ""New York"", ""state"": ""NY"", ""zip"": """"}'}",121369,917000.0,102.0,UPPER EAST SIDE (79-96),103,,,109723,96.0,D6-ELEVATOR,221387.0,
