black,multi_racial,dbn,native_american,poverty,grade_6,school_name,grade_4,missing_race_ethnicity_data_1,year,grade_7,multi_racial_1,asian,english_language_learners_1
99,1,02M507,8,283,0,Urban Assembly Gateway School for Technology,0,0.011,2021-22,0,0.002,19,0.064
38,13,03M452,1,82,0,P.S. 452,50,0.0,2017-18,0,0.039,35,0.036
39,0,02M933,1,121,57,City Knoll Middle School,0,0.006,2019-20,36,0.0,9,0.143
67,0,02M394,4,284,0,Emma Lazarus High School,0,0.0,2019-20,0,0.0,116,0.85
85,45,02M104,7,511,368,J.H.S. 104 Simon Baruch,0,0.006,2017-18,378,0.04,382,0.041
4,11,02M267,0,56,0,"East Side Elementary School, PS 267",54,0.002,2018-19,0,0.027,52,0.046
109,1,02M305,1,272,0,"Urban Assembly Academy of Government and Law, The",0,0.003,2018-19,0,0.003,19,0.04
51,0,01M458,2,123,0,Forsyth Satellite Academy,0,0.0,2021-22,0,0.0,3,0.065
170,4,03M191,3,387,42,The Riverside School for Makers and Artists,63,0.002,2021-22,48,0.008,35,0.041
12,5,02M289,1,150,98,I.S. 289,0,0.007,2018-19,93,0.018,138,0.049
13,60,03M334,0,64,64,The Anderson School,58,0.002,2019-20,63,0.115,163,0.0
78,0,03M402,2,258,0,The Urban Assembly School for Green Careers,0,0.007,2020-21,0,0.0,10,0.103
135,2,03M505,3,332,0,Edward A. Reynolds West Side High School,0,0.003,2019-20,0,0.005,0,0.092
130,2,04M057,5,518,71,James Weldon Johnson,60,0.0,2021-22,69,0.004,15,0.154
19,64,02M343,2,64,0,The Peck Slip School,59,0.0,2018-19,0,0.137,74,0.017
47,0,02M047,0,146,0,47 The American Sign Language and English Secondar,0,0.018,2017-18,0,0.0,3,0.079
8,2,02M042,1,418,0,P.S. 042 Benjamin Altman,81,0.0,2018-19,0,0.003,497,0.326
77,2,02M533,2,358,0,Union Square Academy for Health Sciences,0,0.007,2020-21,0,0.005,40,0.059
51,14,01M839,2,232,117,Tompkins Square Middle School,0,0.0,2019-20,120,0.039,59,0.017
246,18,03M180,3,353,43,P.S. 180 Hugo Newman,42,0.004,2019-20,53,0.035,15,0.099
8,57,02M340,0,48,0,Sixth Avenue Elementary School,41,0.0,2021-22,0,0.167,31,0.023
115,0,03M149,6,Above 95%,25,P.S. 149 Sojourner Truth,26,0.0,2019-20,31,0.0,14,0.125
96,6,02M534,2,310,0,Harvest Collegiate High School,0,0.024,2018-19,0,0.013,30,0.024
70,1,02M399,2,232,0,The High School For Language And Diplomacy,0,0.02,2018-19,0,0.003,73,0.109
96,2,02M419,5,299,0,Landmark High School,0,0.025,2021-22,0,0.006,6,0.105
89,140,01M539,4,386,139,"New Explorations into Science, Technology and Math",107,0.003,2021-22,117,0.085,582,0.016
60,15,02M376,6,218,0,NYC iSchool,0,0.049,2020-21,0,0.031,40,0.012
135,0,02M520,1,210,0,Murry Bergtraum High School for Business Careers,0,0.011,2017-18,0,0.0,14,0.085
116,35,02M408,2,206,31,Professional Performing Arts High School,0,0.0,2018-19,57,0.063,39,0.002
66,12,01M020,3,326,0,P.S. 020 Anna Silver,90,0.002,2018-19,0,0.025,138,0.131
107,3,02M449,2,315,0,Vanguard High School,0,0.03,2018-19,0,0.007,24,0.03
100,5,02M294,3,251,0,Essex Street Academy,0,0.035,2020-21,0,0.014,30,0.027
57,58,02M011,1,277,0,P.S. 011 William T. Harris,150,0.001,2017-18,0,0.063,146,0.033
