nycgov_pov_stat,agep,est_incometax,nycgov_income,dis,povunit_rel
2,17,2830.7122,58420.535,2,3
1,4,-14732.632,29960.037,2,3
2,53,38295.082,106718.51,2,1
1,55,-500.0,20181.381,2,2
2,25,16304.612,53643.02,2,1
2,36,10340.773,40402.145,2,1
2,28,31654.799,100199.32,2,1
2,34,11621.926,109029.68,2,4
2,2,52175.066,131198.05,2,3
2,56,-8578.2021,48054.344,2,1
2,33,15656.676,44031.805,2,1
1,30,-500.0,8166.8408,2,1
2,63,3591.2031,72876.039,2,1
1,67,0.0,22948.066,2,1
2,16,7359.7676,45073.453,2,3
1,34,-66.35524,13094.333,2,4
1,56,0.0,11521.82,1,1
1,27,0.0,28043.254,2,4
2,85,16164.073,84708.867,1,4
2,57,34208.129,129931.63,2,2
1,8,-6278.0161,40521.395,2,3
2,38,85194.539,190373.38,2,1
2,22,60848.164,164064.95,2,4
2,29,4147.9194,60048.949,2,1
2,27,21942.232,83017.656,2,2
1,36,0.0,-2401.0,2,1
2,40,14488.087,99601.625,2,2
2,49,12011.638,67254.602,2,1
1,21,-4985.8325,7796.4595,2,4
2,28,16304.612,50706.02,2,1
2,4,-701.08276,55550.828,2,3
2,65,9599.4824,65620.641,1,4
2,2,-148.65997,87916.344,2,3
2,25,28430.223,139129.98,2,4
2,79,-303.16846,37978.262,2,2
2,57,0.0,21069.5,1,1
2,38,51970.324,137086.67,2,1
2,37,17956.672,85087.164,1,2
2,54,50338.422,115961.38,2,1
2,43,-1968.8055,42334.086,2,1
2,69,3738.355,73741.266,2,2
2,21,16164.073,84708.867,2,4
2,14,12011.638,67254.602,2,3
2,48,243641.66,358266.28,2,2
2,28,9609.3584,84785.539,2,4
1,19,-9503.7715,41531.906,2,4
2,56,3738.355,73741.266,2,1
2,43,45761.746,105953.55,2,1
2,5,17956.672,85087.164,2,3
2,26,11445.09,41502.617,2,1
2,47,-4290.2324,58911.883,2,2
2,38,50925.301,120640.29,2,1
2,30,21942.232,83017.656,2,1
1,56,-7115.0034,30081.068,2,2
2,26,12510.011,67384.18,2,2
2,9,39823.758,85673.008,2,3
1,17,0.0,31098.99,2,3
2,22,1593.9528,16335.028,2,1
2,57,-500.0,24666.518,2,4
2,6,-5180.7588,66719.336,2,3
1,3,-66.35524,13094.333,2,3
2,53,5512.6836,89036.852,1,4
2,4,30333.631,112354.52,2,3
2,19,4338.1792,46715.512,2,4
2,76,1558.6013,40727.199,2,1
