uniqueid,cfmc_case_id,qdisability5,qreachtravel2,gfreightnew,gimprove1_qimprove2_ma,gfocusaa1_qfocusaa4_ma4,qreachtravel9,qpreridehailcode05,qwpsurveyzone04,qbikeown,qsharetravelcode20,qschooltravelcode19,qschooltravelcode24,qcarpark_other6,qsharepurpose01,qbenefits05,job,qpreridehailcode04,qchildrenschoolzip3,qcarparkpay,qschooltravelcode06,qcarpark3,qbenefits02,qridehailpurpose07,qwelfare1,qindustry_other18,qridehail2,qusetravelcode24,gfocusaa1_qfocusaa3_ma5,qindustry,qtimework4,qsharetravelcode01,qgender,qsafety2,allwt,qziptravel7,gfocusaa1_qfocusaa3_ma7,qtripplanning4,qschool,qusetravelcode22,qsharetravelcode05,qschooltransitto3,qtimework1,qcarchange,qschooltransitfrom_other5,gfocusaa1_qfocusaa3_ma3,gfocusaa1_qfocusaa3_ma1,qzipschool,qshare8,qtimehome3,qschooltravelcode08,gfocusaa1_qfocusaa5_ma8,qbenefits03,qsafety3,qlevelschool,qtripplanning_other4,gcarincrease1_qcarincrease4_ma,qziptravel5,gfreight1_qfreight3_ma,qcarpark4,qschooltravelcode11,qwelfare5,qbikedays,qpreridehailcode02,qschooltravelcode17,qschooltransitto7,qbiketype4,qusetravelcode05,qsharetravelcode17,qagecode_final7,qusetravelcode09,qridehailpurpose06,qsharetravelcode21,gfreight1_qfreight1_ma,qcaraccess_other4,qsafety4,gfocusaa1_qfocusaa4_ma8,qborough5,qcarpark1,gfocusaa1_qfocusaa2_ma7,qbiketype_other3,qreachtravel8,qcare,qziptravel4,qsurveyzone,qschooltransitfrom1,gfocusaa1_qfocusaa2_ma5,qpreridehailcode16,qpreridehailcode11,qridehail1,qschooltravelcode20,qtripplanning6,gimprove1_qimprove3_ma,qtripplanning3,qshare_other5,qcarpark6,qbikestore4,qschooltravelcode05,qsharetravelcode12,qwpsurveyzone10,qusetravelcode01,qschooltransitfrom2,qziptravel9,qridehail3,gcarreduce1_qcarreduce1_ma,qridehailpurpose11,qmarried,qshare6,qsharemember,gfocusaa1_qfocusaa5_ma6,qbiketype3,gfocusaa1_qfocusaa6_ma2,qsafety1,qusetravelcode19,gfocusaa1_qfocusaa1_ma5,qbenefits07,gfocusaa1_qfocusaa3_ma4,qschooltransitto5,racewt,qbuilding,qbikestore6,qschooltravelcode16,qnocitibike2,qwpsurveyzone05,weekend_filt_trips,qdisability4,qsharepurpose09,qsunset_append,qagecode_final6,qbenefits13,qhispanic,qdisability7,qreachtravel_other7,gfocusaa1_qfocusaa5b_ma7,qusetravelcode17,qagecode_final3,qsharepurpose10,qridehail4,gfocusaa1_qfocusaa6_ma8,gfocusaa1_qfocusaa5_ma2,qcarparkpay_month,gimprove1_qimprove4_ma,qpreridehailcode08,qcarmany,qchildrenenroll,qsharepurpose02
110000901,10000901,0, ,2,3,0, ,0,0,1, ,0,0, , ,0,1,0, , ,0,0,0,0,0, ,0,1,0,18, , ,1,1,1.77092477946084, ,0,0,2,0, ,0,700,1, ,0,0,10032,0, ,0,0,0,2,2, , , ,5,0,0,0,0,0,0,0,0,0, ,0,0,0, ,5, ,2,0,0,1,0, , ,3, ,6,1,0,0,0,1,0,0,2,0, ,0,0,0, ,0,0,0, ,0,3,0,2,1, ,0,0,0,1,0,0,1,1,0,5,8,0,0, ,0, ,0, ,8:25:00 PM,0,0,5,0, ,0,0,1, ,0,0,0,0,3,0,2,1, 
110001465,10001465,1, ,2,5,0, ,0, ,2, , , , , , ,1,0, , , , , ,0,0, ,1,0,1, , , ,1,1,1.39209098309891, ,0,0,3,0, , , , , ,0,1, ,0, , ,0, , , , , , ,99, , ,0,0,0, , , ,0, ,0,1,0, ,4, , ,0,0, ,0, , ,3, ,6, ,0,0,1,1, ,0,2,0, , , , , , ,0, , ,0, ,0,2,1, ,0, ,0,1,0,0, ,0, ,6,7, , ,0, , ,1, ,8:30:00 PM,0, ,5,0, ,0,0,0, ,1,0,0,0,2,0,0, , 
110002226,10002226,0, ,2,3,0, , , ,2, , , , , ,0,1, , , , , ,0, ,0, ,0,0,1,12, , ,2,2,0.634824505748908, ,0,0,2,0, , ,9 am, , ,0,1,REF,0, , ,0,0, ,2, , , ,6, , ,0,0, , , , ,0, ,0,0, , ,6, , ,0,0, ,0, , ,3, ,7, ,0, , ,0, ,0,3,0, , , , , , ,0, , ,0, , ,1,1, ,1, ,0,1,1,1,0,1, ,1,8, , ,0, , ,0, ,8:31:00 PM,0,0,1,0, ,0,0,0, ,0,0,0,0,2, ,0, , 
110002285,10002285,0, ,2,4,0, , , ,2, , , , , , ,1, , , , , , , ,0, ,0,0,0, , , ,2,2,0.452371178030779, ,0,0,3,0, , , , , ,0,1, ,0, , ,0, , , , , , ,6, , ,0,0, , , , ,0, ,0,0, , ,6, , ,0,0, ,0, , ,3, ,3, ,0, , ,0, ,0,1,0, , , , , , ,0, , ,0, , ,1,1, ,0, ,0,2,0,0, ,0, ,2,6, , ,0, , ,0, ,8:31:00 PM,0, ,1,0, ,1,0,0, ,0,0,0,0,1, ,0, , 
110001605,10001605,0, ,1,5,0, , , ,2, , , , , , ,1, , , , ,0, , ,0, ,0,0,0, , , ,1,1,0.54612691899137, ,1,0,3,0, , , ,3, ,0,0, ,0, , ,0, , , , , , ,6,0, ,0,0, , , , ,0, ,0,0, , ,3, , ,0,0,0,0, , ,1, ,7, ,1, , ,0, ,0,2,1, ,0, , , , ,0, , ,0, , ,2,1, ,0, ,0,1,0,1, ,0, ,1,2, , ,0, , ,0, ,8:31:00 PM,1, ,1,0, ,1,0,0, ,0,0,0,0,1, ,1, , 
110001541,10001541,0, ,2,3,0, , , ,1, , , , , , ,1, , , , ,0, , ,0, ,0,0,1, , , ,1,1,0.858087926607664, ,0,0,3,1, , , ,3, ,0,1, ,0, , ,0, ,2, , , , ,4,0, ,0,3, , , ,0,0, ,0,0, , ,6, ,3,0,0,0,0, , ,3, ,6, ,1, , ,0, ,0,1,0, ,0,1, , , ,1, , ,0, , ,2,1, ,0,0,1,1,0,1, ,1, ,1,9,0, , , ,3,0, ,8:30:00 PM,1, ,1,0, ,1,0,0, ,0,0,1,0,3, ,2, , 
110002017,10002017,0, ,2,2,1, , ,0,1, , , , , ,0,1, , , , ,0,0, ,0, ,0,0,0,16, , ,1,2,0.765270211465726, ,0,0,3,0, , ,9am,2, ,0,1, ,0, , ,0,0,2, , ,5, ,6,0, ,0,1, , , ,0,0, ,1,0, , ,6, ,5,0,0,1,0, , ,1, ,7, ,1, , ,0, ,0,7,1, ,0,0, , ,0,0, , ,0, , ,2,1, ,0,0,0,2,0,0,1,0, ,1,9,0, ,0,0,1,0, ,8:31:00 PM,0,0,1,0, ,1,0,0, ,0,0,0,0,4, ,2, , 
110002076,10002076,0, ,2,3,0, , ,1,1, , , , , ,0,1, , , , ,0,0, ,0, ,0,0,1,1,weekends 7am, ,2,2,1.15200022439354, ,0,0,3,0, , ,8am,3, ,0,0, ,0, , ,0,0, , , , , ,6,0, ,0,0, , , ,0,0, ,0,0, , ,6, , ,0,0,0,1, , ,1, ,4, ,0, , ,0, ,0,1,0, ,0,1, , ,0,0, , ,0, , ,2,1, ,1,0,0,2,0,0,0,0, ,2,3,0, ,0,0, ,0, ,8:31:00 PM,0,1,5,0, ,0,0,0, ,0,0,0,0,2, ,1,2, 
110000604,10000604,0, ,2,1,0, ,0,0,1,0,0,0, ,0,0,1,0, , ,0, ,0,0,0, ,0,0,1,4, ,0,2,1,0.765270211465726,0,0,1,3,0,0, ,9 am, , ,0,1, ,0, ,0,0,0, , , , ,0,6, ,0,0,0,1,0, ,0,0,0,1,1,0,0,5, , ,0,0, ,0, , ,3,0,1, ,1,1,0,1,0,0,2,0, , ,1,0,0,0,1, ,0,0, ,0,7,0,4,1,0,0,1,1,1,0,1, ,1,3,0,0,0,0, ,0,0,8:23:00 PM,0,1,1,0, ,0,1,0,0,1,0,1,0,5,0,0,1,0
110000845,10000845,0, ,2,3,0, , ,0,1, , , , , ,0,1, , , , ,0,0, ,0, ,0,1,0,17, , ,1,2,0.772209258832275, ,0,0,3,0, , ,7 am,3, ,0,0, ,0, , ,0,0, , , , , ,6,0, ,0,0, , , ,0,0, ,0,0, , ,6, , ,0,0,0,0, , ,3, ,4, ,0, , ,0, ,0,2,0, ,0,0, , ,0,0, , ,0, , ,2,1, ,0,0,0,2,0,0,0,1, ,1,2,0, ,0,0,2,0, ,8:24:00 PM,1,0,1,0, ,1,0,0, ,0,0,0,0,1, ,3, , 
