brooklyn_condominium_property_condo_section,brooklyn_condominium_property_full_market_value,comparable_rental_1_dist_from_coop_in_miles,comparable_rental_1_est_gross_income,comparable_rental_2_year_built,comparable_rental_1_neighborhood,brooklyn_condominium_property_total_units,comparable_rental_1_total_units,postcode,nta,census_tract,comparable_rental_2_gross_income_per_sqft,borough,comparable_rental_2_full_market_value,comparable_rental_1_gross_sqft
1603-R1,5569998,1.45,711270,,BEDFORD STUYVESANT,32,86,11205.0,Bedford                                                                    ,233.0,,3,,24528
1874-R1,1099998,1.05,84216,1931.0,BEDFORD STUYVESANT,16,14,11221.0,Stuyvesant Heights                                                         ,287.0,18.07,3,711000.0,4400
2013-R1,2050004,0.8,304835,1915.0,WILLIAMSBURG-SOUTH,14,24,11206.0,Bedford                                                                    ,531.0,20.9,3,963000.0,14470
1173-R1,2590000,0.3,211376,2001.0,BEDFORD STUYVESANT,18,16,11205.0,Bedford                                                                    ,241.0,19.75,3,1340000.0,7150
851-R1,3339999,0.6,162517,1912.0,PROSPECT HEIGHTS,22,12,11217.0,Park Slope-Gowanus                                                         ,12902.0,22.44,3,1390000.0,7237
1027-R1,3030001,0.8,531148,1920.0,WILLIAMSBURG-SOUTH,26,36,11206.0,Bedford                                                                    ,507.0,19.02,3,1160000.0,26532
432-R1,1040003,0.65,218015,1916.0,BOROUGH PARK,14,20,11219.0,Borough Park                                                               ,218.0,15.44,3,737000.0,14116
1321-R1,3180002,0.35,378793,,PROSPECT HEIGHTS,21,24,11238.0,Prospect Heights                                                           ,163.0,,3,,17116
2396-R1,1300000,0.45,338457,1931.0,PARK SLOPE,14,24,11217.0,Park Slope-Gowanus                                                         ,131.0,22.04,3,1880000.0,11754
13-R1,4217036,1.8,1008720,1928.0,GRAVESEND,110,95,11214.0,Gravesend                                                                  ,314.0,13.17,3,3070000.0,81120
1595-R1,2479999,1.25,1476830,1926.0,OCEAN PARKWAY-NORTH,15,46,11230.0,Flatbush                                                                   ,480.0,17.1,3,1350000.0,29430
378-R2,2490003,0.75,391102,1915.0,WILLIAMSBURG-SOUTH,21,41,11206.0,Williamsburg                                                               ,509.0,17.69,3,1690000.0,29340
1294-R1,1710001,0.55,211376,,BEDFORD STUYVESANT,12,16,11205.0,Bedford                                                                    ,1237.0,,3,,7150
1791-R1,966002,2.55,272866,1930.0,BUSHWICK,12,38,11211.0,East Williamsburg                                                          ,501.0,26.7,3,1390000.0,9700
1704-R1,1910004,0.75,454364,1915.0,WILLIAMSBURG-SOUTH,13,29,11206.0,Bedford                                                                    ,507.0,20.9,3,963000.0,21744
1931-R1,1690001,2.05,248387,1911.0,BUSH TERMINAL,18,18,11218.0,Windsor Terrace                                                            ,1502.0,20.47,3,454000.0,10800
1331-R1,1130000,0.65,230152,,BAY RIDGE,12,14,11209.0,Dyker Heights                                                              ,152.0,,3,,16500
1749-R1,1400000,0.45,262937,1982.0,SHEEPSHEAD BAY,14,16,11229.0,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ,592.0,17.16,3,666000.0,16280
2349-R1,4050000,0.15,288600,,FLATBUSH-CENTRAL,23,25,11226.0,Flatbush                                                                   ,50804.0,,3,,22208
