brooklyn_condominium_property_boro_block_lot,comparable_rental_2_est_gross_income,brooklyn_condominium_property_gross_income_per_sqft,brooklyn_condominium_property_year_built
3-02303-7501,547883.0,17.43,1910
3-05400-7501,400172.0,17.5,2008
3-02060-7501,8212471.0,27.2,2007
3-01155-7502,380651.0,12.0,1931
3-02313-7501,278262.0,18.67,0
3-06819-7501,537805.0,12.0,2004
3-00925-7501,376873.0,17.61,1987
3-08723-7501,,9.3,1961
3-07325-7501,,11.44,2005
3-02264-7520,470568.0,20.37,2005
3-00031-7502,1887773.0,19.87,1904
3-08664-7501,410892.0,15.07,2001
3-06651-7501,,22.46,2002
3-02719-7503,951370.0,26.4,2006
3-02073-7501,357517.0,16.71,1987
3-01734-7512,,29.5,2003
3-02383-7501,517085.0,18.23,0
3-03023-7501,237257.0,17.5,2004
3-08783-7502,,16.66,2001
3-07299-7501,,19.17,0
3-01957-7501,252841.0,17.0,1988
3-00974-7504,891236.0,22.09,0
3-00769-7501,345340.0,0.0,2008
3-01763-7504,357615.0,0.0,2004
3-06137-7502,164284.0,21.0,2008
3-07325-7504,,19.71,2005
3-01941-7501,,29.0,2006
3-01593-7501,335348.0,17.87,2005
3-02235-7505,454364.0,21.92,2006
3-01515-7501,138832.0,10.0,1995
3-06802-7501,357615.0,16.75,2006
3-01900-7502,,0.0,2004
3-02241-7529,450656.0,18.17,2004
3-06761-7501,,13.2,2005
3-00265-7501,741226.0,23.52,1921
3-00949-7502,839954.0,21.3,0
3-00254-7501,195094.0,26.1,1900
3-00470-7502,459432.0,18.93,0
3-02129-7501,328308.0,15.0,1999
3-08470-7501,,28.4,0
3-00966-7501,561529.0,19.94,1930
3-02240-7512,278262.0,18.17,2002
3-01181-7502,230152.0,13.0,0
3-00974-7502,891813.0,17.44,2004
3-02101-7501,564028.0,16.82,1931
3-01957-7501,252841.0,17.0,0
3-06269-7501,,28.4,2002
3-01023-7501,453152.0,22.38,1991
3-02721-7502,531148.0,22.2,0
3-01181-7501,1248561.0,0.0,1924
3-02264-7504,400572.0,16.62,1931
3-01285-7501,350888.0,14.0,1930
3-08665-7502,218015.0,14.5,0
3-02235-7504,454364.0,21.92,2006
3-00974-7503,988525.0,24.54,0
3-02075-7501,1365527.0,20.8,2007
3-02267-7501,866384.0,16.0,2001
3-05672-7501,,22.04,2006
3-01715-7501,62212.0,15.21,0
3-01097-7502,500806.0,22.51,1999
3-05054-7501,678776.0,11.51,1930
3-05468-7503,730349.0,15.86,0
3-01270-7502,179513.0,16.46,1910
3-00923-7501,250150.0,21.12,1930
3-08678-7501,170842.0,0.0,2004
3-02408-7503,663278.0,20.44,1911
3-02324-7501,3527222.0,23.52,2007
3-00180-7502,2241734.0,25.7,2006
3-01957-7501,,17.31,0
3-02224-7505,866384.0,15.6,2000
3-02240-7509,400572.0,18.17,0
3-06562-7501,,12.63,0
3-06135-7501,584734.0,14.0,1987
3-00179-7505,881843.0,21.53,0
3-01403-7501,376734.0,17.02,1921
3-08295-7501,,9.55,1900
3-01089-7501,265342.0,19.8,1900
3-00286-7501,230986.0,28.2,1900
3-01509-7502,138832.0,10.51,1906
3-02417-7501,517085.0,21.46,2004
3-04660-7501,390982.0,24.0,2007
3-02342-7501,1074387.0,19.93,2007
3-01429-7502,,0.0,1998
3-05634-7501,218015.0,0.0,1929
3-01042-7501,891236.0,21.31,1931
3-08717-7501,,0.0,1937
3-00321-7501,675288.0,18.33,1922
3-05364-7501,218015.0,15.44,1982
3-07440-7501,,0.0,1957
3-02563-7501,252841.0,0.0,1931
3-02833-7501,334907.0,21.89,2005
3-02893-7501,380466.0,20.46,2004
3-08713-7501,,0.0,0
3-00193-7502,614007.0,19.93,2006
3-07437-7503,293915.0,20.0,2005
3-02297-7501,547883.0,17.0,1900
3-05339-7501,410892.0,0.0,2007
3-00928-7503,561529.0,22.22,2004
3-00899-7501,642238.0,18.72,2008
3-01293-7501,417307.0,10.62,1922
3-03076-7501,951370.0,14.0,1900
3-01427-7501,440313.0,12.92,0
3-02000-7501,211376.0,20.38,0
3-02251-7503,454364.0,22.0,2006
3-01173-7501,,17.39,1910
3-01232-7501,270995.0,11.54,1989
3-01763-7502,357615.0,24.66,2004
3-02183-7501,454364.0,20.97,1998
3-02235-7508,454364.0,21.92,2007
3-06608-7501,,11.64,1941
3-03328-7501,595838.0,22.3,2007
3-08810-7505,213949.0,19.02,2006
3-02264-7507,547883.0,20.94,2001
3-06600-7502,550145.0,23.0,2006
3-02276-7501,400572.0,19.4,2006
3-02013-7501,,15.78,1915
3-01173-7502,183577.0,0.0,1912
3-00444-7501,983249.0,18.54,1938
3-02240-7511,400572.0,18.17,2002
3-05381-7501,,15.41,0
3-01763-7505,357615.0,24.66,2004
3-02234-7502,373341.0,15.6,1999
3-05710-7502,218015.0,0.0,1985
