brooklyn_condominium_property_condo_section,brooklyn_condominium_property_address,brooklyn_condominium_property_boro_block_lot,latitude,longitude,bin,comparable_rental_1_year_built,council_district
2440-R1,72 BERRY STREET,3-02303-7501,40.720048,-73.957503,3061652.0,1920,33.0
2462-R1,597 OCEAN PARKWAY,3-05400-7501,40.634171,-73.972351,3395374.0,1982,39.0
2366-R1,150 MYRTLE AVENUE,3-02060-7501,40.693606,-73.98308,3394020.0,2003,35.0
1531-R1,442 ST MARK'S AVENUE,3-01155-7502,40.676838,-73.960447,3028631.0,1915,35.0
2053-R1,234 NORTH 9 STREET,3-02313-7501,40.717505,-73.954247,3392438.0,1916,33.0
1359-R1,1833 EAST 13 STREET,3-06819-7501,40.604721,-73.959399,3388304.0,1946,48.0
188-R1,831 43 STREET,3-00925-7501,40.644563,-73.998829,3255748.0,1920,38.0
233-R1,200 CORBIN PLACE,3-08723-7501,40.577241,-73.953962,3245729.0,1953,48.0
1495-R1,2511 OCEAN AVENUE,3-07325-7501,40.600367,-73.95158,3388788.0,1954,48.0
1337-R1,593 FLUSHING AVENUE,3-02264-7520,40.699742,-73.950552,3388752.0,1911,33.0
1181-R1,50 BRIDGE STREET,3-00031-7502,40.703188,-73.984665,3395987.0,1910,33.0
920-R1,2943 BRIGHTON 4 STREET,3-08664-7501,40.579951,-73.964274,3244397.0,1938,48.0
1149-R1,202 QUENTIN ROAD,3-06651-7501,40.605989,-73.978734,3350125.0,1931,44.0
2162-R1,128 NEWTON STREET,3-02719-7503,40.720562,-73.946861,3393894.0,1930,33.0
132-R1,159 CARLTON AVENUE,3-02073-7501,40.692797,-73.97276,3251652.0,1930,35.0
1292-R1,78 SPENCER STREET,3-01734-7512,40.696274,-73.955524,3387577.0,1931,33.0
934-R1,98 HAVEMEYER STREET,3-02383-7501,40.713306,-73.956476,3256345.0,1920,34.0
1279-R1,63/69 STAGG STREET,3-03023-7501,,,,1915,
1131-R1,2806 EAST 23 STREET,3-08783-7502,40.584444,-73.94442,3256966.0,1982,48.0
1407-R1,2421 OCEAN AVENUE,3-07299-7501,40.60264,-73.952018,3197094.0,1990,48.0
232-R1,415 CARLTON AVENUE,3-01957-7501,40.685322,-73.971281,3251605.0,1915,35.0
2058-R1,302 2 STREET,3-00974-7504,40.674316,-73.9847,3392416.0,1920,39.0
2498-R1,4721 8 AVENUE,3-00769-7501,40.642628,-74.002122,3397577.0,1931,38.0
1172-R1,195 SPENCER STREET,3-01763-7504,40.692272,-73.954705,3378319.0,1931,33.0
