dbn,near_pct_white,rr_t,val_interaction_k3_all,val_lre_all,ethnicity_pacific_pct,survey_pp_ri,teacher_ethnicity_black_pct,val_attendance_k3_all,school_type,ethnicity_white_pct,val_chronic_absent_all,ethnicity_asian_pct,n_attendance_k3_all,principal,rr_s,ell,survey_pp_ct,ethnicity_hispanic_pct,teacher_ethnicity_hispanic,n_lre_all,qr_4_2
84K930,0.042,0%,No Data,0.64,0.008,No Data,0,No Data,K-1,0.048,No Data,0.032,No Data,No Data,,0.16,No Data,0.832,0.76,14,No Data
08X583,0.056,58%,0.876,0.5,0.0,0.83,No Data,0.904,K-2,0.055,0.61,0.393,208,Glorimer Lopez,,0.153,0.96,0.443,0.421,28,Proficient
27Q051,0.106,85%,0.939,0.39,0.005,0.84,No Data,0.907,K-1,0.118,0.656,0.269,198,Magdaly Saint-Juste,,0.237,0.92,0.441,No Data,18,Proficient
30Q384,0.136,100%,0.967,No Data,0.0,0.96,0,0.939,K-1,0.448,0.86,0.295,122,CHRISTINE BRITTON,,0.2,0.99,0.124,0,3,Well Developed
24Q028,0.003,58%,0.912,0.24,0.002,0.89,No Data,0.945,K-2,0.007,0.836,0.06,474,Laura Pessutti,,0.644,0.96,0.931,0.263,70,Proficient
84Q385,0.09,95%,0.992,0.65,0.0,0.77,No Data,0.951,K-2,0.036,0.884,0.109,190,No Data,,0.368,0.78,0.751,0.273,20,No Data
84M357,0.079,0%,No Data,0.32,0.0,No Data,0.156,1,K-3,0.016,No Data,0.009,362,No Data,,0.075,No Data,0.422,No Data,38,No Data
84X589,0.022,30%,No Data,0.28,0.0,0.74,0.292,0.962,K-3,0.0,0.901,0.035,340,No Data,,0.038,0.84,0.262,0.375,18,No Data
26Q376,0.164,95%,0.991,0.25,0.0,0.87,0,0.949,K-2,0.136,0.848,0.576,200,CLARA KANG,,0.178,0.98,0.209,No Data,20,Well Developed
84R077,0.317,100%,0.975,0.38,0.0,0.96,No Data,0.94,K-1,0.514,0.816,0.056,76,No Data,,0.056,1,0.292,No Data,8,No Data
84X599,0.016,0%,0.979,0.62,0.0,No Data,0.348,0.844,K-1,0.014,0.454,0.0,153,No Data,,0.181,No Data,0.764,0.217,13,No Data
27Q377,0.237,83%,0.809,0.27,0.016,0.79,0,0.926,K-2,0.086,0.735,0.187,200,TRACY KEANE,,0.128,0.97,0.529,0.179,26,Proficient
84M380,0.071,32%,0.831,0.44,0.0,0.61,0.368,0.923,K-1,0.0,0.788,0.0,99,No Data,,0.08,0.65,0.17,No Data,9,No Data
84M338,0.039,95%,No Data,0.47,0.0,0.74,No Data,No Data,K-3,0.094,No Data,0.01,No Data,No Data,,0.115,0.76,0.62,0.452,30,No Data
15K896,0.023,0%,0.875,0.33,0.0,No Data,No Data,0.943,K-1,0.036,0.86,0.639,92,No Data,,0.53,No Data,0.313,No Data,6,No Data
25Q242,0.041,69%,0.964,0.15,0.0,0.78,No Data,0.948,K-3,0.046,0.861,0.779,379,Jill Pritchard,,0.358,0.86,0.126,No Data,39,Well Developed
84K927,0.034,0%,No Data,0.46,0.009,No Data,0.846,No Data,K-1,0.027,No Data,0.009,No Data,No Data,,0.0,No Data,0.08,No Data,13,No Data
