queens_cooperatives_comparable_properties_address,comparable_rental_2_est_gross_income,queens_cooperatives_comparable_properties_market_value_per_sqft,nta,comparable_rental_1_market_value_per_sqft
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""90 11 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",820961.0,38.7,Jackson Heights                                                            ,37.2
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""66 15 THORNTON PLACE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",3909882.0,63.0,Forest Hills                                                               ,62.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""155 25 155 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",497780.0,41.6,,41.6
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""112 24 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4950000.0,50.0,North Corona                                                               ,62.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""69 40"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1380875.0,56.0,,67.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 16 60 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",510651.0,55.0,Rego Park                                                                  ,56.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 30 ROOSEVELT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",1339570.0,51.0,Murray Hill                                                                ,47.4
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 05 60 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",510651.0,56.0,Rego Park                                                                  ,56.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""71 36 110 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",867313.0,62.0,Forest Hills                                                               ,51.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 51 86 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",504825.0,35.5,,50.0
"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""60 33 251 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",356641.0,42.3,Douglas Manor-Douglaston-Little Neck                                       ,30.2
