queens_cooperatives_comparable_properties_boro_block_lot,latitude,longitude,queens_cooperatives_comparable_properties_neighborhood,comparable_rental_2_boro_block_lot,community_board,comparable_rental_1_building_classification,comparable_rental_1_neighborhood,queens_cooperatives_comparable_properties_total_units,comparable_rental_1_full_market_value,comparable_rental_2_total_units,comparable_rental_1_gross_income_per_sqft
4-01451-0032,40.752597,-73.877042,JACKSON HEIGHTS,4-01448-0032,3.0,D1-ELEVATOR,JACKSON HEIGHTS,114,3720000,84.0,11.01
4-03154-0001,40.723369,-73.857961,REGO PARK,4-03155-0027,6.0,D3-ELEVATOR,REGO PARK,126,108000000,286.0,15.27
4-11451-0009,,,HOWARD BEACH,4-12311-0050,,C9-WALK-UP,SO. JAMAICA-BAISLEY PARK,92,1170000,46.0,11.82
4-01727-0008,40.758151,-73.856746,CORONA,4-05137-0005,3.0,D7-ELEVATOR,FLUSHING-NORTH,301,19700000,322.0,15.25
4-02141-0001,,,FOREST HILLS,4-02139-0001,,D1-ELEVATOR,FOREST HILLS,127,6510000,112.0,16.47
4-02874-0002,40.730816,-73.873283,MIDDLE VILLAGE,4-09236-0033,6.0,D1-ELEVATOR,KEW GARDENS,96,2100000,57.0,14.0
4-05025-0020,40.761859,-73.82117,FLUSHING-NORTH,4-05025-0070,7.0,D1-ELEVATOR,FLUSHING-NORTH,99,3510000,100.0,12.6
4-02874-0055,40.730248,-73.872786,MIDDLE VILLAGE,4-09236-0033,6.0,D1-ELEVATOR,KEW GARDENS,68,2100000,57.0,14.0
4-02225-0019,40.721494,-73.841131,FOREST HILLS,4-02265-0079,6.0,D1-ELEVATOR,FOREST HILLS,84,3280000,92.0,13.47
4-01474-0047,,,JACKSON HEIGHTS,4-01432-0034,,D7-ELEVATOR,JACKSON HEIGHTS,79,2420000,49.0,13.32
4-08353-0001,40.758562,-73.728177,LITTLE NECK,4-06691-0011,11.0,C1-WALK-UP,FLUSHING-NORTH,168,380000,42.0,9.16
4-01177-0001,,,JACKSON HEIGHTS,4-00565-0027,,C1-WALK-UP,WOODSIDE,46,1420000,33.0,15.62
4-16230-0044,40.577032,-73.840589,ROCKAWAY PARK,4-15815-0220,14.0,D7-ELEVATOR,FAR ROCKAWAY,48,11900000,402.0,14.04
4-03312-0001,40.774129,-73.751892,KEW GARDENS,4-03321-0061,11.0,D3-ELEVATOR,KEW GARDENS,152,6750000,180.0,13.69
4-05002-0087,40.764407,-73.825557,FLUSHING-NORTH,4-05101-0033,7.0,D1-ELEVATOR,FLUSHING-NORTH,175,2290000,78.0,10.98
4-09265-0001,40.702487,-73.831983,KEW GARDENS,4-09677-0167,9.0,D1-ELEVATOR,HOLLIS,64,2060000,54.0,11.0
4-05122-0046,40.753627,-73.829534,FLUSHING-NORTH,4-05025-0050,7.0,D1-ELEVATOR,FLUSHING-NORTH,154,8370000,208.0,12.32
4-05302-0117,40.762772,-73.794235,FLUSHING-NORTH,4-05195-0036,7.0,C1-WALK-UP,FLUSHING-NORTH,22,932000,20.0,13.65
4-03291-0001,40.718031,-73.839978,FOREST HILLS,4-03341-0001,6.0,D1-ELEVATOR,FOREST HILLS,104,1370000,60.0,14.14
4-05878-0003,40.780729,-73.781498,BAYSIDE,4-05865-0112,7.0,D1-ELEVATOR,BAYSIDE,240,8460000,152.0,14.57
4-00579-0042,40.76506,-73.926801,ASTORIA,4-12235-0022,1.0,D3-ELEVATOR,FAR ROCKAWAY,26,30500000,231.0,12.64
4-00131-0004,40.74446,-73.91447,SUNNYSIDE,4-00137-0020,2.0,D1-ELEVATOR,SUNNYSIDE,73,4570000,96.0,15.45
4-00175-0001,40.739729,-73.92301,SUNNYSIDE,4-00166-0006,2.0,D1-ELEVATOR,SUNNYSIDE,54,3970000,100.0,15.91
4-08178-0008,40.765057,-73.745255,DOUGLASTON,4-09834-0056,11.0,D1-ELEVATOR,FLUSHING-NORTH,89,3330000,110.0,12.99
4-00162-0028,,,SUNNYSIDE,4-00184-0014,,D1-ELEVATOR,SUNNYSIDE,48,1700000,49.0,11.85
4-02864-0017,40.735814,-73.880259,ELMHURST,4-09260-0011,4.0,D1-ELEVATOR,ELMHURST,69,2500000,48.0,12.51
4-03149-0019,,,REGO PARK,4-03094-0034,,D1-ELEVATOR,REGO PARK,66,2640000,72.0,12.0
4-01279-0058,,,JACKSON HEIGHTS,4-00490-0101,,D3-ELEVATOR,ARVERNE,82,20600000,1104.0,27.5
4-02236-0043,40.720444,-73.840149,FOREST HILLS,4-04994-0078,6.0,D1-ELEVATOR,FOREST HILLS,121,5620000,90.0,14.83
4-09824-0043,40.710405,-73.791399,JAMAICA,4-09793-0033,12.0,D1-ELEVATOR,JAMAICA,89,4150000,96.0,11.68
4-01472-0028,,,JACKSON HEIGHTS,4-01532-0016,,C1-WALK-UP,CORONA,18,722000,16.0,12.2
4-01438-0001,40.752008,-73.930861,JACKSON HEIGHTS,4-05137-0005,1.0,D7-ELEVATOR,FLUSHING-NORTH,360,19700000,322.0,15.25
4-01946-0001,40.737783,-73.859463,CORONA,4-05137-0005,4.0,D6-ELEVATOR,CORONA,225,9680000,322.0,11.46
4-02152-0106,40.73038,-73.850452,FOREST HILLS,4-02265-0079,6.0,D1-ELEVATOR,REGO PARK,48,3810000,92.0,17.73
4-05146-0027,40.750951,-73.82282,FLUSHING-NORTH,4-05025-0050,7.0,D1-ELEVATOR,FLUSHING-NORTH,79,3330000,208.0,12.99
4-01132-0036,,,WOODSIDE,4-15563-0056,,D1-ELEVATOR,JAMAICA,59,2680000,154.0,10.8
4-01472-0020,,,JACKSON HEIGHTS,4-01532-0016,,C1-WALK-UP,CORONA,18,722000,16.0,12.2
4-02288-0027,,,SUNNYSIDE,4-00207-0001,,D1-ELEVATOR,SUNNYSIDE,62,1520000,140.0,14.65
4-04602-0119,40.791543,-73.795818,BEECHHURST,4-05022-0008,7.0,D1-ELEVATOR,FLUSHING-NORTH,32,1530000,62.0,10.55
4-08762-0001,40.742933,-73.701626,FLORAL PARK,4-06691-0011,13.0,C1-WALK-UP,FLUSHING-NORTH,120,380000,42.0,9.16
4-11466-0025,40.665862,-73.846602,HOWARD BEACH,4-09226-0042,10.0,C7-WALK-UP,FLUSHING-NORTH,80,1320000,40.0,10.81
4-05730-0001,,,WHITESTONE,4-05421-0036,,C9-WALK-UP,FLUSHING-NORTH,88,1120000,19.0,14.52
4-09665-0001,40.712633,-73.818554,BRIARWOOD,4-03322-0040,8.0,D1-ELEVATOR,KEW GARDENS,256,7590000,186.0,13.66
4-05863-0060,40.785264,-73.781635,BAYSIDE,4-05421-0036,7.0,C9-WALK-UP,FLUSHING-NORTH,96,1120000,19.0,14.52
4-01281-0025,,,JACKSON HEIGHTS,4-15543-0046,,D1-ELEVATOR,REGO PARK,64,9790000,37.0,12.57
4-04591-0083,,,BEECHHURST,4-05022-0008,,D1-ELEVATOR,FLUSHING-NORTH,32,1530000,62.0,10.55
4-02266-0100,40.717459,-73.833648,FOREST HILLS,4-02265-0079,6.0,D1-ELEVATOR,FLUSHING-NORTH,47,2010000,92.0,11.62
4-11434-0007,40.668486,-73.846906,HOWARD BEACH,4-12311-0050,10.0,C9-WALK-UP,SO. JAMAICA-BAISLEY PARK,151,1170000,46.0,11.82
4-09713-0113,40.711093,-73.816588,BRIARWOOD,4-09768-0012,8.0,D1-ELEVATOR,JAMAICA,70,3310000,69.0,11.8
4-05878-0075,40.78178,-73.783907,BAYSIDE,4-05865-0112,7.0,D1-ELEVATOR,BAYSIDE,120,8460000,152.0,14.57
