queens_cooperatives_comparable_properties_boro_block_lot,queens_cooperatives_comparable_properties_address,postcode,comparable_rental_2_gross_sqft,comparable_rental_2_market_value_per_sqft,comparable_rental_2_gross_income_per_sqft,queens_cooperatives_comparable_properties_full_market_value,comparable_rental_1_year_built,bbl,comparable_rental_2_year_built
4-01451-0032,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""90 11 35 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11372.0,76512.0,36.2,10.73,3460000,1954,4014510032.0,1951.0
4-03154-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""66 15 THORNTON PLACE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11374.0,275197.0,56.0,14.21,7220000,1960,4031540001.0,1959.0
4-11451-0009,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""155 25 155 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,31365.0,64.0,15.87,3760000,1951,,1972.0
4-01727-0008,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""112 24 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11368.0,317305.0,63.0,15.6,14500000,1965,4017270008.0,1965.0
4-02141-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""69 40"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,111672.0,46.5,12.37,8630000,1942,,1943.0
4-02874-0002,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 16 60 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11373.0,46692.0,38.6,10.94,5240000,1959,4028740002.0,1962.0
4-05025-0020,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 30 ROOSEVELT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11354.0,93546.0,57.0,14.32,4390000,1962,4050250020.0,1961.0
4-02874-0055,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 05 60 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11373.0,46692.0,38.6,10.94,3210000,1959,4028740055.0,1962.0
4-02225-0019,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""71 36 110 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,53525.0,66.0,16.2,4980000,1958,4022250019.0,1951.0
4-01474-0047,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""37 51 86 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,48900.0,35.0,10.32,2470000,1957,,1954.0
4-08353-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""60 33 251 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11362.0,30981.0,40.7,11.51,6440000,1928,4083580001.0,1950.0
4-01177-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""32 05 81 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",,23516.0,57.0,14.25,2640000,1921,,1929.0
4-16230-0044,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""130 BEACH 121 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11694.0,322584.0,47.4,12.63,2290000,1952,4162300044.0,1952.0
4-03312-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""107 01 PARK LANE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11363.0,140196.0,54.0,13.66,11400000,1927,,1950.0
4-05002-0087,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""141 25 NORTHERN BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11354.0,67652.0,39.2,11.11,5910000,1929,4050020087.0,1925.0
4-09265-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""85 11 LEFFERTS BOULEVARD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11415.0,61000.0,39.2,11.11,1680000,1939,4092650001.0,1928.0
4-05122-0046,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""134 25 FRANKLIN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11355.0,189748.0,46.7,12.44,7990000,1958,4051220046.0,1962.0
4-05302-0117,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""36 30 172 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11358.0,12915.0,38.5,10.91,639000,1928,4053020117.0,1930.0
4-03291-0001,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""73 20 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",11375.0,56636.0,57.0,14.24,7000000,1931,4032910001.0,1937.0
