gi_id,bbl,tree_latin,constructed_date,status_gro,row_onsite,asset_y_co,constructi,asset_area,asset_type,asset_leng,program_ar,dep_contra,sewer_type,:@computed_region_92fq_4b7q
PP4046.1,3061950007.0,,,Final Design,ROW,162472.45,GKOH15-04,2680.0,ROW Porous Concrete,670.0,Right of Way (ROW),GKOH15-04,Combined,45
QCD_2,4065170001.0,,,Final Design,Onsite,207885.254,,1242.0,Permeable Pavers,0.0,Incentivized,GQTI10-07,Combined,24
2371a,4117730120.0,No Tree,2022-06-09T00:00:00.000,Constructed,ROW,183626.1682,GCJA03-3B,50.0,ROWB,10.0,Right of Way (ROW),GQJA03-03,Combined,46
447-1a,3016020019.0,Gleditsia triacanthos var. inermis,2016-05-31T00:00:00.000,Constructed,ROW,191820.81,GKNC15-02,100.0,ROWB,20.0,Right of Way (ROW),GKNC15-02,Combined,49
2349b,4053890001.0,Quercus palustris,2022-08-31T00:00:00.000,Constructed,ROW,215881.06238,GCTI10-1B,65.0,ROWB,13.0,Right of Way (ROW),GQTI10-01,Combined,3
507b,4015700056.0,Zelkova serrata,2016-03-15T00:00:00.000,Constructed,ROW,210136.85,GQBB08-01,45.0,ROWB,10.0,Right of Way (ROW),OGI-DESIGN-3,Combined,5
6071A,3081630032.0,No Tree,2025-03-13T00:00:00.000,Constructed,ROW,174277.8372,GKCI05-3A,65.0,ROWB,13.0,Right of Way (ROW),GKCI05-03,Combined,8
SS,1015960075.0,,2018-07-01T00:00:00.000,Constructed,Onsite,230921.0,,528.0,Subsurface Detention System,0.0,Public Onsite,BEPA_CPI_17,Combined,36
0399A,4031170036.0,No Tree,2019-10-01T00:00:00.000,Constructed,ROW,203815.7,OGI-DESIGN-2-GQBB06-03-01,50.0,ROWB,10.0,Right of Way (ROW),OGI-DESIGN-2,Combined,28
IB1463D,4088630069.0,No Tree,2021-06-29T00:00:00.000,Constructed,ROW,192192.417,53320022-02,65.0,ROW Infiltration Basin with Concrete Top,13.0,Right of Way (ROW),GK26W5-05,Combined,41
RG-01,2029410001.0,,,Final Design,Onsite,244605.0,,1205.0,Rain Garden,0.0,External,X010-222M,Combined,43
170d,3033810023.0,No Tree,2017-08-10T00:00:00.000,Constructed,ROW,190511.75,GKNC15-02,40.0,ROWB,10.0,Right of Way (ROW),GKNC15-02,Combined,37
IB32545B,4047650038.0,No Tree,2024-06-28T00:00:00.000,Constructed,ROW,225228.02,GQTI03-23,58.5,ROW Infiltration Basin with Grass Top,13.0,Right of Way (ROW),GQTI23-01,Combined,20
209b,3047520058.0,Amelanchier canadensis,2016-06-30T00:00:00.000,Constructed,ROW,176737.32,GK26W3-03,45.0,ROWB,10.0,Right of Way (ROW),GK26W3-03,Combined,25
2053B,4000440027.0,Metasequoia glyptostroboides,2020-12-31T00:00:00.000,Constructed,ROW,210279.64,GCBB26-01,100.0,ROWB,20.0,Right of Way (ROW),GQBB13-01,Combined,33
262d,3032660001.0,No Tree,2017-08-03T00:00:00.000,Constructed,ROW,193263.28,GKNC15-02,60.0,ROWB,12.0,Right of Way (ROW),GKNC15-02,Combined,37
1282a,4017750089.0,Liquidambar styraciflua,2016-03-15T00:00:00.000,Constructed,ROW,213086.43,GQBB08-01,75.0,ROWB,15.0,Right of Way (ROW),OGI-DESIGN-3,Combined,21
261a,3079130001.0,Zelkova serrata,2016-06-30T00:00:00.000,Constructed,ROW,175281.14,GK26W3-03,100.0,ROWB,20.0,Right of Way (ROW),GK26W3-03,Combined,26
2084A,4090130039.0,Maackia amurensis,2021-05-14T00:00:00.000,Constructed,ROW,188310.7,53320022-05,55.0,ROWB,11.0,Right of Way (ROW),GK26W5-05,Combined,41
OakT_Arthur_W2,2030630102.0,Crataegus viridis,2013-10-01T00:00:00.000,Constructed,ROW,249373.61731,,170.0,ROWSGS,17.0,External,CNYG-5009M,Combined,22
6168K,4002360032.0,Gleditsia triacanthos var. inermis,2019-11-08T00:00:00.000,Constructed,ROW,208858.06,GQBB09-01,65.0,ROWB,13.0,Right of Way (ROW),GQBB09-01,Combined,33
2-IB682a,3022270001.0,No Tree,2022-07-16T00:00:00.000,Constructed,ROW,195496.9184,GNCB14-2A,65.0,ROW Infiltration Basin with Concrete Top,13.0,Right of Way (ROW),GKNC14-06,Combined,38
4402c,4021150001.0,Quercus acutissima,2015-05-20T00:00:00.000,Constructed,ROW,205167.89573,GQBB06-01,50.0,ROWB,10.0,Right of Way (ROW),GQBB06-01,Combined,28
GS578A,4114010005.0,No Tree,2021-05-06T00:00:00.000,Constructed,ROW,184478.39,53320022-03,45.5,ROWGS,13.0,Right of Way (ROW),GK26W5-06,Combined,41
1354B,4088440050.0,Maackia amurensis,2021-06-29T00:00:00.000,Constructed,ROW,191853.389,53320022-02,55.0,ROWB,11.0,Right of Way (ROW),GK26W5-05,Combined,34
1099-1b,3039330041.0,No Tree,2021-06-29T00:00:00.000,Constructed,ROW,186635.34,53320022-01,100.0,ROWB,20.0,Right of Way (ROW),GK26W5-04,Combined,37
477a,3037940001.0,No Tree,2015-10-15T00:00:00.000,Constructed,ROW,181140.34,GK26W3-03,50.0,ROWB,10.0,Right of Way (ROW),GK26W3-03,Combined,25
773c,4015970001.0,No Tree,2016-03-15T00:00:00.000,Constructed,ROW,211478.16,GQBB08-01,40.0,ROWB,10.0,Right of Way (ROW),OGI-DESIGN-3,Combined,21
2162c,4052800041.0,No Tree,2022-08-31T00:00:00.000,Constructed,ROW,218043.36154,GCTI10-1B,82.5,ROWB,15.0,Right of Way (ROW),GQTI10-01,Combined,20
187c,3036800040.0,Liquidambar styraciflua,2016-01-15T00:00:00.000,Constructed,ROW,185154.59,GK26W3-03,75.0,ROWB,15.0,Right of Way (ROW),GK26W3-03,Combined,37
IB1017A,4114800033.0,No Tree,2021-06-11T00:00:00.000,Constructed,ROW,185886.68,GCJA03-2B,52.0,ROW Infiltration Basin with Concrete Top,13.0,Right of Way (ROW),GQJA03-02,Combined,41
321a,3047570001.0,No Tree,2016-06-30T00:00:00.000,Constructed,ROW,177361.13,GK26W3-03,75.0,ROWB,15.0,Right of Way (ROW),GK26W3-03,Combined,25
68B,3014730034.0,No Tree,2015-12-08T00:00:00.000,Constructed,ROW,183360.26,GK26W3-03,50.0,ROWB,10.0,Right of Way (ROW),GK26W3-03,Combined,17
2375b,4117740500.0,Cercis canadensis,2022-06-09T00:00:00.000,Constructed,ROW,183629.2084,GCJA03-3B,65.0,ROWB,13.0,Right of Way (ROW),GQJA03-03,Combined,46
1844AA,3041510054.0,No Tree,2021-05-14T00:00:00.000,Constructed,ROW,188205.671,53320022-05,65.0,ROWB,13.0,Right of Way (ROW),GK26W5-05,Combined,37
1379b,3040450036.0,No Tree,2021-06-29T00:00:00.000,Constructed,ROW,183373.79,53320022-01,40.0,ROWB,10.0,Right of Way (ROW),GK26W5-04,Combined,25
1097a,4116270041.0,No Tree,2020-06-29T00:00:00.000,Constructed,ROW,186958.8201,GCJA03-3A,58.5,ROWB,13.0,Right of Way (ROW),GQJA03-03,Combined,46
0292a,3034610032.0,Gleditsia triacanthos var. inermis,2016-02-03T00:00:00.000,Constructed,ROW,188132.74,GKNC15-02,100.0,ROWB,20.0,Right of Way (ROW),GKNC15-02,Combined,37
IB931G,4056780034.0,No Tree,2021-11-18T00:00:00.000,Constructed,ROW,210591.5388,GCTI10-02,60.0,ROW Infiltration Basin with Grass Top,15.0,Right of Way (ROW),GQTI10-02,Combined,3
IB248C,4071780047.0,No Tree,2021-11-18T00:00:00.000,Constructed,ROW,206111.3814,GCTI10-02,56.0,ROW Infiltration Basin with Grass Top,14.0,Right of Way (ROW),GQTI10-02,Combined,16
IB1144AB,4093830001.0,No Tree,2021-06-11T00:00:00.000,Constructed,ROW,190300.46,GCJA03-2B,100.0,ROW Infiltration Basin with Combination of Concrete and Grass Top,20.0,Right of Way (ROW),GQJA03-02,Combined,46
1160b,4026970005.0,Other (See notes),2016-12-28T00:00:00.000,Constructed,ROW,201774.37,GCNC77-02,40.0,ROWB,10.0,Right of Way (ROW),GQNC77-01,Combined,34
IB013a,2038160023.0,No Tree,2021-07-30T00:00:00.000,Constructed,ROW,241412.6209,GXHP12-01-GXHP16-01,66.0,ROW Infiltration Basin with Concrete Top,11.0,Right of Way (ROW),GXHP12-02,Combined,31
IB451AA,4094880047.0,No Tree,2020-10-14T00:00:00.000,Constructed,ROW,190139.26,GCJA03-2A,80.0,ROW Infiltration Basin with Grass Top,20.0,Right of Way (ROW),GQJA03-02,Combined,46
368a,3035440001.0,Quercus bicolor,2015-10-15T00:00:00.000,Constructed,ROW,181831.85312,GK26W3-03,85.0,ROWB,17.0,Right of Way (ROW),GK26W3-03,Combined,17
1655b,4054500044.0,Acer rubrum,2021-06-24T00:00:00.000,Constructed,ROW,214381.24,GCTI10-1A,54.0,ROWB,12.0,Right of Way (ROW),GQTI10-01,Combined,20
IB1246B,4089130006.0,No Tree,2021-06-29T00:00:00.000,Constructed,ROW,191154.393,53320022-02,55.0,ROW Infiltration Basin with Concrete Top,11.0,Right of Way (ROW),GK26W5-05,Combined,34
338d,3033610041.0,No Tree,2017-08-03T00:00:00.000,Constructed,ROW,192539.45,GKNC15-02,48.0,ROWB,12.0,Right of Way (ROW),GKNC15-02,Combined,37
IB1286F,4089160007.0,No Tree,2021-06-29T00:00:00.000,Constructed,ROW,190746.939,53320022-02,50.0,ROW Infiltration Basin with Concrete Top,10.0,Right of Way (ROW),GK26W5-05,Combined,41
4153-1A,3079670060.0,No Tree,2025-03-13T00:00:00.000,Constructed,ROW,173679.4023,GKCI05-3A,44.0,ROWB,11.0,Right of Way (ROW),GKCI05-03,Combined,8
IB725A,4094310040.0,No Tree,2021-06-11T00:00:00.000,Constructed,ROW,189526.86,GCJA03-2B,45.0,ROW Infiltration Basin with Concrete Top,10.0,Right of Way (ROW),GQJA03-02,Combined,46
IB3059A,2048280031.0,No Tree,2021-05-30T00:00:00.000,Constructed,ROW,263528.93,GXHP07-02,67.5,ROW Infiltration Basin with Concrete Top,15.0,Right of Way (ROW),GXHP07-02,Combined,2
IB1953C,4090770025.0,No Tree,2021-05-14T00:00:00.000,Constructed,ROW,187030.424,53320022-05,100.0,ROW Infiltration Basin with Concrete Top,20.0,Right of Way (ROW),GK26W5-05,Combined,41
20A,4095870028.0,Quercus palustris,2020-10-14T00:00:00.000,Constructed,ROW,190791.30723,GCJA03-2A,60.0,ROWB,15.0,Right of Way (ROW),GQJA03-02,Combined,46
IB260b,4012090001.0,No Tree,2022-12-30T00:00:00.000,Constructed,ROW,212841.97716,BB05-01-A,67.5,ROW Infiltration Basin with Concrete Top,15.0,Right of Way (ROW),GQBB05-03,Combined,33
IB6001C,3048900025.0,No Tree,2024-04-30T00:00:00.000,Constructed,ROW,176097.78987,GKCI05-1A,44.0,ROW Infiltration Basin with Concrete Top,11.0,Right of Way (ROW),GKCI05-01,Combined,26
IB72831C,4058000023.0,No Tree,2024-06-28T00:00:00.000,Constructed,ROW,222126.8522,GQTI03-23,90.0,ROW Infiltration Basin with Grass Top,20.0,Right of Way (ROW),GQTI23-01,Combined,20
IB3063a,3046420025.0,,2024-12-23T00:00:00.000,Constructed,ROW,178188.41667,GKCI05-2A,66.0,ROW Infiltration Basin with Concrete Top,11.0,Right of Way (ROW),GKCI05-02,Combined,17
464D,3035310019.0,No Tree,2015-08-27T00:00:00.000,Constructed,ROW,181530.22,GK26W3-03,50.0,ROWB,10.0,Right of Way (ROW),GK26W3-03,Combined,17
X083-01STa,2041250001.0,,,In Construction,Onsite,248659.913,GI-CONS-5,3285.0,Synthetic Turf Field Storage Layer,73.0,Public Onsite,GX-S-X083,Combined,12
355C,4051020001.0,No Tree,2017-11-17T00:00:00.000,Constructed,ROW,213822.3683,GCTI11-01,52.0,ROWB,13.0,Right of Way (ROW),GQTI22-02,Combined,3
1452c,4052980044.0,No Tree,2021-06-24T00:00:00.000,Constructed,ROW,217824.39542,GCTI10-1A,58.5,ROWB,13.0,Right of Way (ROW),GQTI10-01,Combined,20
5104A,4001950032.0,Quercus palustris,2019-11-08T00:00:00.000,Constructed,ROW,210150.299,GQBB09-01,100.0,ROWB,20.0,Right of Way (ROW),GQBB26-01,Combined,33
3-IB192a,3020720012.0,No Tree,2022-07-16T00:00:00.000,Constructed,ROW,191537.9056,GNCB14-2A,60.0,ROW Infiltration Basin with Concrete Top,10.0,Right of Way (ROW),GKNC14-07,Combined,48
1560A,4048270019.0,No Tree,2019-10-21T00:00:00.000,Constructed,ROW,219930.049,GCTI11-02,52.0,ROWB,13.0,Right of Way (ROW),GQTI11-03,Combined,20
414d,3031850001.0,No Tree,2016-08-25T00:00:00.000,Constructed,ROW,194510.9,GKNC15-02,40.0,ROWB,10.0,Right of Way (ROW),GKNC15-02,Combined,30
385a,3033260011.0,Other (See notes),2017-08-03T00:00:00.000,Constructed,ROW,193573.75,GKNC15-02,58.5,ROWB,13.0,Right of Way (ROW),GKNC15-02,Combined,37
MPCCC-1,3084960001.0,,2013-01-01T00:00:00.000,Constructed,Onsite,160782.58933,,2000.0,Green Roof,0.0,External,OTHER-DPR-GR,MS4,8
5079d,3047490044.0,Koelreuteria paniculata 'Rose Lantern',2024-12-23T00:00:00.000,Constructed,ROW,176445.39,GKCI05-2A,72.0,ROWB,12.0,Right of Way (ROW),GKCI05-02,Combined,26
IB840A,3034000046.0,No Tree,2022-12-30T00:00:00.000,Constructed,ROW,193153.3404,BB05-01-A,50.0,ROW Infiltration Basin with Concrete Top,10.0,Right of Way (ROW),OGI-DESIGN-1,Combined,37
IB566h,4067150012.0,No Tree,2021-10-31T00:00:00.000,Constructed,ROW,200812.24,GCTI10-4B,44.0,ROW Infiltration Basin with Grass Top,10.0,Right of Way (ROW),GQTI10-04,Combined,24
ERFIREBOAT-1,1003160200.0,,2013-10-06T00:00:00.000,Constructed,Onsite,198979.9182,,700.0,Green Roof,0.0,External,OTHER-DPR-GR,Combined,50
1-IB416b,3016750064.0,No Tree,2022-07-16T00:00:00.000,Constructed,ROW,187563.8432,GNCB14-2A,67.5,ROW Infiltration Basin with Concrete Top,15.0,Right of Way (ROW),GKNC14-05,Combined,49
1393f,4067390045.0,No Tree,2021-10-31T00:00:00.000,Constructed,ROW,208999.66,GCTI10-4B,40.0,ROWB,10.0,Right of Way (ROW),GQTI10-04,Combined,3
433c,4015140022.0,No Tree,2016-03-15T00:00:00.000,Constructed,ROW,211050.27,GQBB08-01,67.5,ROWB,15.0,Right of Way (ROW),OGI-DESIGN-3,Combined,5
IB6011a,3047370058.0,,2024-12-23T00:00:00.000,Constructed,ROW,175249.23,GKCI05-2A,64.0,ROW Infiltration Basin with Concrete Top,16.0,Right of Way (ROW),GKCI05-02,Combined,26
RG01,4055090300.0,,2024-12-17T00:00:00.000,Constructed,Onsite,210045.0,Q024-121M,1080.0,Rain Garden,0.0,Public Onsite,QG-119M,Combined,3
1250G,4089120009.0,No Tree,2021-06-29T00:00:00.000,Constructed,ROW,190914.661,53320022-02,60.0,ROWB,12.0,Right of Way (ROW),GK26W5-05,Combined,34
NYBG_F3,2032720001.0,,2016-11-15T00:00:00.000,Constructed,Onsite,253487.76991,,4082.0,Permeable Pavers,0.0,Incentivized,GXWI68-01,Combined,22
IB1537D,4069280056.0,No Tree,2021-12-15T00:00:00.000,Constructed,ROW,206317.13,GCTI10-03,49.5,ROW Infiltration Basin with Concrete Top,11.0,Right of Way (ROW),GQTI10-03,Combined,24
IB1294c,4067430001.0,No Tree,2021-10-31T00:00:00.000,Constructed,ROW,208145.27,GCTI10-4B,49.5,ROW Infiltration Basin with Concrete Top,10.0,Right of Way (ROW),GQTI10-04,Combined,24
IB5116A,3081840061.0,No Tree,2025-03-13T00:00:00.000,Constructed,ROW,173921.8767,GKCI05-3A,88.0,ROW Infiltration Basin with Concrete Top,16.0,Right of Way (ROW),GKCI05-03,Combined,8
B-20,4115310036.0,No Tree,2020-07-24T00:00:00.000,Constructed,ROW,183840.61,HWQ411B,100.0,ROWB,20.0,Right of Way (ROW),HWQ411B,Combined,41
396d,3037660001.0,Magnolia virginiana,2015-08-15T00:00:00.000,Constructed,ROW,182715.71,GK26W3-03,45.0,ROWB,10.0,Right of Way (ROW),GK26W3-03,Combined,25
IB2159c,4117470063.0,,2022-06-09T00:00:00.000,Constructed,ROW,184657.5161,GCJA03-3B,60.0,ROW Infiltration Basin with Concrete Top,10.0,Right of Way (ROW),GQJA03-03,Combined,46
GS2151A,4089800041.0,No Tree,2021-05-14T00:00:00.000,Constructed,ROW,189515.603,53320022-05,36.0,ROWGS,12.0,Right of Way (ROW),GK26W5-05,Combined,41
IB189G,4094720035.0,No Tree,2020-10-14T00:00:00.000,Constructed,ROW,191655.6,GCJA03-2A,65.0,ROW Infiltration Basin with Concrete Top,13.0,Right of Way (ROW),GQJA03-02,Combined,46
SS,2027660061.0,,2019-11-30T00:00:00.000,Constructed,Onsite,235904.0,,166.7,Subsurface Detention System,0.0,Public Onsite,BEPA_CPI_9,Combined,43
1800B,4055180001.0,Liquidambar styraciflua,2021-11-18T00:00:00.000,Constructed,ROW,215362.99,GCTI10-02,80.0,ROWB,20.0,Right of Way (ROW),GQTI10-02,Combined,20
2291A,4090400092.0,No Tree,2021-05-14T00:00:00.000,Constructed,ROW,189358.12,53320022-05,90.0,ROWB,18.0,Right of Way (ROW),GK26W5-05,Combined,41
116a,4015077502.0,Ginkgo biloba,2017-12-31T00:00:00.000,Constructed,ROW,210864.81,GCJAM-01,50.0,ROWB,10.0,Right of Way (ROW),OGI-DESIGN-3,Combined,5
IB1350A,4088450030.0,No Tree,2021-06-29T00:00:00.000,Constructed,ROW,192349.129,53320022-02,55.0,ROW Infiltration Basin with Concrete Top,11.0,Right of Way (ROW),GK26W5-05,Combined,34
1184C,4036880020.0,Cercis canadensis,2022-12-30T00:00:00.000,Constructed,ROW,195860.4095,BB05-01-A,52.0,ROWB,13.0,Right of Way (ROW),OGI-DESIGN-1,Combined,34
IB113A,4014880006.0,No Tree,2022-09-30T00:00:00.000,Constructed,ROW,211428.79,BB05-02-A,80.0,ROW Infiltration Basin with Concrete Top,16.0,Right of Way (ROW),GQBB05-04,Combined,5
IB752a,4066260062.0,No Tree,2021-11-02T00:00:00.000,Constructed,ROW,202585.94,GCTI10-4A,65.0,ROW Infiltration Basin with Concrete Top,13.0,Right of Way (ROW),GQTI10-04,Combined,24
401A,3035090001.0,Liquidambar styraciflua,2015-08-27T00:00:00.000,Constructed,ROW,181748.52,GK26W3-03,100.0,ROWB,20.0,Right of Way (ROW),GK26W3-03,Combined,17
IB11209A,4044570054.0,No Tree,2024-06-28T00:00:00.000,Constructed,ROW,227824.4,GQTI03-23,76.5,ROW Infiltration Basin with Grass Top,17.0,Right of Way (ROW),GQTI03-01,Combined,20
AC_1,1019160061.0,,,Final Design,Onsite,235440.0,,4663.0,Green Roof,0.0,Incentivized,GMNR43-02,Combined,36
IB21009C,4047070061.0,No Tree,2024-06-28T00:00:00.000,Constructed,ROW,223863.3145,GQTI03-23,90.0,ROW Infiltration Basin with Grass Top,20.0,Right of Way (ROW),GQTI03-01,Combined,20
257D,3036930016.0,Quercus bicolor,2015-11-05T00:00:00.000,Constructed,ROW,184362.33,GK26W3-03,75.0,ROWB,15.0,Right of Way (ROW),GK26W3-03,Combined,37
433B,4077230010.0,Quercus palustris,2021-11-18T00:00:00.000,Constructed,ROW,207800.74046,GCTI10-02,100.0,ROWB,20.0,Right of Way (ROW),GQTI10-02,Combined,16
1461a,3039090008.0,No Tree,2021-06-29T00:00:00.000,Constructed,ROW,188326.91,53320022-01,58.5,ROWB,13.0,Right of Way (ROW),GK26W5-04,Combined,37
5106B,2043380012.0,No Tree,2020-10-22T00:00:00.000,Constructed,ROW,252119.11,GXHP07-02,40.0,ROWRG,10.0,Right of Way (ROW),GXHP07-02,Combined,22
IB5030I,3048490027.0,No Tree,2024-04-30T00:00:00.000,Constructed,ROW,177975.26536,GKCI05-1A,50.0,ROW Infiltration Basin with Combination of Concrete and Grass Top,10.0,Right of Way (ROW),GKCI05-01,Combined,17
1618A,4048080001.0,Cercis reniformis 'Oklahoma',2019-10-21T00:00:00.000,Constructed,ROW,220005.889,GCTI11-02,72.0,ROWB,18.0,Right of Way (ROW),GQTI11-03,Combined,20
188i,4018350064.0,Chionanthus virginicus,2016-03-15T00:00:00.000,Constructed,ROW,208701.73,GQBB08-01,50.0,ROWB,10.0,Right of Way (ROW),OGI-DESIGN-3,Combined,5
1906c,3040330116.0,No Tree,2021-10-05T00:00:00.000,Constructed,ROW,184251.48,53320022-04,40.0,ROWB,10.0,Right of Way (ROW),GK26W5-04,Combined,25
PP5082,3062700019.0,,,Final Design,ROW,163008.9494,GKOH15-04,2680.0,ROW Porous Concrete,670.0,Right of Way (ROW),GKOH15-04,Combined,44
0289A,4029460023.0,No Tree,2019-10-01T00:00:00.000,Constructed,ROW,204254.9,OGI-DESIGN-2-GQBB06-03-01,58.5,ROWB,13.0,Right of Way (ROW),OGI-DESIGN-2,Combined,28
11b,3029130035.0,Other (See notes),2016-08-25T00:00:00.000,Constructed,ROW,199837.3,GKNC15-02,75.0,ROWB,15.0,Right of Way (ROW),GKNC15-02,Combined,30
365D,4094620019.0,Quercus phellos,2020-10-14T00:00:00.000,Constructed,ROW,191773.4283,GCJA03-2A,44.0,ROWB,11.0,Right of Way (ROW),GQJA03-02,Combined,46
IB778b,4065990076.0,No Tree,2021-11-02T00:00:00.000,Constructed,ROW,203652.69,GCTI10-4A,44.0,ROW Infiltration Basin with Grass Top,11.0,Right of Way (ROW),GQTI10-04,Combined,24
139,4024450001.0,No Tree,2015-12-17T00:00:00.000,Constructed,ROW,208388.74853,GQBB06-01,45.0,ROWB,10.0,Right of Way (ROW),GQBB06-01,Combined,34
IB1498AB,4088780020.0,No Tree,2021-06-29T00:00:00.000,Constructed,ROW,192932.675,53320022-02,56.0,ROW Infiltration Basin with Concrete Top,14.0,Right of Way (ROW),GK26W5-05,Combined,41
IB2765a,3044280020.0,No Tree,2021-07-21T00:00:00.000,Constructed,ROW,179148.97,53320022-04,108.0,ROW Infiltration Basin with Concrete Top,18.0,Right of Way (ROW),GK26W5-04,Combined,25
1858-4B,4062420016.0,No Tree,2021-11-18T00:00:00.000,Constructed,ROW,218278.577,GCTI10-02,58.5,ROWB,13.0,Right of Way (ROW),GQTI10-02,Combined,20
218A,4132590016.0,Carpinus caroliniana,2021-06-15T00:00:00.000,Constructed,ROW,182255.0769,GI-NYR-2,49.5,ROWB,11.0,Right of Way (ROW),GI-NYR,Non-combined,47
IB1171C,4095230051.0,No Tree,2021-06-11T00:00:00.000,Constructed,ROW,187244.95,GCJA03-2B,100.0,ROW Infiltration Basin with Concrete Top,20.0,Right of Way (ROW),GQJA03-02,Combined,41
705A,2040170022.0,No Tree,2021-05-30T00:00:00.000,Constructed,ROW,245463.6926,GXHP07-03,64.0,ROWB,16.0,Right of Way (ROW),GXHP07-03,Combined,22
1047a,4066600040.0,No Tree,2021-10-31T00:00:00.000,Constructed,ROW,204230.51,GCTI10-4B,54.0,ROWB,12.0,Right of Way (ROW),GQTI10-04,Combined,24
956b,4027140023.0,Other (See notes),2016-12-28T00:00:00.000,Constructed,ROW,203341.66826,GCNC77-02,45.0,ROWB,10.0,Right of Way (ROW),GQNC77-01,Combined,34
026d,2038270101.0,No Tree,2021-07-30T00:00:00.000,Constructed,ROW,241422.54,GXHP12-01-GXHP16-01,39.0,ROWGS,13.0,Right of Way (ROW),GXHP12-02,Combined,31
IB2018B,4055890029.0,No Tree,2021-12-15T00:00:00.000,Constructed,ROW,211708.97,GCTI10-03,100.0,ROW Infiltration Basin with Combination of Concrete and Grass Top,20.0,Right of Way (ROW),GQTI10-03,Combined,3
681b-1,4015920019.0,No Tree,2022-09-30T00:00:00.000,Constructed,ROW,210973.2202,BB05-02-A,40.0,ROWB,10.0,Right of Way (ROW),OGI-DESIGN-3,Combined,21
197a,3030090008.0,Other (See notes),2016-08-25T00:00:00.000,Constructed,ROW,196457.5,GKNC15-02,90.0,ROWB,18.0,Right of Way (ROW),GKNC15-02,Combined,30
IB1164a,3036890001.0,No Tree,2021-06-29T00:00:00.000,Constructed,ROW,185161.41,53320022-01,63.0,ROW Infiltration Basin with Concrete Top,18.0,Right of Way (ROW),GK26W4-01,Combined,37
IB6003e,3047420001.0,,2024-12-23T00:00:00.000,Constructed,ROW,175589.27,GKCI05-2A,102.0,ROW Infiltration Basin with Concrete Top,17.0,Right of Way (ROW),GKCI05-02,Combined,26
IB2116a,3046480001.0,No Tree,2024-12-23T00:00:00.000,Constructed,ROW,179117.63125,GKCI05-2A,114.0,ROW Infiltration Basin with Concrete Top,19.0,Right of Way (ROW),GKCI05-02,Combined,17
IB546B,4024340034.0,Cercis canadensis,2022-12-30T00:00:00.000,Constructed,ROW,208040.52,BB05-01-A,75.0,ROW Infiltration Basin with Concrete Top,15.0,Right of Way (ROW),GQBB05-02,Combined,34
IB21031C,4046290030.0,No Tree,2024-06-28T00:00:00.000,Constructed,ROW,224519.8358,GQTI03-23,60.0,ROW Infiltration Basin with Grass Top,10.0,Right of Way (ROW),GQTI03-01,Combined,20
IB82397A,4048690021.0,No Tree,2024-06-28T00:00:00.000,Constructed,ROW,220663.3767,GQTI03-23,90.0,ROW Infiltration Basin with Grass Top,20.0,Right of Way (ROW),GQTI23-01,Combined,20
IB231B,4013990030.0,No Tree,2022-09-30T00:00:00.000,Constructed,ROW,215566.29005,BB05-02-A,52.0,ROW Infiltration Basin with Concrete Top,13.0,Right of Way (ROW),GQBB05-05,Combined,5
2042-1e,4049360033.0,Quercus palustris,2022-08-31T00:00:00.000,Constructed,ROW,219024.48785,GCTI10-1B,52.0,ROWB,13.0,Right of Way (ROW),GQTI10-01,Combined,20
2321a,4054390046.0,No Tree,2022-08-31T00:00:00.000,Constructed,ROW,214906.01627,GCTI10-1B,65.0,ROWB,13.0,Right of Way (ROW),GQTI10-01,Combined,3
IB2337a,4117660001.0,No Tree,2022-06-09T00:00:00.000,Constructed,ROW,183748.3434,GCJA03-3B,44.0,ROW Infiltration Basin with Grass Top,20.0,Right of Way (ROW),GQJA03-03,Combined,46
GS1001e,3042300026.0,No Tree,2021-05-06T00:00:00.000,Constructed,ROW,185072.98,53320022-03,35.0,ROWGS,10.0,Right of Way (ROW),GK26W5-06,Combined,25
2386,4022207501.0,Gleditsia triacanthos var. inermis,2017-07-06T00:00:00.000,Constructed,ROW,202993.2,GQBB06-02,40.0,ROWB,10.0,Right of Way (ROW),GQBB06-02,Combined,28
201c,3033750139.0,No Tree,2017-08-10T00:00:00.000,Constructed,ROW,191235.94,GKNC15-02,90.0,ROWB,18.0,Right of Way (ROW),GKNC15-02,Combined,37
IB4020B,3079200096.0,No Tree,2025-03-13T00:00:00.000,Constructed,ROW,174762.0026,GKCI05-3A,120.0,ROW Infiltration Basin with Concrete Top,20.0,Right of Way (ROW),GKCI05-03,Combined,26
K354-01STa,3013700029.0,,2019-05-01T00:00:00.000,Constructed,Onsite,184173.577,,5989.0,Synthetic Turf Field Storage Layer,0.0,Public Onsite,GK-S-354,Combined,49
IB2369a,4117730085.0,No Tree,2022-06-09T00:00:00.000,Constructed,ROW,184231.8634,GCJA03-3B,52.0,ROW Infiltration Basin with Grass Top,13.0,Right of Way (ROW),GQJA03-03,Combined,46
3128B,2046490046.0,No Tree,2020-10-22T00:00:00.000,Constructed,ROW,261395.51991,GXHP07-02,90.0,ROWB,20.0,Right of Way (ROW),GXHP07-02,Combined,2
IB6103A,4001710001.0,No Tree,2020-08-26T00:00:00.000,Constructed,ROW,208720.97,GCBB26-01,55.0,ROW Infiltration Basin with Concrete Top,11.0,Right of Way (ROW),GQBB09-01,Combined,33
