gi_id,bbl,tree_latin,constructed_date,status_gro,row_onsite,asset_y_co,constructi,asset_area,asset_type,asset_leng,program_ar,dep_contra,sewer_type,:@computed_region_92fq_4b7q
IB5095f,3047480024.0,,2024-12-23T00:00:00.000,Constructed,ROW,175900.94,GKCI05-2A,40.0,ROW Infiltration Basin with Concrete Top,10.0,Right of Way (ROW),GKCI05-02,Combined,26
0254e,3015280030.0,Quercus bicolor,2016-02-03T00:00:00.000,Constructed,ROW,187442.75,GKNC15-02,50.0,ROWB,10.0,Right of Way (ROW),GKNC15-02,Combined,37
GS43A,4094480021.0,No Tree,2020-10-14T00:00:00.000,Constructed,ROW,192975.18046,GCJA03-2A,42.0,ROWGS,14.0,Right of Way (ROW),GQJA03-02,Combined,46
0200c,3015640001.0,Quercus phellos,2016-03-23T00:00:00.000,Constructed,ROW,185895.91,GKNC15-02,67.5,ROWB,15.0,Right of Way (ROW),GKNC15-02,Combined,17
188a,3047120042.0,No Tree,2016-06-30T00:00:00.000,Constructed,ROW,177408.11,GK26W3-03,95.0,ROWB,19.0,Right of Way (ROW),GK26W3-03,Combined,25
262A,4029520029.0,Platanus x acerifolia,2022-12-30T00:00:00.000,Constructed,ROW,200487.23,BB05-01-A,52.0,ROWB,13.0,Right of Way (ROW),GQBB05-01,Combined,34
GS1284c,3039990016.0,No Tree,2021-06-29T00:00:00.000,Constructed,ROW,185093.1,53320022-01,45.5,ROWGS,13.0,Right of Way (ROW),GK26W5-04,Combined,37
27a,4024130011.0,No Tree,2017-06-30T00:00:00.000,Constructed,ROW,206585.82999,GCNC77-01,40.0,ROWB,10.0,Right of Way (ROW),GQNC77-01,Combined,34
IB094b,4012220009.0,No Tree,2022-12-30T00:00:00.000,Constructed,ROW,211645.27385,BB05-01-A,52.0,ROW Infiltration Basin with Concrete Top,13.0,Right of Way (ROW),GQBB05-03,Combined,33
IB1107a,3045890095.0,No Tree,2024-12-23T00:00:00.000,Constructed,ROW,180236.8167,GKCI05-2A,90.0,ROW Infiltration Basin with Concrete Top,15.0,Right of Way (ROW),GKCI05-02,Combined,17
241C,3036760009.0,Taxodium distichum,2015-11-05T00:00:00.000,Constructed,ROW,184784.18,GK26W3-03,75.0,ROWB,15.0,Right of Way (ROW),GK26W3-03,Combined,37
IB6057a,3047610032.0,,2024-12-23T00:00:00.000,Constructed,ROW,174212.7,GKCI05-2A,90.0,ROW Infiltration Basin with Concrete Top,20.0,Right of Way (ROW),GKCI05-02,Combined,26
245B,4051347503.0,Zelkova serrata,2017-11-17T00:00:00.000,Constructed,ROW,214559.164,GCTI11-01,65.0,ROWB,13.0,Right of Way (ROW),GQTI22-02,Combined,3
2-IB223d,3017940139.0,No Tree,2022-07-16T00:00:00.000,Constructed,ROW,190431.0042,GNCB14-2A,80.0,ROW Infiltration Basin with Concrete Top,16.0,Right of Way (ROW),GKNC14-06,Combined,49
FrederickJ1,4116380001.0,,2016-05-01T00:00:00.000,Constructed,Onsite,188251.70678,,1048.0,Permeable Pavers,0.0,External,Q119-113M,MS4,46
