other_1,math_level_4_1,math_l3_l4,ell_haitian_creole,ell_bengali,hispanic_1,ela_test_takers,ela_level_3
s,s,s,,,16.8%,33,s
2.2%,s,s,,,35.9%,148,s
0.9%,s,s,,,17.2%,142,41
2.5%,s,s,,,49.1%,240,57
2.0%,1.1%,161,,,47.9%,1760,429
s,s,s,15,10,60.6%,99,s
4.5%,s,s,,,10.3%,787,210
s,s,s,34,46,45.5%,71,s
1.4%,13.2%,95,,,43.1%,371,129
0.4%,s,s,s,159,60.4%,176,s
1.8%,6.3%,81,,,38.8%,578,159
2.1%,1.4%,73,,,38.7%,876,202
2.8%,s,s,,,32.3%,204,50
1.9%,4.9%,24,,,26.2%,148,42
1.9%,s,s,,,13.7%,246,s
s,s,s,s,s,90.9%,62,s
s,s,s,,,50.7%,38,17
4.6%,10.0%,21,,,30.4%,116,40
1.1%,3.1%,25,,,73.3%,314,62
1.5%,9.9%,867,,,33.0%,2607,886
1.1%,3.0%,175,,,68.3%,1325,344
3.3%,1.6%,50,,,11.3%,546,138
3.5%,1.6%,64,,,10.1%,665,166
s,s,s,s,s,58.1%,6,s
s,s,s,,,80.8%,233,s
2.0%,s,s,,,47.1%,100,27
3.4%,s,s,,,36.5%,113,16
1.5%,19.3%,681,,,17.0%,1738,576
1.3%,s,s,271,26,34.1%,94,s
0.7%,s,s,,,68.2%,447,s
1.5%,7.2%,30,,,29.8%,135,34
2.1%,15.7%,152,,,36.6%,550,190
s,s,s,,,23.0%,72,s
1.1%,0.9%,41,,,70.2%,929,206
1.0%,6.0%,24,,,62.9%,114,39
5.4%,15.4%,548,,,36.2%,1825,633
s,s,s,220,s,12.8%,28,s
1.8%,1.0%,132,,,52.1%,1427,338
1.6%,s,s,,,60.2%,65,s
