ind3,ind1rank,perc_other,year_published,perc_white,ind5rank,ind3definition,goalfullname,scorerank,ind8,perc_hispanic
Labor Force Participation,15.0,0.022,2020,0.066,23.0,Percent of the non-institutionalized people age 16 or older who are employed or looking for work,Goal 3: Access to Quality Jobs & Income Supports,Middle,Adults With High School Diploma,0.696
IDNYC Acceptance,24.0,0.023,2020,0.324,29.0,Percentage of bank & credit union branches that accept IDNYC as primary ID,"Goal 1: Access to Affordable, High-Quality Financial Services",Bottom,,0.477
Minority And Women-Owned Business Enterprise,13.0,0.031,2020,0.512,33.0,"Number of NYC certified M/WBEs per 100,000 residents",Goal 5: Opportunities to Build Assets & Plan for the Future,Middle,,0.157
Labor Force Participation,22.0,0.034,2020,0.213,7.0,Percent of the non-institutionalized people age 16 or older who are employed or looking for work,Goal 3: Access to Quality Jobs & Income Supports,Middle,Adults With High School Diploma,0.122
IDNYC Acceptance,35.0,0.027,2020,0.396,34.0,Percentage of bank & credit union branches that accept IDNYC as primary ID,"Goal 1: Access to Affordable, High-Quality Financial Services",Middle,,0.151
IDNYC Acceptance,44.0,0.037,2020,0.286,37.0,Percentage of bank & credit union branches that accept IDNYC as primary ID,"Goal 1: Access to Affordable, High-Quality Financial Services",Bottom,,0.379
Minority And Women-Owned Business Enterprise,21.0,0.028,2020,0.761,7.0,"Number of NYC certified M/WBEs per 100,000 residents",Goal 5: Opportunities to Build Assets & Plan for the Future,Middle,,0.09
Minority And Women-Owned Business Enterprise,22.0,0.026,2020,0.677,5.0,"Number of NYC certified M/WBEs per 100,000 residents",Goal 5: Opportunities to Build Assets & Plan for the Future,Top,,0.144
IDNYC Acceptance,8.0,0.018,2020,0.573,15.0,Percentage of bank & credit union branches that accept IDNYC as primary ID,"Goal 1: Access to Affordable, High-Quality Financial Services",Top,,0.154
IDNYC Acceptance,54.0,0.011,2020,0.013,54.0,Percentage of bank & credit union branches that accept IDNYC as primary ID,"Goal 1: Access to Affordable, High-Quality Financial Services",Middle,,0.688
Goal 3: Access to Quality Jobs & Income Supports,23.0,0.055,2020,0.117,5.0,,Overall Neighborhood Financial Health,Middle,,0.117
Health Care Access,22.0,0.024,2020,0.413,4.0,Percentage of adults who did not receive needed medical care in past year,"Goal 2: Access to Affordable, High-Quality Goods & Services",Top,,0.118
Labor Force Participation,13.0,0.02,2020,0.231,49.0,Percent of the non-institutionalized people age 16 or older who are employed or looking for work,Goal 3: Access to Quality Jobs & Income Supports,Middle,Adults With High School Diploma,0.188
Minority And Women-Owned Business Enterprise,44.0,0.025,2020,0.198,37.0,"Number of NYC certified M/WBEs per 100,000 residents",Goal 5: Opportunities to Build Assets & Plan for the Future,Bottom,,0.096
Minority And Women-Owned Business Enterprise,29.0,0.032,2020,0.716,3.0,"Number of NYC certified M/WBEs per 100,000 residents",Goal 5: Opportunities to Build Assets & Plan for the Future,Middle,,0.07
IDNYC Acceptance,20.0,0.042,2020,0.447,23.0,Percentage of bank & credit union branches that accept IDNYC as primary ID,"Goal 1: Access to Affordable, High-Quality Financial Services",Middle,,0.158
Health Care Access,9.0,0.026,2020,0.677,29.0,Percentage of adults who did not receive needed medical care in past year,"Goal 2: Access to Affordable, High-Quality Goods & Services",Top,,0.144
,,0.028,2020,0.609,,,Majority Race or Ethnicity,,,0.146
Goal 3: Access to Quality Jobs & Income Supports,21.0,0.011,2020,0.836,3.0,,Overall Neighborhood Financial Health,Top,,0.097
