severity,infraction_code5,violation_description,infraction_code1,penality_imposed,amount_paid,section_law_description1,isn_dob_bis_extract,hearing_time,nan with block,172 with block,244 with block,BQ7 with block
CLASS - 1,,"UNLAWFUL ACTS.FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER     TO FILE A CERTIFICATE OF CORRECTION W/DOB FOR NOV 34229827P ISSUED ON 12/3/99. AT TIME OF INSPECTION, CERTIFICATION STATUS WITH ""OVERDUE COM",187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1706400,830,10715.0,,,
CLASS - 1,,FAILURE TO COMPLY W/ AN ORDER OF THE COMM RESPONDENT FAILED TO CORRECTCONDITION IN #34736125R IN CELLAR INSTALLED 5RMS W/ WATER & WASTE LINES REM: COMPLY W/ CODE,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1706273,1030,10161.0,,,
CLASS - 1,,UNLAWFUL ACTS FAIL TO COMPLY W/AN ORDER OF THE COMM TO OBTAIN A PERMITPER NOV34612501R FOR CREATING A CLASS A APT @ CELLAR INCLUDING BATHROOM & KITCHEN PRIOR NOV34780016X.REM:COMPLY W/CODE OBTAIN ALL NECESSARY,187,24000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1672514,830,4421.0,,,
CLASS - 1,,UNLAWFUL ACTS FAILURE TO COMPLY W/ AN ORDER OF THE COMMISSIONER TO FILE A C OF C W/ THE DOB FOR NOTICE OF VIO # 34616004Y ISSUED ON 9/24/07 @ TIME OF INSPECTION CERTIFICATION STATUS W/ OVERDUE COMPLIANCE REMEDY,187,2400,2400,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1704561,830,5041.0,,,
Hazardous,,FAILURE TO MAINTAIN BLDG NOTED AT BOTH SIDES OF MAIN ROOF AREA ROOF SHINGLES ARE BLOWING OFF ONTO ADJACENT PROPERTIES OVER HANGS ARE COMPLETELY ROTTED AT REAR OF BLDG BLDG PRESENT CONSITION COULD BE DANGEROUS,B7A,2500,0,27-127                                                                      FAILURE TO MAINTAIN BUILDING - HAZARDOUS,1726064,830,1087.0,,,
Hazardous,,"FAILURE TO SAFEGUARD PUBLIC & PROPERTY AFFECTED BY DEMO OPERATIONS. UPON INSP AT 325 20TH ST 2 STORIES BLDG IS DOWN, SITE IS GRADED, CONTRACTOR IS ASKING FOR SIGN OFF ON DEMO, ADJACENT PROPERTY 327 20TH ST.",BL8,5000,1890,27-1009(A)                                                                  FAILURE TO SAFEGUARD PUBLIC / PROPERTY EFFECTED BY DEMO OPERATIONS,1719601,1030,886.0,,,
CLASS - 3,,18B,354,100,100,28-301.1                                                                    FAILURE TO MAINTAIN BUILDING IN CODE-COMPLIANT MANNER: SERVICE EQUIPME,731522,830,6117.0,,,
CLASS - 1,,FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER.RESPONDENT FAILED TO CORRECT CONDITION IN #34736125R @ CELLAR ERECTED 5RM'S W/WATER & WASTELINES.REM:COMPLY W/CODE,187,24000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1705076,1030,10161.0,,,
CLASS - 2,,WORK DOES NOT CONFORM TO APPROVED CONST DOCUMENTS AND OR APPROVED AMENDMENTS INSP DWG 4/26/04 PREMISES UNDER PC JOB ALT 2 401864318 ON AN EXP FOLDER 3/31/05 NOTE PLANS SHOW NO ACCESS FROM EXISTING DELI INTO,282,500,736,28-105.12.2                                                                 WRK DOESN'T CONFORM TO APPROV DOCS AND/OR APPROV AMENDMENTS,21384,830,1198.0,,,
CLASS - 2,,"ALTERED/CHANGED BLDG OCCUPIED W/O A VALID C OF O. C.O. #401129854 STATES MEZ - OFFICE USE, NOW OCCUPIED:OFFICE & RETAIL.REMEDY:OBTAIN VALID C OF O OR DISCONTINUE ILLEGAL OCCUPANCY.",208,250,250,"28-118.3                                                                    ALTER/CHANGE BLDG OCCUP W/O VALID C/O PER 28-118.3.1,28-118.3.2",31927,1030,4972.0,,,
CLASS - 1,,UNLAWFUL ACTS. FAILURE TO COMPLY W/ AN ORDER OF THE COMMISSIONERS. RESPONDENT FAILED TO CORRECT THE CONDITION CITED IN NOV # 34757604R. VACANT LOT CONVERTED ILLEGALLY TO A VEHICLE STORAGE & REPAIR FACILITY,187,24000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1672733,830,3047.0,,,
CLASS - 1,,"UNLAWFUL ACTS.FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER. NOTTED: RESPONDENT FAILED TO CORRECT THE CONDITIONS CITED IN THE PRIOR NOV 34634262X, HAVING CONSTRUCTED A CLASS ""A"" APT AT BASEMENT/CELLAR W/3",187,6000,6000,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1671247,830,723.0,,,
Non-Hazardous,,15B 05B 57O 74L 15 B 07 PROVIDE SIGHT GUARDS ON 2ND & 3RD FLOOR HOISTWAY DOORS 05 B 11 CLOSE UP ALL GAPS ON CAR DOOR AS PER CODE 14 MAX 74 L 11 REPAIR 1ST FLOOR DOOR CLOSER,BP7,180,180,27-987                                                                      FAILURE TO MAINTAIN ELEVATOR,1742398,830,3355.0,,,
CLASS - 1,,"UNLAWFUL ACTS FAIL RO COMPLY W/ AN ORDER OF THE COMM'S NOTED:RESP FAILED TO CORRECT THE CONDITIONS CITED IN THE PRIOR NOV#34737069X,HAVING REMOVED WATER & WATSE LINES & GAS LINES @ 2ND FLR W/O A PERMIT.NO RECOR",187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1705386,1030,3794.0,,,
CLASS - 1,,FAILURE TO COMPLY W/COMM'S ORDER TO CORRECT VIO # 34785320N FOR WORK  W/O PERMIT AT CELLAR INSTALLED 1 ILLEGAL CLASS 'A'APT NO RECORD OF    CORRECTION REMEDY:COMPLY W/COMM'S ORDER AND OBTAIN PERMIT,187,12000,0,28-201.1                                                                    UNLAWFUL ACTS.  FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER,1704527,830,1645.0,,,
