payment_id,contract_id_,revised_contract_start_date,payment_recipient,project_status,stimulus_funding,award_lead_city_agency,contract_value,contract_method,funding_source,revised_contract_end_date,actual_completion_date,_of_funds_spent,project_lead_city_agency,stimulus_tracker_id,payment_description
10862.0,B058808,,"CDW GOVERNMENT, INC.                    ",Less than 50% completed,707717837.0,DOE,13000000.0,Competitive Sealed Bid,Title 1 Grants,,,0.0,DOE,501001.0,AUDIO/VIDEO EQUIPMENT AND SERVICES      
9513.0,,,,Less than 50% completed,6919294.0,CJC,,,Justice Assistance Grants - Local,,,1.64,DOC,604011.0,Salaries for grant funded DOC personnel
16604.0,20080001108,,Coalition for Hispanic Family Services,Completed 50% or more,4598107.0,DYCD,1725000.0,Competitive Sealed Proposal (RFP),Community Services Block Grant (CSBG) ARRA Funds,2011-06-30T00:00:00.000,,0.22,DYCD,414004.0,Adult Employment Services
,,,,Less than 50% completed,801775.83,NYCHA,,,Public Housing Capital Fund Recovery Grant (Formula),,,0.0,NYCHA,109040.0,
13087.0,7000320,,"SUSSMAN SALES COMPANY, INC.             ",Less than 50% completed,316603358.0,DOE,30000.0,Listing Application,Special Education (IDEA),,,0.0,DOE,501002.0,TEACH.TXBKS                             
10519.0,7105781,,INGRAM LIBRARY SERVS INC.               ,Less than 50% completed,707717837.0,DOE,110000000.0,Competitive Sealed Bid,Title 1 Grants,,,0.0,DOE,501001.0,TRADE BOOKS                             
,9293,,,Less than 50% completed,333400.0,DHS,1043760.0,Competitive Sealed Proposal (RFP),Homelessness Prevention and Rapid Re-Housing Program (HPRP),2012-06-30T00:00:00.000,,0.0,DYCD,701006.0,
,38800001,,,Not Started,0.0,OPS,284533.0,Competitive Sealed Proposal (RFP),Surface Transportation Program - Displaced City Funding*,,,0.0,EDC,103022.0,
,,,,Less than 50% completed,333400.0,DHS,,,Homelessness Prevention and Rapid Re-Housing Program (HPRP),,,0.0,DYCD,701006.0,
7864.0,9600959,,National Grid Energy Management,Completed 50% or more,10000000.0,OMB,1206250.0,Competitive Sealed Bid,Community Development Block Grant (CDBG),,,0.01,DOE,703007.0,Boiler Repair/Installation in City School
13010.0,0012,,BARCLAY SCHOOL SUPPLIES                 ,Less than 50% completed,316603358.0,DOE,608550.0,Competitive Sealed Bid,Special Education (IDEA),,,0.0,DOE,501002.0,INSTRUCTIONAL LEARNING MATERIALS        
,8013511,,,Less than 50% completed,4220052.43,NYCHA,13900.0,Competitive Sealed Bid,Public Housing Capital Fund Recovery Grant (Formula),,,0.0,NYCHA,109031.0,
10149.0,7000588,,"SCHOLASTIC, INCORPORATED                ",Less than 50% completed,707717837.0,DOE,2000000.0,Listing Application,Title 1 Grants,,,0.0,DOE,501001.0,TEXTBOOKS                               
1.39e+04,7105781,,INGRAM LIBRARY SERVS INC.               ,Less than 50% completed,316603358.0,DOE,110000000.0,Competitive Sealed Bid,Special Education (IDEA),,,0.0,DOE,501002.0,TRADE BOOKS                             
,,,,Less than 50% completed,41386829.0,DHS,,,Homelessness Prevention and Rapid Re-Housing Program (HPRP),,,0.0,DHS,701001.0,
1721.0,128,,BEDFORD PARK MULTI-SERVICE CENTER FOR SENIOR CITIZENS,Fully Completed,1903336.0,DFTA,322803.0,Funding Action,Nutrition Programs for the Elderly (Congregate Meals),,2010-04-15T00:00:00.000,0.07,DFTA,401002.0, raw/catered food and disposables 
459.0,,,SBS,Completed 50% or more,10792203.0,SBS,,,Workforce Investment Act - Adult and Dislocated Worker,,,0.02,SBS,301013.0,PS
16463.0,,,Personal Service,Less than 50% completed,3224694.0,DYCD,,,Workforce Investment Act - Youth,,,0.41,DYCD,301014.0,Administrative Costs
9577.0,9017006,,"Traffic Moving Systems, Inc.",Less than 50% completed,23724959.81,NYCHA,,Competitive Sealed Bid,Public Housing Capital Fund Recovery Grant (Formula),,,0.01,NYCHA,109004.0,Removal & Installation of Refrigerators
,850 HWQP1183,,,Less than 50% completed,0.0,OPS,8352.8,Competitive Sealed Bid,Surface Transportation Program - Displaced City Funding*,,,0.0,DDC,103019.0,
1735.0,189,,SEBCO DEVELOPMENT INC,Fully Completed,1903336.0,DFTA,422973.0,Funding Action,Nutrition Programs for the Elderly (Congregate Meals),,2010-04-15T00:00:00.000,0.42,DFTA,401002.0, raw/catered food and disposables 
1.14e+03,7015064-0004,,STV INCORPORATED,Less than 50% completed,2357226.0,NYCHA,3450000.0,Competitive Sealed Proposal (RFP),Public Housing Capital Fund Recovery Grant (Formula),,,8.46,NYCHA,109029.0,ROOF REPLACEMENT/BRICKWORK
9317.0,9010793,,P. C. Richards & Co.,Less than 50% completed,23724959.81,NYCHA,22064000.0,Competitive Sealed Bid,Public Housing Capital Fund Recovery Grant (Formula),,,0.13,NYCHA,109004.0,Energy Efficient Refrigeratos
3561.0,9006092,,ARROW STEEL INC,Completed 50% or more,1206250.0,NYCHA,1206250.0,Competitive Sealed Bid,Public Housing Capital Fund Recovery Grant (Formula),,,12.3,NYCHA,109071.0,INTERIOR COMPACTORS
,,,,Less than 50% completed,902000.0,NYCHA,,,Public Housing Capital Fund Recovery Grant (Formula),,,0.0,NYCHA,109056.0,
6546.0,EA20541,,S J Fuel Co. Inc.,Less than 50% completed,7450974.0,OMB,8650.0,Competitive Sealed Bid,Community Development Block Grant (CDBG),,,0.12,HPD,703013.0,Emergency Boiler Repairs
,4018777,,,Less than 50% completed,339374.0,NYCHA,3248600.0,Change Order,Public Housing Capital Fund Recovery Grant (Formula),2011-08-30T00:00:00.000,,0.0,NYCHA,109068.0,
12366.0,QC5110D,,GOLDMANSOUR CONSULTATION                ,Less than 50% completed,707717837.0,DOE,625000.0,Competitive Sealed Proposal (RFP),Title 1 Grants,,,0.0,DOE,501001.0,PD IN SPECIAL ED AREAS                  
6521.0,P-6STIMUD,,Dragonetti Brothers Landscaping,Less than 50% completed,0.0,OPS,1037000.0,Competitive Sealed Bid,Surface Transportation Program - Displaced City Funding*,,,7.97,DPR,103015.0,Construction Contract Partial Payment #1
9018.0,806088708263,,Linear Environmental Corp.,Less than 50% completed,4767729.0,OMB,,Competitive Sealed Bid,Community Development Block Grant (CDBG),,,0.03,HPD,703011.0,Lead Paint Abatement
,9009349,,,Less than 50% completed,4220052.43,NYCHA,107900.0,Competitive Sealed Bid,Public Housing Capital Fund Recovery Grant (Formula),,,0.0,NYCHA,109031.0,
9.41e+03,,,,Completed 50% or more,9941858.0,SBS,,,Workforce Investment Act - Adult and Dislocated Worker,,,0.07,SBS,301005.0,PS
10319.0,7105781,,INGRAM LIBRARY SERVS INC.               ,Less than 50% completed,707717837.0,DOE,110000000.0,Competitive Sealed Bid,Title 1 Grants,,,0.0,DOE,501001.0,TRADE BOOKS                             
,,,,Less than 50% completed,1800000.0,HRA,,,Child Support Incentive Fund,,,0.0,HRA,417002.0,
9977.0,1C50012,,BARCLAY SCHOOL SUPPLIES                 ,Less than 50% completed,707717837.0,DOE,608550.0,Competitive Sealed Bid,Title 1 Grants,,,0.0,DOE,501001.0,INSTRUCTIONAL LEARNING MATERIALS        
1195.0,9001462,,ALLIED ELEVATOR SERVICES INC,Completed 50% or more,1181722.0,NYCHA,1126650.0,Competitive Sealed Bid,Public Housing Capital Fund Recovery Grant (Formula),,,0.23,NYCHA,109034.0,INSTALLATION OF ELEVATOR ZONE DOOR LOCKS 
14846.0,,,,Less than 50% completed,14591526.0,DOE,,,Special Education (IDEA) - Pre-School,,,2.08,DOE,501004.0,Personal Service
9396.0,,,,Completed 50% or more,9941858.0,SBS,,,Workforce Investment Act - Adult and Dislocated Worker,,,0.07,SBS,301005.0,PS
1764.0,287,,CYPRESS HILLS FULTON ST SENIOR CITIZENS CENTER,Fully Completed,1903336.0,DFTA,407229.0,Funding Action,Nutrition Programs for the Elderly (Congregate Meals),,2010-04-15T00:00:00.000,0.29,DFTA,401002.0, raw/catered food and disposables 
10842.0,B058808,,"CDW GOVERNMENT, INC.                    ",Less than 50% completed,707717837.0,DOE,13000000.0,Competitive Sealed Bid,Title 1 Grants,,,0.0,DOE,501001.0,AUDIO/VIDEO EQUIPMENT AND SERVICES      
,7000642,,,Less than 50% completed,707717837.0,DOE,11500000.0,Listing Application,Title 1 Grants,,,0.0,DOE,501001.0,
,850 HWK476B,,,Not Started,0.0,OPS,10831.88,Competitive Sealed Bid,Surface Transportation Program - Displaced City Funding*,,,0.0,DDC,103009.0,
12959.0,,,,Less than 50% completed,707717837.0,DOE,,,Title 1 Grants,,,2.54,DOE,501001.0,Personal Service
13147.0,7000320,,"SUSSMAN SALES COMPANY, INC.             ",Less than 50% completed,316603358.0,DOE,30000.0,Listing Application,Special Education (IDEA),,,0.0,DOE,501002.0,TEACH.TXBKS                             
61.0,,,Payroll,Less than 50% completed,9000000.0,DOT,,,Transit Capital Assistance - Staten Island Ferry System Asset Maintenance,,,0.8,DOT,104002.0,November fringe
,,,,Less than 50% completed,2239403.0,HPD,,,Tax Credit Assistance Program,,,0.0,HPD,704006.0,
462.0,,,SBS,Completed 50% or more,10792203.0,SBS,,,Workforce Investment Act - Adult and Dislocated Worker,,,0.02,SBS,301013.0,PS
10385.0,7105781,,INGRAM LIBRARY SERVS INC.               ,Less than 50% completed,707717837.0,DOE,110000000.0,Competitive Sealed Bid,Title 1 Grants,,,0.0,DOE,501001.0,TRADE BOOKS                             
11675.0,NCLB017,,THE CHILD CENTER OF NY                  ,Less than 50% completed,707717837.0,DOE,2457450.0,Required Source,Title 1 Grants,,,0.0,DOE,501001.0,NCLB                                    
1324.0,9003961,,JASLEEN CONSTRUCTION CORP,Completed 50% or more,895383.1,NYCHA,230630.0,Competitive Sealed Bid,Public Housing Capital Fund Recovery Grant (Formula),,,1.21,NYCHA,109052.0,VINYL COMPOSITION FLOOR TILE
7822.0,9700527,,"ATC Group Services, Inc.",Completed 50% or more,10000000.0,OMB,1000000.0,Competitive Sealed Bid,Community Development Block Grant (CDBG),,,0.0,DOE,703007.0,Environmental Health Inspection in City School
,,,,Completed 50% or more,4718000.0,OMB,,,Community Development Block Grant (CDBG),,,0.0,HPD,703010.0,
,,,,Less than 50% completed,26000000.0,HPD,,,Tax Credit Assistance Program,,,0.0,HPD,704001.0,
10531.0,7105781,,INGRAM LIBRARY SERVS INC.               ,Less than 50% completed,707717837.0,DOE,110000000.0,Competitive Sealed Bid,Title 1 Grants,,,0.0,DOE,501001.0,TRADE BOOKS                             
,6010589,,,Less than 50% completed,8349969.0,NYCHA,215600.0,Competitive Sealed Proposal (RFP),Public Housing Capital Fund Recovery Grant (Formula),,,0.0,NYCHA,109090.0,
1486.0,,,,Completed 50% or more,233000.0,MO,,,Federal VISTA Recovery Grant,,,17.86,MO,702001.0,Personal Service
,,,,Less than 50% completed,4263200.0,DHS,,,Homelessness Prevention and Rapid Re-Housing Program (HPRP),,,0.0,DHS,701011.0,
,,,,Not Started,0.0,OPS,,,Surface Transportation Program - Displaced City Funding*,,,0.0,DOT,103004.0,
9223.0,9010793,,P.C. RICHARD & SON,Less than 50% completed,23724959.81,NYCHA,22064000.0,Competitive Sealed Bid,Public Housing Capital Fund Recovery Grant (Formula),,,0.15,NYCHA,109004.0,ENERGY EFFICIENT REFRIGERATORS
,88271,,,Completed 50% or more,4589250.0,DYCD,68000.0,Negotiated Acquisition,Community Services Block Grant (CSBG) ARRA Funds,,,0.0,DYCD,414002.0,
4875.0,200002A,,"Arthur Ashe Institute for Urban Health, Inc",Completed 50% or more,8300000.0,DYCD,160078.0,Competitive Sealed Proposal (RFP),Community Services Block Grant (CSBG) ARRA Funds,2011-08-31T00:00:00.000,,0.04,DYCD,414010.0,DEC PYMT
5162.0,,,,Completed 50% or more,24200000.0,HRA,,,Child Support Incentive Fund,,,25.7,HRA,417001.0,Quarterly Personal Costs for Child Support Enforcement 
7792.0,9700139,,"N.Y. Merchants Protective Company, Inc.",Completed 50% or more,10000000.0,OMB,300000.0,Competitive Sealed Bid,Community Development Block Grant (CDBG),,,0.0,DOE,703007.0,Fire Alarm System Repair/Installation in City School
9431.0,,,,Completed 50% or more,10792203.0,SBS,,,Workforce Investment Act - Adult and Dislocated Worker,,,0.0,SBS,301013.0,PS
15377.0,,,,Less than 50% completed,2794859586.0,OMB,,,Federal Medicaid Aid to States (FMAP),,,8.71,OMB,801001.0,Medicaid Expense Relief
7675.0,9700176,,"Precision Environmental, Inc.",Completed 50% or more,10000000.0,OMB,1000000.0,Competitive Sealed Bid,Community Development Block Grant (CDBG),,,0.0,DOE,703007.0,Environmental Health Inspection in City School
3832.0,,,Personal Service,Less than 50% completed,855500.0,CJC,,,Justice Assistance Grants - Local,,,13.68,DOITT,604009.0,Salaries for DoITT personnel
9029.0,,,,Completed 50% or more,323619.0,DFTA,,,Senior Community Service Employment Program,,,5.41,DFTA,303002.0,wages and fringes
10381.0,7105781,,INGRAM LIBRARY SERVS INC.               ,Less than 50% completed,707717837.0,DOE,110000000.0,Competitive Sealed Bid,Title 1 Grants,,,0.0,DOE,501001.0,TRADE BOOKS                             
1656.0,30U,,NEW YORK FOUNDATION FOR SENIOR CITIZENS,Fully Completed,1903336.0,DFTA,257997.0,Funding Action,Nutrition Programs for the Elderly (Congregate Meals),,2010-04-15T00:00:00.000,0.28,DFTA,401002.0, raw/catered food and disposables 
,,,,Not Started,1000000.0,CJC,,,Justice Assistance Grants - Local,,,0.0,CJC,604016.0,
8386.0,201000064003,,Pacific Energy Corp.,Less than 50% completed,2525000.0,OMB,1000000.0,Competitive Sealed Bid,Community Development Block Grant (CDBG),,,0.03,HPD,703001.0,Emergency Repair Program: Fuel
4638.0,90269A,,"Mosholu Montefiore Community Center, Inc.",Completed 50% or more,5328321.0,DYCD,194633.0,Competitive Sealed Proposal (RFP),Workforce Investment Act - Youth,2011-08-31T00:00:00.000,,0.04,DYCD,301003.0,PAYMENT REFLECTS LINE ITEM FOR MARCH 2010.
,,,,Not Started,20000.0,DOT,,,Port Security Grant Program - Perimeter Security Fencing / Personal Protective Equipment,,,0.0,DOT,603004.0,
14877.0,PT55529,,"APPLE COMPUTER, INC.                    ",Less than 50% completed,14713215.0,DOE,13000000.0,Intergovernmental OGS,State Fiscal Stabilization Fund - Government Services: Teacher Center,,,0.03,DOE,501006.0,SOFTWARE/MEMORY SCANNERS                
14086.0,7105782,,"BOOKSOURCE, INCORPORATED                ",Less than 50% completed,316603358.0,DOE,110000000.0,Competitive Sealed Bid,Special Education (IDEA),,,0.0,DOE,501002.0,TRADE BOOKS                             
10896.0,B058812,,B & H FOTO & ELECTRONICS CORP.          ,Less than 50% completed,707717837.0,DOE,13000000.0,Competitive Sealed Bid,Title 1 Grants,,,0.0,DOE,501001.0,AUDIO/VIDEO EQUIPMENT AND SERVICES      
11741.0,NCLB017,,THE CHILD CENTER OF NY                  ,Less than 50% completed,707717837.0,DOE,2457450.0,Required Source,Title 1 Grants,,,0.0,DOE,501001.0,NCLB                                    
11096.0,NCLB009,,"FRANCIS SCHOOL, INC.                    ",Less than 50% completed,707717837.0,DOE,4560000.0,Required Source,Title 1 Grants,,,0.0,DOE,501001.0,NO CHILD LEFT BEHIND                    
14866.0,,,,Less than 50% completed,14713215.0,DOE,,,State Fiscal Stabilization Fund - Government Services: Teacher Center,,,3.48,DOE,501006.0,Personal Service
9376.0,,,,Completed 50% or more,1722515.0,SBS,,,Workforce Investment Act - Adult and Dislocated Worker,,,0.24,SBS,301012.0,PS
10856.0,B058808,,"CDW GOVERNMENT, INC.                    ",Less than 50% completed,707717837.0,DOE,13000000.0,Competitive Sealed Bid,Title 1 Grants,,,0.0,DOE,501001.0,AUDIO/VIDEO EQUIPMENT AND SERVICES      
12185.0,NCLB039,,SCAN SUPPORTIVE CHILDRENS               ,Less than 50% completed,707717837.0,DOE,19687500.0,Required Source,Title 1 Grants,,,0.0,DOE,501001.0,NCLB                                    
9441.0,,,,Completed 50% or more,10792203.0,SBS,,,Workforce Investment Act - Adult and Dislocated Worker,,,0.0,SBS,301013.0,PS
11424.0,NCLB014,,"SCHOOL PROFESSIONALS,DIV.OF TEMPOSITIONS",Less than 50% completed,707717837.0,DOE,2978079.0,Required Source,Title 1 Grants,,,0.0,DOE,501001.0,NCLB                                    
,841 BRC270C/P,,,Less than 50% completed,30000000.0,DOT,508612678.0,Competitive Sealed Bid,Surface Transportation Program,,,0.0,DOT,101002.0,
,9006670,,,Less than 50% completed,2569352.57,NYCHA,197609.0,Competitive Sealed Bid,Public Housing Capital Fund Recovery Grant (Formula),,,0.0,NYCHA,109027.0,
,,,,Less than 50% completed,829999.99,NYCHA,,,Public Housing Capital Fund Recovery Grant (Formula),,,0.0,NYCHA,109051.0,
8419.0,201000064003,,Pacific Energy Corp.,Less than 50% completed,2525000.0,OMB,1000000.0,Competitive Sealed Bid,Community Development Block Grant (CDBG),,,0.02,HPD,703001.0,Emergency Repair Program: Fuel
7885.0,9602394,,"N.Y. Merchants Protective Company, Inc.",Completed 50% or more,10000000.0,OMB,2500000.0,Competitive Sealed Bid,Community Development Block Grant (CDBG),,,0.0,DOE,703007.0,Fire Alarm System Repair/Installation in City School
1635.0,23L,,CATHOLIC CHARITIES NEIGHBORHOOD SERVICES,Fully Completed,1903336.0,DFTA,325692.0,Funding Action,Nutrition Programs for the Elderly (Congregate Meals),,2010-04-15T00:00:00.000,0.33,DFTA,401002.0, raw/catered food and disposables 
10638.0,9871196,,NCS PEARSON INC.                        ,Less than 50% completed,707717837.0,DOE,7805152.85,Competitive Sealed Proposal (RFP),Title 1 Grants,,,0.0,DOE,501001.0,NEED FOR GENERAL PROFESSIONAL DEVELOPMEN
8626.0,9007947,,P.C. RICHARD & SON,Less than 50% completed,4220052.43,NYCHA,3000000.0,Competitive Sealed Bid,Public Housing Capital Fund Recovery Grant (Formula),,,0.83,NYCHA,109031.0,FURNISH GAS RANGES-15 YEAR CYCLE
11106.0,NCLB009,,"FRANCIS SCHOOL, INC.                    ",Less than 50% completed,707717837.0,DOE,4560000.0,Required Source,Title 1 Grants,,,0.0,DOE,501001.0,NO CHILD LEFT BEHIND                    
,,,,Less than 50% completed,0.0,OPS,,,Surface Transportation Program - Displaced City Funding*,,,0.0,DDC,103008.0,
8328.0,2010100063904,,Pacific Energy Corp.,Less than 50% completed,7450974.0,OMB,500000.0,Competitive Sealed Bid,Community Development Block Grant (CDBG),,,0.01,HPD,703013.0,Emergency Boiler Repairs
,,,,Less than 50% completed,6325760.0,DEP,,,Clean Water State Revolving Fund - DEP,,,0.0,DEP,107008.0,
9991.0,1C50015,,UNITED SUPPLY CORP.                     ,Less than 50% completed,707717837.0,DOE,307350.0,Competitive Sealed Bid,Title 1 Grants,,,0.0,DOE,501001.0,INSTRUCTIONAL LEARNING MATERIALS        
2929.0,029437,,Woodycrest Center For Human Development,Completed 50% or more,18753652.0,DYCD,487500.0,Competitive Sealed Proposal (RFP),Workforce Investment Act - Youth,2012-03-31T00:00:00.000,,0.01,DYCD,301001.0,Contract Payments for Youth Services
13206.0,7000412,,KAPLAN 12 LEARNING SERVICES             ,Less than 50% completed,316603358.0,DOE,25000.0,Listing Application,Special Education (IDEA),,,0.0,DOE,501002.0,TEXTBOOKS                               
14864.0,,,,Less than 50% completed,14713215.0,DOE,,,State Fiscal Stabilization Fund - Government Services: Teacher Center,,,3.69,DOE,501006.0,Personal Service
1.79e+03,349,,HUDSON GUILD,Fully Completed,1903336.0,DFTA,500342.0,Funding Action,Nutrition Programs for the Elderly (Congregate Meals),,2010-04-15T00:00:00.000,0.23,DFTA,401002.0, raw/catered food and disposables 
13354.0,7000610,,WILSON LANGUAGE TRAINING                ,Less than 50% completed,316603358.0,DOE,25000.0,Listing Application,Special Education (IDEA),,,0.0,DOE,501002.0,TEXTBOOKS                               
13964.0,7105781,,INGRAM LIBRARY SERVS INC.               ,Less than 50% completed,316603358.0,DOE,110000000.0,Competitive Sealed Bid,Special Education (IDEA),,,0.0,DOE,501002.0,TRADE BOOKS                             
