payment_id,contract_id_,revised_contract_start_date,payment_recipient,project_status,stimulus_funding,award_lead_city_agency,contract_value,contract_method,funding_source,revised_contract_end_date,actual_completion_date,_of_funds_spent,project_lead_city_agency,stimulus_tracker_id,payment_description
13454.0,7000703,,HOUGHTON MIFFLIN COMPANY                ,Less than 50% completed,316603358.0,DOE,38500000.0,Listing Application,Special Education (IDEA),,,0.0,DOE,501002.0,TEXTBOOKS.                              
10915.0,B058812,,B & H FOTO & ELECTRONICS CORP.          ,Less than 50% completed,707717837.0,DOE,13000000.0,Competitive Sealed Bid,Title 1 Grants,,,0.0,DOE,501001.0,AUDIO/VIDEO EQUIPMENT AND SERVICES      
1659.0,30W,,GREENWICH HOUSE INC,Fully Completed,1903336.0,DFTA,289312.0,Funding Action,Nutrition Programs for the Elderly (Congregate Meals),,2010-04-15T00:00:00.000,0.31,DFTA,401002.0, raw/catered food and disposables 
16508.0,766483,,Union Settlement Association,Completed 50% or more,4035570.0,DYCD,915171.0,Competitive Sealed Proposal (RFP),Community Services Block Grant (CSBG) ARRA Funds,2011-06-30T00:00:00.000,,0.25,DYCD,414001.0,Adult Literacy Services
,,,,Less than 50% completed,19985614.56,NYCHA,,,Public Housing Capital Fund Recovery Grant (Formula),,,0.0,NYCHA,109006.0,
13876.0,7105781,,INGRAM LIBRARY SERVS INC.               ,Less than 50% completed,316603358.0,DOE,110000000.0,Competitive Sealed Bid,Special Education (IDEA),,,0.0,DOE,501002.0,TRADE BOOKS                             
9385.0,20090000600,,YMS Management Associates,Completed 50% or more,9941858.0,SBS,20000.0,Competitive Sealed Bid,Workforce Investment Act - Adult and Dislocated Worker,2010-07-31T00:00:00.000,,1.26,SBS,301005.0,Training Payment
13461.0,7000703,,HOUGHTON MIFFLIN COMPANY                ,Less than 50% completed,316603358.0,DOE,38500000.0,Listing Application,Special Education (IDEA),,,0.0,DOE,501002.0,TEXTBOOKS.                              
,,,,Not Started,500000.0,DHS,,,Homelessness Prevention and Rapid Re-Housing Program (HPRP),,,0.0,DFTA,701003.0,
11030.0,NCLB006,,COMPREHENSIVE COUNSELING                ,Less than 50% completed,707717837.0,DOE,2704872.0,Required Source,Title 1 Grants,,,0.0,DOE,501001.0,NCLB                                    
988800.00%,1C42802,,ACTION PRESS OF PARK SLOPE CORP.        ,Less than 50% completed,707717837.0,DOE,1000000.0,Competitive Sealed Bid,Title 1 Grants,,,0.0,DOE,501001.0,"PRINTING FORMS, CARDS                   "
,,,,Less than 50% completed,0.0,OPS,,,Surface Transportation Program - Displaced City Funding*,,,0.0,DDC,103003.0,
3617.0,,,SBS,Completed 50% or more,5026832.0,SBS,,,Workforce Investment Act - Adult and Dislocated Worker,,,0.0,CUNY,301006.0,PS
14822.0,,,,Less than 50% completed,782255871.0,DOE,,,State Fiscal Stabilization Fund - Education,,,2.95,DOE,501003.0,Personal Service
12060.0,NCLB035,,"JFL ENTERPRISES, INC.                   ",Less than 50% completed,707717837.0,DOE,8576010.0,Required Source,Title 1 Grants,,,0.0,DOE,501001.0,NO CHILD LEFT BEHIND                    
11143.0,NCLB009,,"FRANCIS SCHOOL, INC.                    ",Less than 50% completed,707717837.0,DOE,4560000.0,Required Source,Title 1 Grants,,,0.0,DOE,501001.0,NO CHILD LEFT BEHIND                    
,,,,Completed 50% or more,9500000.0,HPD,,,Tax Credit Assistance Program,,,0.0,HPD,704003.0,
14872.0,B075108,,"TEQUIPMENT, INCORPORATED                ",Less than 50% completed,14713215.0,DOE,2200000.0,Competitive Sealed Bid,State Fiscal Stabilization Fund - Government Services: Teacher Center,,,0.04,DOE,501006.0,INTERACTIVE WHITE BOARDS                
12406.0,QR1640N,,COMMUNITY WORD PROJECT                  ,Less than 50% completed,707717837.0,DOE,250000.0,Competitive Sealed Proposal (RFP),Title 1 Grants,,,0.0,DOE,501001.0,ARTS EDUCATION SERVICES                 
9473.0,TBD,,TBD,Completed 50% or more,10792203.0,SBS,0.0,---For Contracts---,Workforce Investment Act - Adult and Dislocated Worker,,,0.1,SBS,301013.0,Service Payment
,9013028,,,Completed 50% or more,694400.0,NYCHA,694400.0,Competitive Sealed Bid,Public Housing Capital Fund Recovery Grant (Formula),,,0.0,NYCHA,109048.0,
14436.0,B058812,,B & H FOTO & ELECTRONICS CORP.          ,Less than 50% completed,316603358.0,DOE,13000000.0,Competitive Sealed Bid,Special Education (IDEA),,,0.0,DOE,501002.0,AUDIO/VIDEO EQUIPMENT AND SERVICES      
9779.0,,,,Less than 50% completed,8144200.0,DHS,,,Homelessness Prevention and Rapid Re-Housing Program (HPRP),,,0.3,DHS,701008.0,Office of Re-housing
2861.0,20090029447,,Rockaway Development & Revitalization Corporation,Completed 50% or more,18753652.0,DYCD,582725.0,Competitive Sealed Proposal (RFP),Workforce Investment Act - Youth,2012-03-31T00:00:00.000,,0.01,DYCD,301001.0,Contract Payments for Youth Services
12314.0,QC5100B,,NYC OUTWARD BOUND CENTER                ,Less than 50% completed,707717837.0,DOE,1753610.0,Competitive Sealed Proposal (RFP),Title 1 Grants,,,0.0,DOE,501001.0,STUDENT SUPPORT SERVICES                
