contract_name,project_name,date_funds_awarded_by_fed_state,payment_type,displaced_city_funding,actual_start_date
Personal Service,HomeBase Public Awareness Campaign,2009-07-21T00:00:00.000,,0.0,2010-06-30T00:00:00.000
Personal Service,Lower East Side II  Houses - Roofing Replacement,2009-03-18T00:00:00.000,,0.0,2009-07-08T00:00:00.000
"Union Settlement Association, 766483",Adult Literacy Employment Program,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-07-01T00:00:00.000
Personal Service,Individual Training Grants - Increase availability,2009-04-14T00:00:00.000,Personal Service (PS),0.0,2009-06-29T00:00:00.000
Energy Efficient Refrigerators (1),Energy Efficient Refrigerator Replacement at various locations,2009-03-18T00:00:00.000,Vendor Payment (OTPS),0.0,2009-08-10T00:00:00.000
Congregate Meals for the Elderly at Senior Centers,Congregate Meals for the Elderly,2009-06-10T00:00:00.000,Vendor Payment (OTPS),0.0,2009-08-01T00:00:00.000
INSTRUCTIONAL LEARNING MATERIALS,Education Services for Special Needs Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Personal Service,Workforce1 Career Centers - Advance at Work Program Extension,2009-04-14T00:00:00.000,Personal Service (PS),0.0,2009-07-04T00:00:00.000
Personal Service,Staten Island Railway Bridges (12) Rehabilitation,,,6770000.0,
"Woodycrest Center For Human Development, 90827",Summer Youth Employment Program (SYEP),2009-03-23T00:00:00.000,Vendor Payment (OTPS),0.0,2009-04-01T00:00:00.000
Reconstruction of Nassau Avenue and Monitor Street,Reconstruction of Nassau Avenue (Greenpoint),,,8840920.0,
Personal Service,Emergency Repair Program: Utilities,2009-08-10T00:00:00.000,,0.0,2009-07-01T00:00:00.000
TEXTBOOK,Education Services for Special Needs Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Leavitt Houses - Roofing Replacement,Leavitt Houses - Roofing Replacement,2009-03-18T00:00:00.000,Vendor Payment (OTPS),0.0,2009-07-24T00:00:00.000
NCLB,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Expansion of Elevator Remote Monitoring System at Various Locations,Expansion of Elevator Remote Monitoring System at Various Locations,2009-03-18T00:00:00.000,Vendor Payment (OTPS),0.0,2009-07-08T00:00:00.000
Range Fire Suppression Systems in the Bronx,Range Fire Suppression Systems at Various Locations,2009-03-18T00:00:00.000,,0.0,2009-07-02T00:00:00.000
"Mosholu Montefiore Community Center, Inc., 90269A","Go to School, Get a Job",2009-03-23T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-01T00:00:00.000
PD IN SPECIAL ED AREAS,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Personal Service,Latimer Gardens Houses - Roofing Replacement,2009-03-18T00:00:00.000,,0.0,2010-01-16T00:00:00.000
Personal Service,Marble Hill Houses - Brickwork Repair and Roofing Replacement,2009-03-18T00:00:00.000,,0.0,2010-03-16T00:00:00.000
"SCO Family of Services, 90815",Summer Youth Employment Program (SYEP),2009-03-23T00:00:00.000,Vendor Payment (OTPS),0.0,2009-04-01T00:00:00.000
TEACH.TXBKS,Education Services for Special Needs Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
Personal Service,Paulding Avenue Reconstruction (Bronxwood),,,13613397.0,2010-04-26T00:00:00.000
ARTS EDUCATION SERVICES,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
TEXTBOOKS.,Education Services for Economically Disadvantaged Students,2009-04-01T00:00:00.000,Vendor Payment (OTPS),0.0,2009-09-09T00:00:00.000
"St. Nicholas Neighborhood Preservation Corporation, 90821",Summer Youth Employment Program (SYEP),2009-03-23T00:00:00.000,Vendor Payment (OTPS),0.0,2009-04-01T00:00:00.000
DO NOT DISPLAY- Summer Youth Employment (SYEP)- Participant Wages,Summer Youth Employment Program (SYEP),2009-03-23T00:00:00.000,Miscellaneous (OTPS),0.0,2009-04-01T00:00:00.000
ERP: Repairs,Emergency Repair Program: Repairs,2009-08-10T00:00:00.000,Vendor Payment (OTPS),0.0,2010-01-01T00:00:00.000
"Chinese American Planning Council, 90770",Summer Youth Employment Program (SYEP),2009-03-23T00:00:00.000,Vendor Payment (OTPS),0.0,2009-04-01T00:00:00.000
