vendor_name,contract_name,final_spending_deadline,project_description,_of_funds_to_be_spent_by_interim_spending_deadine
AUSTRALIAN UNITED STATES,SCIENCE PROFESSIONAL DEVELOPMENT,2011-09-30T00:00:00.000,Provide supplemental educational services to economically disadvantaged students such as increased teachers and after-school programs.,
EDUCATORS PUBLISHING SERVICE,TEXTBOOK,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
"ENACT, INCORPORATED",PREVENTION AND INTERVENTION SERVICES,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
EXPERT ELECTRIC,26th Ward Emergency Generators,2013-06-05T00:00:00.000,Replacement of Emergency Generators,
TBD,Job preparation and placement services to dislocated workers and high need individuals,2011-06-30T00:00:00.000,Job preparation and placement services for dislocated workers and high need individuals provided by partner organizations throughout the five boroughs.  ,75.0
"Charles A. Dimino, Inc.","Charles A. Dimino, Inc. - Plumbing Repairs",2012-09-30T00:00:00.000,Funds will be used by the Department of Education to prevent or remove code violations in New York City public schools.  ,
Global Strategy Group,Global Strategy Group,2012-03-18T00:00:00.000,"The DOHMH will use funding to significantly expand and enhance its comprehensive tobacco control
program.",
Make the Road New York,"Make the Road New York, 766474",2010-09-30T00:00:00.000,Provide Adult Basic Education (ABE and GED) services and job readiness services.,100.0
JLJ IV Enterprises jnc.,Reconstruction of East Houston Street,,"Modify curbs and medians, resurfacing, and new bicycle lanes. Reconstruction of roadways included. This project uses displaced City funding.",
,Personal Service,2012-03-17T00:00:00.000,Roofing ,60.0
,Personal Service,,"Roadway and curb reconstruction, pedestrian ramps and sidewalk replacement, street lighting, water mains and sewers. This project uses displaced City funding.",
BEDFORD PARK MULTI-SERVICE CENTER FOR SENIORS CITIZENS ,Congregate Meals for the Elderly at Senior Centers,2010-06-30T00:00:00.000,raw/catered food and disposables for congregate meals for the elderly,
"High-Tech Enterprises of NY, Inc.",Trees & Sidewalks - Bronx & Manhattan (CNYG-3309M),,The Trees & Sidewalks Program helps homeowners by repairing sidewalks that are damaged by curbside trees. This project uses displaced City funding.,
INGRAM LIBRARY SERVS INC.,TRADE BOOKS,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
"Volmar Construction, Inc.","Volmar Construction, Inc. - Job Order Contract for General Construction",2012-09-30T00:00:00.000,Funds will be used by the Department of Education to prevent or remove code violations in New York City public schools.  ,
INGRAM LIBRARY SERVS INC.,TRADE BOOKS,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
,Personal Service,2012-03-17T00:00:00.000,"Brick Repair, water tanks, Entrances",60.0
INGRAM LIBRARY SERVS INC.,TRADE BOOKS,2011-09-30T00:00:00.000,Supplemental services are provided to special education students.,
AGING IN AMERICA COMMUNITY SERVICES INC,Congregate Meals for the Elderly at Senior Centers,2010-06-30T00:00:00.000,raw/catered food and disposables for congregate meals for the elderly,
