dep_boiler_application,building_manager,latitude,bin,total_gallons_high
CB134107L,29 W. 36TH ST. LLC % BERSTEIN R.E. CO.,40.750475,1015926.0,25800
CA311094P,CHADWIN HOUSE CONDO C/O MGRE,40.741324,1068033.0,56700
CA215582Y,MARTY MYERS/EDWIN,40.742631,1014776.0,21000
CA045576Z,HELLER REALTY,40.780383,1030112.0,112712
CA126271M,9TH AVE.ASSOC./MURRYHILL,40.753629,1013562.0,127750
CA047273K,SUPERIOR PRINTING INK CO.,40.736974,1090690.0,80640
CA265489P,-162 ASSOCIATES LLCC/O MUTRRY HILL,40.740358,1015534.0,49056
CA090279P,A.B.C. PROPERTIES.,40.765512,1023743.0,41063
CA199071P,MANHATTAN EAST SUITE HOTEL,40.748398,1020361.0,219985
CA173899J,LILLIAN GOLDMAN MARITAL TRUST,40.766327,1024904.0,80482
CA138385Z,BRODSKY ORGANIZATION,40.770231,1028827.0,336713
CA087669N,BRAUSE REALTY INC,40.749734,1014347.0,75411
CA204199H,JANOFF & OLSHAN,40.782074,1030234.0,59940
CA144581R,ABC REALLTY,40.738922,1016208.0,59394
CA293888K,COLUMBIA EQUITIES.,40.746089,1015055.0,34632
CA062998N,LARSAN HOLDING CORP.,40.711393,1079072.0,58400
CA202373P,MHM REALTY LLC.,40.745162,1018502.0,51100
CA269084P,ESTATE OF EDWIN S. LOWE/CHASE MAN,40.744747,1015680.0,82125
CA249984M,"260 WEST 36 ASSOCIATES, LLC",40.752965,1014436.0,34558
CA194796J,"DEZER PROPERTIES,II LLC",40.740048,1015480.0,44500
CA352888H,ENF 4-3-90,40.740281,1014648.0,126611
CB183206K,WEST 63 EMPIRE ASSOCIATES LLC,40.771493,1027465.0,93294
CA191897P,KENNETH WALSH%ADAM CO.R.E,40.753894,1022566.0,68200
CA407487M,ST. MARKS PARTENERS LP,40.727292,1005884.0,47450
CB382300H,319 W.18 ST OWN%BUCHBINDER&WARREN,40.742595,1013101.0,24638
CA334567H,17-18 MANAGEMENT CORP,40.738341,1015426.0,136875
CA298673X,NYC DEPT OF SANITATION,40.771149,1087609.0,228501
CA243572Z,FM RING ASSOCIATES INC.,40.743232,1015624.0,110563
CB035608R,ARDEN REALTY L.P.,40.745018,1018346.0,11060
CA109080P,PIK RECORD COMPANY,40.730785,1008832.0,440592
CA344867Z,DOCS AFFILIATES,40.747507,1017104.0,116800
CA405788R,50 EAST 8TH OWNERS/MGRE.,40.731119,1008837.0,102432
CA393784Y,CHELSEA TOWN COMPANY,40.750025,1013498.0,32850
CB209202P,14040 TENANTS CORP. % ANDREWS BLDG.,40.749979,1019486.0,54750
CA468085Z,JEPORT HOTELS INC.,40.749717,1015881.0,7488
CA089697J,BLDG MGMT/DEVON MGMT.,40.777108,1028631.0,68729
CA343488Y,S.W. MANAGEMENT,40.729217,1008296.0,39587
CA065176H,CHARLES H. GREENTHAL,40.774452,1028837.0,269969
CA308872P,109 ST.MARKS REALTY ASSOC.,40.727325,1005887.0,21900
CA231681J,INSIGNIA MANAGEMENT,40.747926,1067979.0,363048
CA256387J,55 DELANCEY REALTY LLC,40.71944,1005456.0,30870
CA198998X,THREE O REALTY  LLC,40.755484,1087186.0,40824
CA114666Z,F.M.RING ASSOC. INC.,40.744371,1015685.0,29200
CA289389Y,COLLEGIATE ASSET MANAGEMENT.,40.746146,1000000.0,50691
CA312093H,LIEBMAN GERALD,40.764743,1027024.0,30663
CA233491H,ELEZAJ & SONS REALTY ASSOC.,40.877353,2018047.0,297840
CA234781K,A.J. CLARKE MGMT,40.748044,1020342.0,14746
CA061469N,WALSAM TWENTY-NINE CO.,40.748148,1014267.0,112712
CA007870M,MOSHE GLICKMAN,40.778303,1030396.0,59447
CA443186R,JONIS REALTY CO.,40.746925,1018905.0,34313
CA060877H,MURRAY HILL OWNERS CO.,40.74738,1018902.0,57232
CA106186J,WINNER REALTY C/0 WINTER MANAGMENT CO.,40.737111,1016076.0,22995
CA129182Y,45 FIFTH AVENUE APTS.CORP.,40.734237,1009273.0,40004
CB175902K,PAN AM EQUITIES INC.,40.747387,1021923.0,120494
CA065885K,T.U.C. MANAGEMENT CO.INC.,40.747575,1018923.0,14746
CA439264L,235 PARK AVENUE SOUTH ASSOC.,40.737813,1017906.0,46319
CA072180X,34TH STREET SOUTH LLC.,40.74676,1018517.0,150847
CA119780P,R.G.A. AGENT/38 WEST 32 ASSOCIATES,40.747889,1015806.0,66000
CA214789R,LEE KWAN CHAH,40.755009,1024648.0,14800
CA314687Y,PAUL PROPERTIES,40.747088,1015128.0,32850
CA528585R,"LEIST,FRED",40.852033,2007671.0,21079
CA243298P,GENERAL LEASING & MANAGEMENT,40.752377,1014419.0,24300
CA349787L,WASSERSTEIN BROS,40.754436,1013601.0,52871
CA058680L,NEWMARK & CO REAL ESTATE,40.736364,1016075.0,30000
CA298992N,CAPITAL BUILDING LOFT CORP.,40.746487,1014205.0,33600
CA079097R,ALAGIN MANAGEMENT CO.,40.730458,1008840.0,300796
CA394284M,APPLE INDUSTRIAL CONDO.,40.766507,1090143.0,6406
CB197307M,CRAWFORD REALTY CO. LLC,40.727833,1006307.0,23506
CB516103Z,THE 105 WEST 72ND CONDO. % W. POLAVITO INC.,40.77752,1029969.0,41062
CA005286Y,JOHN SPARANO/NEW SCHOOL UNIVERSITY,40.736046,1009722.0,33240
CA112793M,77 park ave. condominium,40.74999,1019166.0,168356
CA030378X,NEW BEDFORD MGMT,40.742952,1014075.0,54604
CB186102Z,CS 108 WEST 15 STREET LP,40.738275,1014525.0,49275
CA580586R,GVA WILLIAMS REAL ESTATE CO.,40.744766,1015003.0,16470
CA356869K,BRAUSE REALTY INC.,40.747249,1015852.0,98550
CA037584Z,55 PARK TENANTS CORP.,40.749236,1019077.0,32850
CA145582N,49 W 37 ST REALTY CO,40.751018,1015958.0,44640
CA313686H,PARISH OF TRINITY CHURCH,40.722303,1002949.0,41063
CA375090K,245 EAST 21ST REALTY LLC.,40.737102,1019644.0,73913
CA166189J,"CHELSEA 25, LLC",40.745829,1014199.0,44457
CB412403J,ULM I HLDG. CORP. AKA 229 W. 57 ST.,40.766481,1024901.0,41063
CA558485R,"304 PARK AVE SOUTH, LLC",40.740624,1016287.0,44348
CA279491L,5 EAST 17 STREET REALTY CO.,40.737715,1016113.0,32850
CA218496L,DEZER PROPERTIES CO.150 LLC,40.746638,1015095.0,44500
CA271292M,OUR LADY OF POMPEI R.C.CHURCH,40.730178,1009904.0,37800
CA063379Z,ANDREW BUILDING CORP.,40.738335,1016144.0,47100
CA391770Y,NEW YORK UNIVERSITY,40.732017,1008849.0,26572
CA250492Y,185 VARICK REALTY CORP.,40.727708,1009752.0,57488
CB195606X,NDAL HSE. OWNERS % AKAM ASSOC.,40.731424,1009099.0,82125
CA249784H,WINOKER REALTY CORP.,40.73584,1080796.0,49275
CA086251L,HELMSLEY SPEAR INC.,40.753288,1014457.0,120085
CA139569H,"F.M. RING ASSOCIATES, INC",40.744876,1015677.0,37440
CA295393H,NEWMARK & CO. REAL ESTATE INC.,40.751781,1080608.0,20160
CA004878N,AKAM ASSOCIATES.,40.741271,1019864.0,1727180
CB178803M,WIN RLT. CO. % M. RAPAPORT CO. INC.,40.742834,1014781.0,21750
CB085206L,WM 30 PARK LLC % MANN RLTY ASSOC.,40.748116,1017127.0,121545
CB182401Y,WALTER & SAMUELS REALTY,40.759293,1083718.0,41063
CA005278Y,120 E 34TH STREET CO,40.746661,1018513.0,105120
CA031577N,"1 LINCOLN PZA%OGDEN CAP PROPERTIES, LLC",40.771518,1027472.0,367920
CA028979Z,#ONE HUDSON PARK INC,40.716536,1077399.0,75555
CA192069Y,INDUSTRIAL BUILDING CO,40.733043,1009134.0,141802
CA002182X,MING CHU CO LTD,40.74391,1015645.0,19656
CA245595K,RISKIN MARTIN,40.740679,1018068.0,30405
CA394184P,APPLE INDUSTRIAL CONDOMINIUM,40.766507,1090143.0,29580
CA331372Y,GEORGE SCHWARZ PRES.,40.726003,1008223.0,23360
CA533385Z,J.W. REALTY CO.,40.711072,1079101.0,37559
CA312989K,SOHO INTERNATIONAL ARTS CONDO,40.725021,1007956.0,43875
CA261568P,VINTAGE R/E MANAGMENT,40.735831,1019591.0,150563
CA224486Z,OLDMSTEAD PROPERTIES,40.715046,1001648.0,108576
CA289192K,RESIDENTIAL MANAGEMENT,40.764523,1026719.0,49932
CA335889P,LAWRENCE WIEN CTR.DANCE THEATE,40.738604,1016163.0,98000
CA045587Y,OSNOS MAYER C/O R.E.M.RESIPENTIAL,40.733463,1011174.0,28361
CA475970R,/20/92,40.715309,1001584.0,26280
CB148608X,LILLIAN GOLDMAN FAMILY % SOLIL MGT.,40.77878,1029959.0,49275
CA264893M,40 WEST 25TH ST.ASSOCIATES,40.743517,1015609.0,45569
CA283985N,DUE MILA REATLY GROUP LLC.,40.753283,1013568.0,11952
CA124192P,271 VENTURE CO.,40.75124,1017589.0,92153
CA066265Y,CHARLES STREET ASSOCIATES,40.735157,1010843.0,23360
CA028078L,W.BDWY.ARCHES%BUCHBINDER,40.726382,1008024.0,100357
CB161703X,R 30 LL,40.750023,1013526.0,21681
CA015887Z,SEG 380 BUILDINGS LLC,40.727496,1008509.0,19950
CA330388Y,227 TENANTS CORP.,40.783387,1031182.0,19856
CA056681Y,EXCELSIOR MANAGEMENT,40.765678,1025417.0,59276
CA644086K,DOUGLAS ELLIMAN GIBBONS & IVES,40.734114,1009539.0,168356
CA338269H,SCHIRRMESTER BROTHERS,40.74111,1015559.0,55480
CA194781R,215 PARK AVENUE SOUTH ASSOC.,40.736963,1017860.0,147825
CA319569X,VARICK ASSOCIATES.,40.72067,1002733.0,89425
CA271072K,MIRANDA REALTY ASSOC.,40.74871,1014295.0,86140
CB401505J,129 WEST 29 LLC,40.747085,1015143.0,28125
CA342290Y,237 EAST 20 LLC,40.736457,1019614.0,49056
CA282473P,MEI,40.746591,1000000.0,81304
CB134307H,599 11TH AVE. CO. LLC %WINTER MGT.CORP.,40.762497,1027098.0,21750
CA342190R,119 FIFTH AVE.CORP.,40.739172,1016155.0,29740
CA134888M,CHF.FK OWNERS CORP.,40.733804,1009252.0,100682
CA269493X,684 OWNERS' CORP. C/O ANDREWS BUILDING CORP. AGENT,40.727905,1008506.0,34931
CA230182K,CHELSES GARDEN OWNERS CORP.,40.745378,1084993.0,49932
CA252688P,811 STERLING ASSOCIATES,40.76579,1082421.0,16425
CB157008M,"24 C.P.S. CORP. % MAXWELL KATES, INC.",40.767178,1024920.0,45442
CA436588Y,BENJAMIN SHAPIRO REALTY,40.764441,1023730.0,49275
CA007490K,"TUR,JOSE",40.852778,1063794.0,21900
CA025064R,"RAVA,F.RAVA,S.& RAVA,J.",40.722619,1007298.0,16060
CA153281J,KAUFMAN MGMT ASSOCIATES.,40.751949,1014430.0,46246
CA199594Y,470P.A.ASSOC/S.L.GREEN MG,40.745492,1080788.0,73913
CB022208M,"J. B. S. PROPERTIES, LLLC",40.744338,1014129.0,45442
CA146296R,"LADERA PARTNERS LLC. Att: Keystone Mgmt., Inc.",40.75981,1085019.0,31755
CA044686P,RIDER REALTY CO.,40.812986,2000978.0,58320
CB071405Y,KAUFMAN MANAGEMENT,40.753385,1013576.0,52002
CA010192J,JENEL MANAGMENT,40.751723,1017600.0,50820
CA022492J,100 HUDSON CO%ANDREWS BLG.,40.71919,1002012.0,31755
