building_manager,city_council_district,borough,boiler_installation_date,total_units,boiler_model,census_tract
231 W. 39TH ST. ASSOC. L.P. % SCHUR MGT.,3,Manhattan,2003,64,FEDERAL FST - 250 (NEW),113.0
E.TWENTY SIXTH JOINT VENTURE ADAMS & CO.,3,Manhattan,1982,25,FEDERAL FST 300,56.0
SAVOY ESTATES.LLC.,6,Manhattan,1981,13,FEDERAL FST 200,145.0
139 141 FRANKIN ST RTY.,1,Manhattan,1982,11,ROCKMILLS MP 80,33.0
JOLLY MADISON TOWERS,3,Manhattan,1984,2,FEDERAL FST 175,82.0
150 WEST 30TH STREET ASSOCIATE,3,Manhattan,1996,45,ROCKMILLS MP-250SS,95.0
GERARD J. PICASCO INC.,6,Manhattan,1989,42,ROCKMILLS MP 80,139.0
SOUTH PARK ESTATES % PUMIA & MARX INC.,6,Manhattan,2005,276,ROCKMILLS MP 250SS (NEW),139.0
RELIANCE PROPERTY ASSOC CONDO,3,Manhattan,1982,14,FEDERAL FST 80,84.0
308 HOTEL CORP.,6,Manhattan,1980,3,ROCKMILLS MP60,139.0
CHELSEA VILLAGE LLC % COOPER SQ. RLTY.,3,Manhattan,2007,71,FEDERAL FST 50 (NEW),
HELMSLEY SPEAR INC.,3,Manhattan,1951,19,KEWANEE 420,109.0
ESTATE OF EDWIh S. LOWE/CHASE MAN,3,Manhattan,1984,22,FEDERAL FST-200,58.0
MOCAL ENTERP RISES INC.,3,Manhattan,1973,100,CROTTY #C5M-175,76.0
112 MADISON REALTY COMPANY,3,Manhattan,1998,58,FEDERAL FST-125,74.0
EDMAL REALTY COMPANY WINTER MGMT.,3,Manhattan,1981,14,FEDERAL FST-150,54.0
WEMBLY MGMT. CO. INC. % BLDG. MGMT. CO. INC.,2,Manhattan,2005,166,BEST 5C - 200 (NEW),40.0
HILSON MGMT.,4,Manhattan,1979,30,ROCKMILLS MP-100,80.0
R.G.A. AGENT/38 WEST 32 ASSOCIATES,3,Manhattan,1980,76,FEDERAL FST-250,76.0
ONE FIFTH AVE APT/INSIGNIA RESIDENT,1,Manhattan,2002,200,ROCKMILLS MP-400,59.0
DEMAIMON CO.,1,Manhattan,2008,9,ROCKMILLS MP - 60 (EXSTG),5502.0
CAPITAL BUILDING LOFT CORP.,3,Manhattan,1992,43,ROCKMILLS MP-150,91.0
PUCK ASSOCIATES,1,Manhattan,1971,7,ROCKMILLS MP-250,43.0
636 BROADWAY ASSOCIATES,1,Manhattan,1986,82,ROCKMILLS MP 200,5502.0
K & S REALTY CO.,3,Manhattan,1986,17,ROCKMILLS MP 60,54.0
STELLAR MANAGEMENT,2,Manhattan,1981,75,FEDERAL FST 80,40.0
randal hse. owners % akam assoc.,2,Manhattan,2006,235,BEST 5C - 200 (NEW),59.0
ROGERS & WELLS,2,Manhattan,1972,16,H B SMITH 440-S-11,50.0
MAZDA REALTY ASSOC..,1,Manhattan,1980,26,ROCKMILLS MP 150,33.0
401 BROADWAY BUILDING,1,Manhattan,2001,171,ROCKMILLS MP-175,33.0
BROCROS REALTY,1,Manhattan,1979,24,ROCKMILLS MP 100,43.0
33-337 EAST 13 ST OWENRS,2,Manhattan,1989,15,BEST 4B-80,40.0
GOODMAN MANAGEMENT CO. INC,3,Manhattan,1988,170,FEDERAL FST 125,67.0
PARISH OF TRINITY CHURCH,3,Manhattan,1986,0,FEDERAL FST 100,37.0
317 W 54 OWNER'S CORP.,3,Manhattan,1972,39,WEIL-MCLAIN #1092,139.0
"OLMSTEAD PROPERTIES, INC.",1,Manhattan,1987,101,ROCKMILLS MP350SL,43.0
33 BLEEKER ST CORPORATION,1,Manhattan,1984,13,ROCKMILLS MP 70,5502.0
"185 EAST VILLAGE APTS.,LLC",2,Manhattan,1987,43,FEDERAL FST 80,32.0
RUDIN MANAGEMENT,1,Manhattan,1999,350,FEDERAL FST - 350,63.0
ABC REALTY,2,Manhattan,1985,77,ROCKMILLS MP 150,40.0
STERING 28 LLC,2,Manhattan,1980,42,ROCKMILLS MP-478,74.0
ELIZABETH WEISS,1,Manhattan,1986,20,FEDERAL FST-70 S P,43.0
DAVID JUSTIN,3,Manhattan,1974,28,ROCKMILLS MP 200,109.0
ST.BERNARDS SCHOOL,3,Manhattan,1988,1,H.B.SMITH 44 S 18,77.0
KEW MANAGEMENT CORP.,3,Manhattan,1999,0,ROCKMILLS (NEW) MP-150,95.0
19 W 36TH STREET HOLDING CO.,3,Manhattan,1988,14,FEDERAL FST 125,84.0
