owner,borough_block_lot,city_community_board,utility,burner_model,year_built,greener_greater_buildings,condo,bldg_sqft,of_bldgs,owner_address,coop,boiler_capacity_gross_btu
RUDD RLTY MGMT.CORP/MARK McCONNELL,1007750060,M 04,Con Edison,I.C.I DEG-63P,1925,1,,"* 86,280",1,"641 MADISON AVE., 10TH FL, NEW YORK NY 10022",,6.27
KAUFMAN ASSOC.,1008200026,M 05,Con Edison,ICI DEG - 105P (NEW),1901,1,,"* 162,997",1,"450 7 AVENUE, NEW YORK NY 10001",,8.3
210 6TH AVE OWN.C/O ARGO MGMT.,1005190044,M 02,Con Edison,I.C.I. MMG-34-P,1930,0,,"* 33,204",1,"10 COLUMBUS CIRCLE, STE. 1400, NEW YORK NY 10019-1383",,3.6
55 PARK TENANTS CORP.%BLUE STONE RESID. MGMT,1008930002,M 06,Con Edison,INDUST COMB #DEG-42-P,1923,0,,"* 37,262",1,"340 EAST 51 STREET, NEW YORK NY 10022",,3.4
481 WASHINGTON ST RTY.,1005950062,M 02,Con Edison,ICI AM 4 DH,1900,0,,"* 46,270",1,"481 WASHINGTON STREET, MANHATTAN NY 10013",,1.82
326 E.35 ST.LLC,1009400046,M 06,Con Edison,HEV-E MMG 34-P,1910,0,,"* 13,752",1,"623 BROADWAY 7th fl., MANHATTAN NY 10012",,2.9
CONCOURSE MGMT/BLDG MGMT INC.,1010180061,M 05,Con Edison,HEV-E-OIL #AM4,1928,0,,"* 22,073",1,"417 FIFTH AVE, MANHATTAN NY 10016",,2.4
112 E. 19TH ST. RUGGLES HSE.CHARLES GREENTHAL MGMT,1008740069,M 05,Con Edison,RAY AR-141-6,1913,1,,"* 55,049",1,"4 PARK AVENUE, MANHATTAN NY 10016",Yes,5.36
EMPIRE MANAGEMENT CORP,1008630004,M 05,Con Edison,HEVEOIL AM 8 1/2E,1907,1,,"* 107,637",1,"347 5TH AVENUE, MANHATTAN NY 10016",,9.8
EMPIRE STATE MANAGEMENT,1010790029,M 04,Con Edison,PREFERRED MODEL BHE-8,1930,0,,"* 413,138",3,"747 10 AVENUE, MANHATTAN NY 10019",,13.0
"F.M.RING,ASSOCIATES INC.",1008800004,M 05,Con Edison,PETRO WD4AH,1914,0,,"* 37,025",1,"20 WEST 47 STREET, MANHATTAN NY 10036",,3.2
MORDY SOHN,1007910050,M 04,Con Edison,ICI MMG-34 (P),1939,0,,"* 32,736",1,"P.O. BOX 1168, FLUSHING NY 11354",,2.77
CHELSEA 19TH OWNERS CORP.,1007420049,M 04,Con Edison,ICI MMG - 22 (NEW),1900,0,,"* 22,700",2,"408 WEST 57 STREET, NEW YORK NY 10019",,1.6
PUMIA & MARX,1008910027,M 06,Con Edison,S. T. JOHNSON FD68 - CA125 - HM (NEW),1940,1,,"* 130,272",1,"265 LEXINGTON AVENUE, NEW YORK NY 10016",,4.1
"CHELSEA 25, LLC",1007750017,M 04,Con Edison,ICI MMG-42P,1961,1,,"* 50,029",1,"205 WEST 15TH STREET, MAN. NY 10011",,4.2
59 W. 71ST APTS. CORP.%TERRIS RLTY. LLC,1011240005,M 07,Con Edison,IRON FIREMAN A0-6-4.5,1924,1,,"* 54,976",1,"115 W. 30th STREET,SUITE 503, MANHATTAN NY 10001",Yes,4.2
166 WEST 22ND ST. OWNERS CORP.,1007970076,M 04,Con Edison,I.C.I. MMG-28,1950,0,,"* 31,759",1,"666 BROADWAY 12TH FLOOR , MANHATTAN NY 10012",,2.3
"MOCAL ENTERPRISES, INC.",100831006400.00%,M 05,Con Edison,NATIONAL DEVH-SIZE 6,1921,1,,"* 92,000",2,"1225 BROADWAY, MANHATTAN NY 10001",,4.9
MURRAY HILL OWNERS CO.,1008910023,M 06,Con Edison,ICI DE42Y,1924,0,,"* 35,734",1,"264 LEXINGTON AVE APT.11B, MANHATTAN NY 10016",,3.1
26-30 WEST STREET OWNERS CORP.,1008390063,M 05,Con Edison,INDUSTRIAL COMBUSTION MEG-42P,1910,1,,"* 55,870",1,"770 LEXINGTON AVE, MANHATTAN NY 10065",Yes,3.4
E. 163rd ST. REALTY LLC.,2027030053,Bx 02,Con Edison,ICI ME42P,1910,1,,"* 61,872",1,"4419 3RD AVE 4A, BRONX NY 10457",,4.1
THE THOMAS CAMPENNI COMPANY,1008010008,M 04,Con Edison,HEV-E MEG-34 P,1911,1,,"* 86,027",1,"700 ST. LUCIE CRSNO., STUART FL 34994",,3.1
270 W. 11th ST. OWNERS CORP.C/O ABC RLTY,1006220041,M 02,Con Edison,INDUSTRIAL COMBUSTION DEG-42P,1915,0,,"* 29,725",1,"152 W. 57TH ST. 12TH FL., NEW YORK NY 10019",,2.84
29 W. 36TH ST. LLC %BERSTEIN R.E. CO.,1008380024,M 05,Con Edison,ICI DEG - 54P (NEW),1930,1,,"* 72,984",1,"150 WEST 30TH ST., NEW YORK NY 10001",,4.1
MARTIN BAUMRIND,1010750044,M 04,Con Edison,ICI MMG 34P (NEW),1910,0,,"* 7,175",1,"201 CLINTON STREET, BROOKLYN NY 11201",,2.6
SL GREEN REALTY CORP.,1008610044,M 05,Con Edison,INDUSTRIAL COMBUSTION DEG-84P,1925,1,,"* 227,053",3,"420 LEXINGTON AVENUE, NEW YORK NY 10170",,6.69
