dbn,school_name,principal,teacher_ethnicity_amerindian,cap_sc_pct,survey_pp_es,rr_p,ethnicity_pacific_pct,n_move_to_gen_pct_all,survey_pp_ct,qr_3_1,teacher_ethnicity_asian_pct,survey_pp_se,rr_s,iep,ethnicity_amerindian_pct
75K140,P.S. K140,RODERICK PALTON,0,0.87,0.67,6%,0.0,324,0.7,Proficient,No Data,0.7,87%,1.0,0.017
75X811,P.S. X811,Rosa Nieves Greene,No Data,0.801,0.86,7%,0.017,537,0.87,No Data,0.094,0.8,90%,0.963,0.02
75Q993,P.S. Q993,JACQUELINE ZARETSKY,0,0.87,0.94,16%,0.007,526,0.93,Well Developed,0.087,0.85,33%,0.998,0.013
75X010,P.S. X010,Christophe Reda,0,0.894,0.85,18%,0.004,555,0.83,Proficient,0.064,0.82,33%,0.998,0.005
75X017,P.S. X017,MARLIN HOGGARD,0,0.816,0.76,26%,0.006,432,0.78,Proficient,0.055,0.78,86%,0.996,0.01
75M751,Manhattan School for Career Development,Ewa Asterita,No Data,0.694,0.78,1%,0.0,182,0.84,No Data,No Data,0.79,67%,0.97,0.013
75M035,P.S. 035,MARTA BARNETT,0,0.557,No Data,,0.003,204,No Data,Proficient,No Data,No Data,,0.913,0.006
75X176,P.S. X176,Rima Ritholtz,0,0.829,0.73,7%,0.002,498,0.74,No Data,No Data,0.83,30%,0.998,0.009
75Q177,P.S. Q177,Christopher Duffy,0,0.884,0.94,24%,0.01,438,0.92,Proficient,0.11,0.9,96%,1.0,0.02
75M721,P.S. M721 - Manhattan Occupational Training Center,SHOLOM FRIED,0,0.719,0.89,52%,0.005,169,0.88,Well Developed,No Data,0.86,91%,0.99,0.0
75X723,P.S. 723,SHANTE CHUNN,0,0.775,0.82,9%,0.004,431,0.85,Proficient,No Data,0.7,19%,0.994,0.023
75Q004,P.S. Q004,Marcy Berger,0,0.92,0.91,30%,0.018,385,0.9,No Data,0.065,0.93,95%,1.0,0.023
75X721,P.S. X721 - Stephen McSweeney School,Frank Degennaro,0,0.803,0.85,6%,0.01,434,0.85,Well Developed,0.058,0.78,84%,0.997,0.009
75Q256,P.S. Q256,Robert Lopez,0,0.68,0.87,12%,0.004,406,0.86,Proficient,No Data,0.71,24%,0.829,0.017
75K368,P.S. 368,Joycelyn Nedd,0,0.805,0.86,10%,0.0,216,0.85,No Data,No Data,0.96,28%,0.951,0.0
