dbn,val_move_to_gen_pct_all,hra_elig_pct,ethnicity_white_pct,ethnicity_asian_pct,qr_3_4,teacher_ethnicity_pacific,val_interaction_all,ethnicity_black_pct,n_interaction_all,temp_housing_pct,enrollment,n_attend_increase_mean_all,qr_4_2,ethnicity_hispanic_pct,qr_2_2,gender_female_pct
75Q721,0.003,0.878,0.158,0.139,Well Developed,0,0.852,0.198,474,0.072,474,465,Well Developed,0.454,Proficient,0.312
75X754,0.067,0.922,0.033,0.011,Well Developed,0,0.499,0.362,476,0.231,459,440,Well Developed,0.584,Proficient,0.294
75K373,0.029,0.896,0.041,0.039,Well Developed,0,0.864,0.568,888,0.136,856,813,Well Developed,0.327,Well Developed,0.244
75K141,0.028,0.871,0.265,0.125,Proficient,0,0.866,0.323,724,0.076,688,610,Proficient,0.27,Proficient,0.286
75X012,0.012,0.932,0.035,0.032,Well Developed,0,0.778,0.297,305,0.152,310,309,Well Developed,0.558,Proficient,0.248
75Q811,0.008,0.805,0.134,0.174,Well Developed,0,0.946,0.308,426,0.073,426,411,Well Developed,0.3,Well Developed,0.333
75Q009,0.058,0.808,0.11,0.159,Proficient,0,0.918,0.305,671,0.125,630,586,Proficient,0.402,Developing,0.284
75K396,0.007,0.873,0.093,0.063,Well Developed,0,0.856,0.497,487,0.163,473,404,Well Developed,0.18,Proficient,0.29
75K372,0.188,0.379,0.415,0.077,Well Developed,0,0.903,0.179,198,0.021,195,178,Proficient,0.267,Proficient,0.241
75X188,0.035,0.881,0.025,0.017,Well Developed,0,0.915,0.36,527,0.168,481,461,Proficient,0.576,Well Developed,0.256
75K811,0.014,0.923,0.133,0.077,Well Developed,0,0.897,0.484,344,0.115,339,334,Well Developed,0.263,Well Developed,0.348
75Q224,0.053,0.72,0.107,0.271,Well Developed,0,0.913,0.175,412,0.088,354,292,Proficient,0.367,Well Developed,0.246
75K721,0.002,0.913,0.262,0.113,Well Developed,0,0.741,0.358,457,0.083,469,458,Well Developed,0.243,Well Developed,0.371
75R721,0.003,0.899,0.345,0.076,Well Developed,0,0.921,0.183,450,0.074,447,442,Well Developed,0.374,Well Developed,0.313
75M811,0.046,0.905,0.036,0.017,Well Developed,0,0.739,0.43,435,0.226,358,317,Well Developed,0.494,Proficient,0.176
