comparable_rental_3_distance_from_coop_in_miles,comparable_rental_3_gross_income_per_sqft,borough,comparable_rental_1_year_built,staten_island_cooperatives_comparable_properties_market_value_per_sqft,postcode,comparable_rental_1_address,staten_island_cooperatives_comparable_properties_total_units,comparable_rental_3_boro_block_lot,comparable_rental_2_total_units,nta,comparable_rental_1_total_units,latitude,comparable_rental_3_market_value_per_sqft,staten_island_cooperatives_comparable_properties_building_classification,community_board
 , ,5,1950,34.89,10304,"{'latitude': '40.619125559454', 'longitude': '-74.077146125129', 'human_address': '{""address"": ""30 PARK HILL COURT Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",11,,18.0,Grymes Hill-Clifton-Fox Hills                                              ,36,40.612556, ,C6-WALK-UP,1
 , ,5,1950,34.9,10304,"{'latitude': '40.619125559454', 'longitude': '-74.077146125129', 'human_address': '{""address"": ""30 PARK HILL COURT Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",19,,18.0,Grymes Hill-Clifton-Fox Hills                                              ,36,40.613569, ,C6-WALK-UP,1
 , ,5,1933,28.2,10308,"{'latitude': '40.576986694649', 'longitude': '-74.104670051676', 'human_address': '{""address"": ""261 LINCOLN AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",36,,12.0,Great Kills                                                                ,16,40.552072, ,C6-WALK-UP,3
 , ,5,1931,21.55,10301,"{'latitude': '40.632816051624', 'longitude': '-74.09666706987', 'human_address': '{""address"": ""177 SILVER LAKE ROAD Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",12,,12.0,New Brighton-Silver Lake                                                   ,16,40.634538, ,C6-WALK-UP,1
 , ,5,1930,20.13,10301,"{'latitude': '40.639522390599', 'longitude': '-74.09274165437', 'human_address': '{""address"": ""155 PROSPECT AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",16,,9.0,New Brighton-Silver Lake                                                   ,30,40.634197, ,C6-WALK-UP,1
