comparable_rental_2_year_built,comparable_rental_3_year_built,bbl,staten_island_cooperatives_comparable_properties_full_market_value,comparable_rental_1_net_operating_income,comparable_rental_3_address,comparable_rental_2_expense_per_sqft,comparable_rental_1_estimated_expense,comparable_rental_1_building_classification,comparable_rental_3_total_units,comparable_rental_2_net_operating_income
2002.0, ,5029250432.0,760000,150103,,7.9,161780,C9-WALK-UP, ,135967.0
1962.0, ,5000010216.0,4913000,712986,,7.57,787479,D1-ELEVATOR, ,1461813.0
2002.0, ,5029250450.0,763000,150103,,7.9,161780,C9-WALK-UP, ,135967.0
1951.0, ,5005970120.0,4915000,956355,,9.3,1212664,C9-WALK-UP, ,1454840.0
1933.0,1974,5035460001.0,202000,64613,"{'latitude': '40.586020317386', 'longitude': '-74.094850589803', 'human_address': '{""address"": ""227 BUEL AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}",6.23,68514,C1-WALK-UP,12,99630.0
