comparable_rental_3_neighborhood,staten_island_cooperatives_comparable_properties_boro_block_lot,comparable_rental_1_full_market_value,staten_island_cooperatives_comparable_properties_estimated_expense,comparable_rental_2_building_classification,comparable_rental_3_building_classification,staten_island_cooperatives_comparable_properties_address
 ,5-02925-0432,1036000,153113,C1-WALK-UP, ,"{'latitude': '40.612546177166', 'longitude': '-74.080053831898', 'human_address': '{""address"": ""361 SKYLINE DRIVE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
STAPLETON-CLIFTON,5-02986-0012,465000,552462,C7-WALK-UP,C9-WALK-UP,"{'latitude': '40.609357387837', 'longitude': '-74.073612377733', 'human_address': '{""address"": ""390 MARYLAND AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
 ,5-00101-0537,350000,121578,C1-WALK-UP, ,"{'latitude': '40.634362104939', 'longitude': '-74.100657322084', 'human_address': '{""address"": ""545 CASTLETON AVENUE Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
CONCORD,5-02833-0031,2475000,366560,D1-ELEVATOR,D1-ELEVATOR,"{'latitude': '40.611177650284', 'longitude': '-74.060606659565', 'human_address': '{""address"": ""20 CLIFF STREET Staten Island"", ""city"": """", ""state"": ""NY"", ""zip"": """"}'}"
