comparable_rental_2_full_market_value,comparable_rental_3_expense_per_sqft,comparable_rental_1_market_value_per_sqft,comparable_rental_1_neighborhood,staten_island_cooperatives_comparable_properties_year_built,bin,comparable_rental_3_estimated_gross_income
874000.0, ,48.9,STAPLETON-CLIFTON,1999,5131611.0, 
373000.0, ,39.94,NEW BRIGHTON,1985,, 
976000.0, ,25.21,NEW BRIGHTON,1947,5108618.0, 
351000.0,10.03,26.15,WEST NEW BRIGHTON,1968,5003176.0,"164,738"
, ,26.07,ROSEBANK,1967,5008972.0, 
