increased_bike_7,bike_store_8,home_county,num_students,vehicle_change,bike_store_4,num_scooters,increased_veh_997,primary_language,num_complete_mon,num_days_complete_weekend,reduced_bike_5,ev_purchase_barriers_5,ev_typical_charge_6,bicycle_type_2,r_num_people,num_kids,num_days_complete_weekday,reduced_bike_4
995,995,36047,0,995,995,995,995,1,1,2,995,995,995,995,2,0,5,995
995,0,36005,0,3,0,995,995,1,0,0,995,995,995,0,5,1,1,995
995,0,36005,1,3,0,995,995,1,1,1,995,0,995,0,2,0,4,995
995,0,36047,1,2,0,1,0,1,1,2,995,995,995,1,3,0,5,995
995,0,36005,0,3,0,995,995,1,0,0,995,0,995,0,2,0,1,995
995,0,36005,0,995,0,995,995,1,1,2,995,995,995,0,3,0,2,995
995,995,36005,0,995,995,995,995,2,1,2,0,995,995,995,3,2,5,0
995,0,36047,0,995,0,995,995,1,0,0,995,995,995,0,2,0,1,995
995,995,36005,0,3,995,995,995,1,0,2,995,0,995,995,3,2,4,995
995,995,36005,0,3,995,995,995,1,1,2,995,0,995,995,2,0,5,995
995,995,36005,0,995,995,995,995,1,0,0,995,995,995,995,1,0,1,995
995,0,36005,1,995,0,1,995,1,1,2,995,995,995,0,1,0,5,995
995,0,36047,0,995,0,995,995,1,0,0,995,995,995,0,1,0,1,995
995,995,36005,1,3,995,995,995,2,1,1,995,995,995,995,4,1,5,995
995,995,36047,0,995,995,995,995,1,1,2,995,995,995,995,2,0,4,995
995,0,36047,1,2,0,2,0,1,0,0,995,995,995,0,2,0,1,995
995,0,36005,0,3,0,995,995,2,0,0,995,1,995,0,4,1,1,995
995,0,36005,0,3,0,995,995,2,0,0,995,1,995,0,1,0,1,995
995,995,36047,0,3,995,995,995,1,1,2,995,1,995,995,2,0,5,995
995,0,36047,0,995,0,995,995,1,1,2,995,995,995,0,1,0,5,995
995,995,36005,0,3,995,995,995,1,1,1,995,995,995,995,2,0,4,995
995,0,36005,0,3,0,1,995,1,1,2,0,0,995,0,3,0,2,0
995,995,36005,0,3,995,995,995,1,1,2,995,995,995,995,2,0,5,995
995,995,36047,0,995,995,995,995,1,0,0,995,995,995,995,2,0,1,995
995,995,36005,0,3,995,995,995,2,1,1,995,1,995,995,1,0,4,995
995,995,36005,0,2,995,995,0,1,0,0,995,995,995,995,1,0,1,995
995,995,36005,0,995,995,995,995,3,1,2,995,995,995,995,1,0,5,995
995,995,36005,2,995,995,995,995,1,0,0,0,995,995,995,4,2,1,0
995,0,36047,1,995,0,995,995,1,1,2,995,995,995,0,2,0,5,995
995,995,36005,0,995,995,995,995,1,1,1,995,995,995,995,1,0,4,995
995,995,36047,0,995,995,995,995,1,0,0,995,995,995,995,1,0,1,995
995,995,36047,0,995,995,995,995,995,1,0,995,995,995,995,2,0,1,995
995,995,36005,0,995,995,995,995,2,1,2,995,995,995,995,5,3,5,995
995,0,36047,0,995,0,995,995,1,1,2,0,995,995,0,2,0,4,0
995,995,36047,0,3,995,995,995,1,1,2,995,1,995,995,2,0,5,995
1,0,36047,0,995,0,995,995,1,1,2,995,995,995,0,1,0,5,995
995,995,36005,0,995,995,995,995,1,0,0,995,995,995,995,1,0,1,995
1,0,36047,0,3,0,995,995,1,1,2,995,995,995,0,2,0,5,995
995,995,36005,1,3,995,995,995,2,0,1,995,995,995,995,2,0,2,995
995,995,36005,0,995,995,995,995,1,1,2,995,995,995,995,1,0,4,995
995,995,36047,0,995,995,995,995,995,0,0,995,995,995,995,3,0,1,995
995,0,36047,0,995,0,995,995,1,1,2,995,995,995,0,2,0,5,995
995,995,36047,0,995,995,995,995,1,0,2,995,995,995,995,1,0,4,995
995,995,36005,0,3,995,995,995,1,1,2,995,1,995,995,3,0,4,995
995,995,36047,1,3,995,1,995,1,0,0,995,0,995,995,5,1,1,995
995,0,36047,0,995,0,995,995,1,1,2,995,995,995,0,2,0,5,995
995,0,36005,0,995,0,995,995,1,1,2,995,995,995,0,4,3,5,995
995,0,36047,0,2,0,995,1,1,1,2,995,995,995,0,2,0,5,995
995,995,36005,1,3,995,995,995,1,1,2,995,0,995,995,2,0,5,995
995,995,36005,0,995,995,995,995,1,0,0,995,995,995,995,1,0,1,995
1,0,36047,0,995,0,995,995,997,1,2,995,995,995,1,2,0,5,995
0,0,36047,0,1,0,0,995,4,0,0,995,995,995,0,4,2,1,995
995,995,36005,0,995,995,995,995,1,1,2,995,995,995,995,1,0,4,995
1,0,36047,0,995,0,995,995,997,1,2,995,995,995,1,5,3,5,995
995,995,36047,0,995,995,995,995,1,1,2,995,995,995,995,2,0,5,995
995,0,36047,0,2,0,995,0,1,0,0,995,995,995,0,2,0,1,995
995,0,36047,1,3,0,995,995,1,1,0,995,1,995,0,1,0,5,995
995,0,36047,0,995,0,995,995,1,1,1,0,995,995,0,2,0,5,0
995,995,36005,1,995,995,995,995,2,1,2,995,995,995,995,5,2,5,995
995,995,36047,0,995,995,995,995,1,1,2,995,995,995,995,1,0,5,995
995,995,36005,0,3,995,995,995,1,0,1,995,1,995,995,2,0,2,995
995,995,36005,1,2,995,995,0,2,1,2,995,0,995,995,4,0,5,995
