property_name,metered_areas_water,data_center_cooling_equipment_redundancy,wastewater_treatment_plant_gross_floor_area_ft,national_median_reference_property_type,data_center_it_site_energy_kwh,last_modified_date_water_meters,weather_normalized_site_natural_gas_use_therms,nta,convention_center_gross_floor_area_ft,metered_areas_energy,total_ghg_emissions_metric_tons_co2e,annual_maximum_demand_meter_name_meter_id,outpatient_rehabilitation_physical_therapy_gross_floor_area_ft,multifamily_housing_percent_that_can_be_heated,multifamily_housing_number_of_laundry_hookups_in_all_units,mailing_center_post_office_gross_floor_area_ft,parent_property_name,enclosed_mall_gross_floor_area_ft,year_built,municipally_supplied_potable_water_outdoor_use_kgal,multifamily_housing_total_number_of_residential_living_units_density_number_per_1_000_sq_ft,municipally_supplied_potable_water_mixed_indoor_outdoor_use_kgal,last_modified_date_electric_meters,alert_water_meter_has_less_than_12_full_calendar_months_of_data,primary_property_type_portfolio_manager_calculated,fuel_oil_5_6_use_kbtu,medical_office_percent_that_can_be_cooled,percent_of_electricity_that_is_green_power,list_of_all_property_use_types_at_property,multifamily_housing_total_number_of_residential_living_units,_3rd_largest_property_use_type_gross_floor_area_ft,manufacturing_industrial_plant_gross_floor_area_ft,site_energy_use_kbtu,release_date,number_of_active_energy_meters_total,museum_gross_floor_area_ft,k_12_school_gross_floor_area_ft,green_power_offsite_kwh,_2nd_largest_property_use_type,multifamily_housing_resident_population_type,indoor_water_use_all_water_sources_kgal,natural_gas_use_kbtu,hospital_general_medical_surgical_percent_that_can_be_heated,estimated_data_flag_fuel_oil_no_5_and_no_6,leed_us_project_id,propane_use_kbtu,alert_energy_meter_has_single_entry_more_than_65_days,adult_education_gross_floor_area_ft,community_board,electricity_use_generated_from_onsite_renewable_systems_and_used_onsite_kbtu,supermarket_grocery_gross_floor_area_ft,barracks_gross_floor_area_ft,avoided_emissions_onsite_green_power_metric_tons_co2e
X107-0200150,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,50550.2,Soundview-Castle Hill-Clason Point-Harding Park,Not Available,Whole Property,319.3,0200150E (8080087),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1936,Not Available,Not Available,Not Available,04/20/2021 10:45 PM EDT,Unable to Check (not enough data),K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,5464912.2,2021-05-28T17:29:28.000,3,Not Available,88925,0,Not Available,Not Available,Not Available,4362699.7,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,209.0,Not Available,Not Available,Not Available,Not Available
K104-0300114,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/03/2021 01:32 PM EDT,987,Bay Ridge,Not Available,Whole Property,616.4,0300114E (7877753),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1904,Not Available,Not Available,Not Available,04/21/2021 03:22 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,8113063.2,2021-05-28T17:29:28.000,3,Not Available,116400,0,Not Available,Not Available,427.1,98700,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,310.0,Not Available,Not Available,Not Available,Not Available
K214-0300218,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/05/2021 08:53 AM EDT,39217,Cypress Hills-City Line,Not Available,Whole Property,277.9,0300218E (7899050),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1971,Not Available,Not Available,Not Available,04/21/2021 03:24 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,4676822.4,2021-05-28T17:29:28.000,3,Not Available,104400,0,Not Available,Not Available,365.9,3500500,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,305.0,Not Available,Not Available,Not Available,Not Available
Q105-0400889,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/04/2021 11:47 AM EDT,38959.9,Hammels-Arverne-Edgemere,Not Available,Whole Property,298.1,0400889E (7755307),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1958,Not Available,Not Available,Not Available,04/21/2021 04:02 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,4897491,2021-05-28T17:29:28.000,2,Not Available,103325,0,Not Available,Not Available,299.2,3457899.9,Not Available,No,Not Available,Not Available,Ok,Not Available,414.0,Not Available,Not Available,Not Available,Not Available
X097-0200139,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,Not Available,25351.3,Allerton-Pelham Gardens,Not Available,Whole Property,241.7,0200139E (8052723),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1931,Not Available,Not Available,Not Available,04/20/2021 10:46 PM EDT,Unable to Check (not enough data),K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,3819329,2021-05-28T17:29:28.000,3,Not Available,55080,0,Not Available,Not Available,Not Available,2225099.7,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,211.0,Not Available,Not Available,Not Available,Not Available
Guggenheim Museum,Whole Property,Not Available,Not Available,CBECS - Public Assembly,Not Available,04/12/2021 12:30 PM EDT,921.7,Upper East Side-Carnegie Hill,Not Available,Whole Property,2236.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1959,Not Available,Not Available,14655.9,04/12/2021 12:31 PM EDT,Ok,Museum,Not Available,Not Available,0,Museum,Not Available,Not Available,Not Available,31644227.2,2021-04-23T14:37:07.000,3,108013,Not Available,0,Not Available,Not Available,Not Available,92168.5,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,108.0,Not Available,Not Available,Not Available,Not Available
X963-0201323,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/05/2021 09:27 AM EDT,Not Available,Melrose South-Mott Haven North,Not Available,Whole Property,2.3,0201323E (8107233),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,2004,Not Available,Not Available,Not Available,04/20/2021 10:45 PM EDT,Ok,K-12 School,Not Available,Not Available,0E+2,K-12 School,Not Available,Not Available,Not Available,28660.8,2021-05-28T17:29:28.000,1,Not Available,13200,0,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,201.0,Not Available,Not Available,Not Available,Not Available
CW/METLIFE 27-01 QPN,Whole Property,Not Available,Not Available,CBECS - Office & Bank/Financial,Not Available,07/06/2021 04:19 PM EDT,Not Available,Queensbridge-Ravenswood-Long Island City,Not Available,Whole Property,5725,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,2001,Not Available,Not Available,Not Available,07/06/2021 01:45 PM EDT,Ok,Office,Not Available,Not Available,0,"Office, Other, Restaurant",Not Available,7060,Not Available,34994467.7,2021-07-30T10:12:03.000,3,Not Available,Not Available,0,Other,Not Available,6028.5,5752775.8,Not Available,Not Available,Not Available,Not Available,Possible Issue,Not Available,401.0,Not Available,Not Available,Not Available,Not Available
X052-0200088,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/04/2021 01:11 PM EDT,4898,Longwood,Not Available,Whole Property,633.8,0200088E (8052394),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1927,Not Available,Not Available,Not Available,04/20/2021 10:46 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,8549777.3,2021-05-28T17:29:28.000,3,Not Available,164500,0,Not Available,Not Available,0,489800,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,202.0,Not Available,Not Available,Not Available,Not Available
K210-0300213,Not Available,Not Available,Not Available,CBECS - Elementary/Middle & High School,Not Available,05/03/2021 02:19 PM EDT,1168,Crown Heights North,Not Available,Whole Property,568.7,0300213E (7898069),Not Available,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,1925,Not Available,Not Available,Not Available,04/21/2021 03:24 PM EDT,Ok,K-12 School,Not Available,Not Available,0,K-12 School,Not Available,Not Available,Not Available,7555317.1,2021-05-28T17:29:28.000,3,Not Available,129600,0,Not Available,Not Available,105.4,116800,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,308.0,Not Available,Not Available,Not Available,Not Available
