site_id,site_name,address_1,contract_id,capacity,state_assembly_district,council_district,catchment_intersection_1
1267,Art Trnasforms Inc,229-19 Merrick Blvd,9233,,29.0,31.0,
1178,Abe Stark Food Pantry,10315 Farragut Road,6496,,58.0,42.0,
776,Manhattan Criminal Court,100 Centre St,4197,,65.0,1.0,
354,Bronx Community Solutions,215 East 161st Street,5019,,79.0,16.0,
401,Bronx Supreme Court,851 Grand Concourse,7248,,84.0,8.0,
796,Living Room Drop-in,800 Barretto St,6237,,85.0,17.0,
503,NYCHA Patterson Houses,,4003,,,,
1256,AR Inc Youth Center,140 Park Hill Avenue,2301,50.0,61.0,49.0,
1435,Bronx High School for Medical Science,240 East  172 Street,2965,100.0,77.0,16.0,
276,UJC- HQ & Service Site,40 RECTOR STREET,1583,,65.0,1.0,
228,NY Foundation,11 PARK PLACE,7030,,66.0,1.0,
539,Manhattan,,6841,,,,
1162,810 Classon,810 Classon Ave,1491,,57.0,35.0,
885,Fedcap,25 ELM PLACE,5047,,52.0,33.0,
1332,BCA After Program - PS 97,1855 STILLWELL AVENUE,739,,47.0,47.0,
860,Red Hook Houses,71 SULLIVAN STREET,5035,,51.0,38.0,
785,Queens,88-11 Sutphin Blvd,9144,,32.0,24.0,
215,Manhattan,335 EAST 11 STREET,497,,66.0,2.0,
481,St. Nicholas Houses Playstreets and VIBE,,4740,,,,
697,Brownsville,,5674,,,,
292,Urban Justice Center,260 EAST 188 STREET,2022,,86.0,15.0,
350,Provider office,360 E 161 St,5209,,79.0,17.0,
1399,Boys and Girls Republic,888 East Sixth Street,2635,30.0,74.0,2.0,
759,Brownsville,,9130,,,,
344,Provider office,120 Wall St.,4857,,65.0,1.0,
1330,BBT at Kinsborough Community College,2001 Oriental Blvd,731,,45.0,48.0,
310,Bronx Workforce1 Center,400 EAST FORDHAM ROAD,5122,,78.0,15.0,
305,"Catholic Charities Community Services, Archdiocese of New York - HQ",1011 FIRST AVENUE,3268,,73.0,5.0,
718,Horizon Juvenile Center,560 Brook Ave,5622,,84.0,17.0,
492,Red Hook Houses Basketball League,,4740,,,,
372,Provider office,317 Lenox Ave.,5221,,70.0,9.0,
440,Queensbridge,10-30 41st Avenue,4917,,37.0,26.0,
804,PATH,151 East 151st St,6144,,77.0,8.0,
52,RICHMOND MEDICAL CENTER_Staten Island,690 CASTLETON AVENUE,3436,,61.0,49.0,
456,Bronx Family Court,900 Sheridan Ave,4520,,79.0,16.0,
432,Starhill,1600 Macombs Rd,5809,,77.0,14.0,
778,Staten Island Criminal Court,26 Central Avenue,4197,,61.0,49.0,
409,BronxConnect Findlay Street,1131 Findlay Avenue,5714,,77.0,16.0,
527,NYC,,6938,,,,
300,HPLP Renewal ManhattanNYLAG - HQ,7 HANOVER STREET,2096,,65.0,1.0,
373,Provider office,100 William St.,5224,,65.0,1.0,
531,Brooklyn,,4023,,,,
212,Manhattan,24 AVENUE D,6984,,74.0,2.0,
1307,"Bais Yaakov, Faigeh Schonberger, of Adas Yereim",1169 43 Street,6511,,44.0,39.0,
568,Bronx Youth Court,215 E 161 St.,7574,,79.0,16.0,
351,Manhattan,2090 Adam Clayton Powell Jr. Blvd.,5273,,70.0,9.0,
1304,Automotive High School,50 BEDFORD AVENUE,1818,,50.0,33.0,
1360,Bedford-Stuyvesant YMCA,1121 Bedford Avenue,10286,,57.0,36.0,
471,Castle Hill Houses Playstreets and VIBE,,4740,,,,
431,Manhattan office,"2090 Adam Clayton Powell, Jr. BLVD",9113,,70.0,9.0,
407,BronxConnect Courtlandt Street,816 Courtlandt Avenue,5714,,79.0,17.0,
386,Vernon C Bain Correctional Facility,1 Halleck St,7249,,85.0,17.0,
