school_name,val_attend_increase_mean,n_move_to_lre_pct_all,ethnicity_black_pct_boro,eni_pct,qr_1_2,survey_pp_ri,survey_pp_tr,teacher_ethnicity_hispanic,ethnicity_pacific_pct_boro,ell,principal_experience,qr_1_1,teacher_ethnicity_white_pct,qr_4_1,qr_5_1
P.S. Q255,0.003,401,0.17,0.847,Well Developed,0.61,0.93,0.147,0.007,0.413,2.1,Proficient,0.69,Proficient,Well Developed
P.S. M094,-0.013,379,0.228,0.871,Proficient,No Data,0.94,0.149,0.003,0.186,3.9,Well Developed,0.561,Well Developed,Proficient
P.S. K369 - Coy L. Cox School,-0.015,472,0.348,0.891,Proficient,0.71,0.88,0.115,0.005,0.164,2.4,Proficient,0.618,Developing,Developing
P.S. R373,0,503,0.131,0.862,Well Developed,0.69,0.89,0.076,0.003,0.136,5.1,Well Developed,0.834,No Data,No Data
P.S. 370,-0.009,222,0.348,0.883,Developing,0.87,0.94,No Data,0.005,0.304,14.1,Proficient,0.738,Proficient,Developing
P.S. 168,0,479,0.269,0.919,Well Developed,0.7,0.87,0.38,0.004,0.225,8.0,Well Developed,0.347,Well Developed,Proficient
P.S. K053,-0.001,412,0.348,0.924,Well Developed,0.93,0.93,0.095,0.005,0.28,9.7,Well Developed,0.726,Well Developed,Well Developed
The David Marquis School of the Arts,-0.002,331,0.131,0.833,Proficient,0.61,0.83,0.062,0.003,0.1,1.9,Well Developed,0.829,Proficient,Proficient
P.S. Q233,-0.01,463,0.17,0.859,Well Developed,0.78,0.95,0.064,0.007,0.244,16.9,Well Developed,0.712,No Data,No Data
P.S. M226,0.011,266,0.228,0.901,Proficient,0.65,0.92,0.125,0.003,0.18,3.9,Proficient,0.528,Proficient,Proficient
The Vida Bogart School for All Children,0.002,456,0.269,0.941,Proficient,0.73,0.86,0.284,0.004,0.166,14.1,Well Developed,0.373,Well Developed,Proficient
South Richmond High School I.S./P.S. 25,-0.023,435,0.131,0.886,Well Developed,0.76,0.92,0.071,0.003,0.053,0.9,Well Developed,0.814,No Data,No Data
Queens Transition Center,-0.033,292,0.17,0.899,Well Developed,0.71,0.88,0.145,0.007,0.247,9.7,Well Developed,0.41,Well Developed,Proficient
NYC Autism Charter School East Harlem,No Data,35,0.228,0.917,No Data,0.66,0.95,0,0.003,0.025,14.0,No Data,0.75,No Data,No Data
