year,dv_rape,comm_district,fam_hom_prior_dir_yes
2018,10,11,
2018,9,13,
2018,7,10,
2018,18,7,
2018,0,2,
2018,22,4,
2018,13,2,
2018,0,QNJIA,
2018,13,8,
2018,7,7,
2018,14,4,
2018,10,4,
2018,0,Unknown,
2018,11,10,
2018,7,6,
