source_relation,ad_id,ad_group_id,advertised_asin,advertised_sku,campaign_budget_amount,campaign_budget_currency_code,campaign_budget_type,campaign_id,clicks,cost,date_day,impressions,purchases_30_d,sales_30_d
"",77,421,DEF456,,2000,USD,DAILY_BUDGET,2187,25,42.5,2022-07-12,18500,,
"",77,421,DEF456,,2000,USD,DAILY_BUDGET,2187,28,47.6,2022-07-13,20100,,
"",77,421,DEF456,,2000,USD,DAILY_BUDGET,2187,8,13.6,2022-08-16,4200,,
"",77,421,DEF456,,2000,USD,DAILY_BUDGET,2187,7,11.9,2022-08-17,3800,,
"",77,421,DEF456,,2000,USD,DAILY_BUDGET,2187,5,8.5,2022-08-19,3200,,
"",77,421,DEF456,,2000,USD,DAILY_BUDGET,2187,9,15.3,2022-08-20,4500,,
"",77,421,DEF456,,2000,USD,DAILY_BUDGET,2187,11,18.7,2022-08-24,5100,,
"",88,421,GHI789,,2000,USD,DAILY_BUDGET,2187,18,30.6,2022-07-13,8200,,
"",88,421,GHI789,,2000,USD,DAILY_BUDGET,2187,15,25.5,2022-07-15,7100,,
"",88,421,GHI789,,2000,USD,DAILY_BUDGET,2187,12,20.4,2022-08-18,5800,,
"",88,421,GHI789,,2000,USD,DAILY_BUDGET,2187,14,23.8,2022-08-22,6500,,
"",89,422,JKL012,,2000,USD,DAILY_BUDGET,2187,10,17,2022-07-14,4800,,
"",89,422,JKL012,,2000,USD,DAILY_BUDGET,2187,13,22.1,2022-07-20,5600,,
"",90,422,MNO345,,2000,USD,DAILY_BUDGET,2187,11,18.7,2022-07-16,5100,,
"",90,422,MNO345,,2000,USD,DAILY_BUDGET,2187,14,23.8,2022-07-22,5900,,
"",91,423,PQR678,,2000,USD,DAILY_BUDGET,2187,12,20.4,2022-07-17,5300,,
"",91,423,PQR678,,2000,USD,DAILY_BUDGET,2187,15,25.5,2022-07-23,6200,,
"",92,423,STU901,,2000,USD,DAILY_BUDGET,2187,13,22.1,2022-07-19,5700,,
"",92,423,STU901,,2000,USD,DAILY_BUDGET,2187,16,27.2,2022-07-25,6600,,
"",8108,501,ABC123,,250,USD,DAILY_BUDGET,5555,14,23.8,2022-11-20,5100,,
"",8108,501,ABC123,,250,USD,DAILY_BUDGET,5555,17,28.9,2022-11-25,6200,,
"",8108,501,ABC123,,250,USD,DAILY_BUDGET,5555,15,25.5,2022-12-01,5600,,
"",8108,501,ABC123,,250,USD,DAILY_BUDGET,5555,19,32.3,2022-12-06,6800,,
"",8108,501,ABC123,,250,USD,DAILY_BUDGET,5555,18,30.6,2022-12-10,6500,,
"",8109,502,VWX234,,250,USD,DAILY_BUDGET,5555,13,22.1,2022-11-22,4900,,
"",8109,502,VWX234,,250,USD,DAILY_BUDGET,5555,16,27.2,2022-11-28,5700,,
"",8109,502,VWX234,,250,USD,DAILY_BUDGET,5555,14,23.8,2022-12-03,5300,,
"",8110,502,YZA567,,250,USD,DAILY_BUDGET,5555,12,20.4,2022-11-24,4700,,
"",8110,502,YZA567,,250,USD,DAILY_BUDGET,5555,15,25.5,2022-11-30,5500,,
"",8110,502,YZA567,,250,USD,DAILY_BUDGET,5555,13,22.1,2022-12-05,5100,,
"",8111,503,BCD890,,1500,USD,DAILY_BUDGET,2188,16,27.2,2022-07-22,6100,,
"",8111,503,BCD890,,1800,USD,DAILY_BUDGET,2188,19,32.3,2022-07-28,7200,,
"",8112,503,EFG123,,1500,USD,DAILY_BUDGET,2188,14,23.8,2022-07-24,5700,,
"",8112,503,EFG123,,1800,USD,DAILY_BUDGET,2188,17,28.9,2022-07-30,6800,,
"",8113,504,HIJ456,,1500,USD,DAILY_BUDGET,2188,13,22.1,2022-07-25,5400,,
"",8113,504,HIJ456,,1800,USD,DAILY_BUDGET,2188,16,27.2,2022-08-01,6500,,
"",8114,504,KLM789,,1500,USD,DAILY_BUDGET,2188,15,25.5,2022-07-27,5900,,
"",8114,504,KLM789,,1800,USD,DAILY_BUDGET,2188,18,30.6,2022-08-03,7000,,
