source_relation,ad_id,ad_group_id,asin,campaign_id,creation_date,last_updated_date,serving_status,sku,state,is_most_recent_record
"",77,421,DEF456,2187,2022-07-11 22:38:17.125000,2022-07-11 22:38:17.125000,CAMPAIGN_PAUSED,,enabled,t
"",88,421,GHI789,2187,2022-07-11 22:38:17.125000,2022-07-11 22:38:17.125000,CAMPAIGN_PAUSED,,enabled,t
"",89,422,JKL012,2187,2022-07-11 22:38:17.125000,2022-07-11 22:38:17.125000,AD_STATUS_LIVE,,enabled,t
"",90,422,MNO345,2187,2022-07-11 22:38:17.125000,2022-07-11 22:38:17.125000,AD_STATUS_LIVE,,enabled,t
"",91,423,PQR678,2187,2022-07-11 22:38:17.125000,2022-07-11 22:38:17.125000,AD_STATUS_LIVE,,enabled,t
"",92,423,STU901,2187,2022-07-11 22:38:17.125000,2022-07-11 22:38:17.125000,AD_STATUS_LIVE,,enabled,t
"",8108,501,ABC123,5555,2022-11-09 14:37:06.258000,2022-11-09 14:37:06.258000,AD_STATUS_LIVE,,enabled,t
"",8109,502,VWX234,5555,2022-11-09 14:37:06.258000,2022-11-09 14:37:06.258000,AD_STATUS_LIVE,,enabled,t
"",8110,502,YZA567,5555,2022-11-09 14:37:06.258000,2022-11-09 14:37:06.258000,AD_STATUS_LIVE,,enabled,t
"",8111,503,BCD890,2188,2022-07-15 10:20:00.000000,2022-07-15 10:20:00.000000,AD_STATUS_LIVE,,enabled,t
"",8112,503,EFG123,2188,2022-07-15 10:20:00.000000,2022-07-15 10:20:00.000000,AD_STATUS_LIVE,,enabled,t
"",8113,504,HIJ456,2188,2022-07-15 10:20:00.000000,2022-07-15 10:20:00.000000,AD_STATUS_LIVE,,enabled,t
"",8114,504,KLM789,2188,2022-07-15 10:20:00.000000,2022-07-15 10:20:00.000000,AD_STATUS_LIVE,,enabled,t
"",8115,505,NOP012,2189,2022-07-20 14:00:00.000000,2022-07-20 14:00:00.000000,AD_STATUS_LIVE,,enabled,t
"",8116,506,QRS345,2189,2022-07-20 14:00:00.000000,2022-07-20 14:00:00.000000,AD_STATUS_LIVE,,enabled,t
"",8117,507,TUV678,2190,2022-08-01 09:00:00.000000,2022-08-01 09:00:00.000000,AD_STATUS_LIVE,,enabled,t
"",8118,508,WXY901,2190,2022-08-01 09:00:00.000000,2022-08-01 09:00:00.000000,AD_STATUS_LIVE,,enabled,t
"",8119,509,ZAB234,2191,2022-08-05 11:00:00.000000,2022-08-05 11:00:00.000000,AD_STATUS_LIVE,,enabled,t
"",8120,510,CDE567,2191,2022-08-05 11:00:00.000000,2022-08-05 11:00:00.000000,AD_STATUS_LIVE,,enabled,t
"",8121,511,FGH890,2192,2022-08-10 13:00:00.000000,2022-08-10 13:00:00.000000,AD_STATUS_LIVE,,enabled,t
"",8122,512,IJK123,2192,2022-08-10 13:00:00.000000,2022-08-10 13:00:00.000000,AD_STATUS_LIVE,,enabled,t
"",8123,513,LMN456,2193,2022-08-12 15:00:00.000000,2022-08-12 15:00:00.000000,AD_STATUS_LIVE,,enabled,t
"",8124,514,OPQ789,2193,2022-08-12 15:00:00.000000,2022-08-12 15:00:00.000000,AD_STATUS_LIVE,,enabled,t
"",8125,515,RST012,2194,2022-08-15 10:00:00.000000,2022-08-15 10:00:00.000000,AD_STATUS_LIVE,,enabled,t
"",8126,516,UVW345,2194,2022-08-15 10:00:00.000000,2022-08-15 10:00:00.000000,AD_STATUS_LIVE,,enabled,t
"",8127,517,XYZ678,2195,2022-08-18 12:00:00.000000,2022-08-18 12:00:00.000000,AD_STATUS_LIVE,,enabled,t
"",8128,518,ABC901,2195,2022-08-18 12:00:00.000000,2022-08-18 12:00:00.000000,AD_STATUS_LIVE,,enabled,t
"",8129,519,DEF234,2196,2022-08-20 14:00:00.000000,2022-08-20 14:00:00.000000,AD_STATUS_LIVE,,enabled,t
"",8130,520,GHI567,2196,2022-08-20 14:00:00.000000,2022-08-20 14:00:00.000000,AD_STATUS_LIVE,,enabled,t
"",8131,521,JKL890,2197,2022-08-22 16:00:00.000000,2022-08-22 16:00:00.000000,AD_STATUS_LIVE,,enabled,t
"",8132,522,MNO123,2197,2022-08-22 16:00:00.000000,2022-08-22 16:00:00.000000,AD_STATUS_LIVE,,enabled,t
"",8133,523,PQR456,2198,2022-08-25 11:00:00.000000,2022-08-25 11:00:00.000000,AD_STATUS_LIVE,,enabled,t
"",8134,524,STU789,2198,2022-08-25 11:00:00.000000,2022-08-25 11:00:00.000000,AD_STATUS_LIVE,,enabled,t
