_fivetran_id,_fivetran_synced,followers_count,follows_count,user_id,ig_id,media_count,account_name,username,website,source_relation,is_most_recent_record
8dYFxostPtnFBrnZbq/hrK0ZDOA=,2021-10-27 14:22:01.177,39,22,17841439536867616,39500933895,5,Fivetran Developers,fivetrandevelopers,,"",t
9eYGyptpQuoGCsoCr/isSL1ZEPA=,2021-10-27 15:22:01.177,150,45,17841439536867617,39500933896,10,Tech Innovators,techinnovators,https://techinnovators.com,"",t
aFzHzqupRvoHDtpDs/jtTM2ZFQB=,2021-10-27 16:22:01.177,320,89,17841439536867618,39500933897,25,Digital Marketing Pro,digitalmarketpro,https://digitalmarket.io,"",t
bGaIarqvSxpIEurEt/kuUN3aGRC=,2021-10-27 17:22:01.177,580,112,17841439536867619,39500933898,45,Creative Studio,creativestudio,https://creativestudio.net,"",t
cHbJbsrwTypJFvsfu/lvVo4bHSD=,2021-10-27 18:22:01.177,1250,234,17841439536867620,39500933899,78,Brand Agency,brandagency,https://brandagency.com,"",t
dIcKctsTuzqKGwtgv/mwWp5cITE=,2021-10-27 19:22:01.177,2100,456,17841439536867621,39500933900,120,Social Media Expert,socialmediaexpert,https://smexpert.org,"",t
eJdLdutuVarLHxuhw/nxXq6dJUF=,2021-10-27 20:22:01.177,850,178,17841439536867622,39500933901,55,Content Creator Hub,contentcreatorhub,,"",t
fKeMevuvWbsMIyviy/oyYr7eKVG=,2021-10-27 21:22:01.177,450,95,17841439536867623,39500933902,38,Visual Stories,visualstories,https://visualstories.io,"",t
gLfNfwvwXctNJzwjz/pzZs8fLWH=,2021-10-27 22:22:01.177,620,145,17841439536867624,39500933903,42,Marketing Gurus,marketinggurus,https://marketinggurus.com,"",t
hMgOgxwxYduOKaxka/qaAt9gMXI=,2021-10-27 23:22:01.177,980,203,17841439536867625,39500933904,65,Business Growth,businessgrowth,https://businessgrowth.net,"",t
