grade_09_1,grade_08_1,white,sth_not_shelter,missing_race_ethnicity
S,,T,T,S
,S,S,S,
S,,12,S,S
,,103,S,
,,8,S,
,,S,41,
S,,22,21,S
,S,S,22,
,,S,15,
,,T,65,S
,S,S,10,
,S,S,12,S
,,15,,
,,21,33,S
S,,S,S,
,,S,S,S
S,,S,17,S
S,,6,10,S
,,S,S,
,,105,S,
,S,18,S,
,S,S,11,
,,S,26,
S,S,S,11,S
S,,S,11,S
,,31,T,
,S,9,15,
,S,10,S,S
S,,S,S,S
,S,138,9,S
,,S,T,
,,S,S,
,S,53,12,
,,145,S,
S,,S,8,S
,S,S,14,
,,S,S,
S,,7,S,S
,,S,39,S
,,87,S,
,S,S,19,
,,S,33,
,,35,28,
,,7,17,
,,S,54,
S,,8,7,S
S,,S,10,S
,,249,S,T
,,82,12,S
S,,S,9,S
,S,S,17,
S,,S,S,
,,11,36,
,,S,37,
,,18,48,S
,S,S,8,
,,23,12,
S,S,S,10,
,,12,62,S
,,S,20,S
,S,S,13,
,,8,23,
,S,,12,
S,,S,6,
,,12,8,S
,,S,6,S
S,,9,19,S
,,7,40,
,,34,T,
,S,S,11,
S,S,S,10,S
,S,13,18,
,,S,11,
,S,S,39,
S,,T,S,S
S,,S,11,S
,,S,31,
S,,,T,
,S,S,9,S
,S,S,S,
,,68,T,S
S,,S,10,S
,,S,28,S
,,S,S,
,S,11,53,S
S,,S,6,S
,,S,S,
,,48,T,
,S,T,112,S
,,123,S,
,S,50,8,
,S,67,11,S
S,S,131,S,S
,,S,17,S
S,,S,S,
S,,18,S,
S,,S,T,
,,S,21,
,,S,S,S
,,S,10,S
,,S,37,
S,,124,S,27
,,S,S,
S,S,S,15,
,,S,S,
S,,T,20,T
,,S,15,
,S,S,T,
,S,S,17,
,,200,S,S
S,S,T,35,
,S,S,S,
S,,,162,
,S,99,S,
,,T,20,
S,S,127,53,S
,,S,8,S
S,,,S,
,,102,S,S
S,,S,6,S
,S,122,S,S
,S,S,17,S
,,39,S,S
,,65,52,
,,S,S,
,S,S,16,S
,,119,S,S
,S,T,T,
,,S,S,
,,S,9,
S,,T,T,
,,105,S,
S,,S,S,
,,S,28,
,,8,72,
,S,S,39,
,,13,S,
,,11,59,
,S,54,53,
,,14,T,
S,S,23,45,S
,S,S,6,S
,,S,16,
,,S,10,
S,,T,T,
,,S,T,
,,129,74,
,,9,S,
,S,174,20,S
,S,6,18,
S,,8,8,S
,,S,8,S
,,205,S,S
S,,103,S,S
,S,S,19,
,S,S,23,
,,S,9,S
,S,12,15,S
,,S,7,S
S,,49,48,16
S,,12,T,
S,,S,S,
,S,T,61,
S,S,200,S,S
,S,13,55,
S,,S,S,
S,,130,19,S
,S,98,S,S
S,,S,S,S
,,48,16,
,,S,15,
S,S,89,S,8
,,S,42,S
S,,S,S,S
S,,,11,
S,,S,S,
,S,,17,
,S,S,19,
,S,S,S,
S,,7,7,S
,,S,45,
,S,S,S,
,,255,S,
,S,13,51,S
,,61,13,S
,,S,S,
