iep_1,white_1,black_or_african_american,grade_01,grade_12,grade_12_1,hispanic_of_any_race
S,S,66,,60,S,165
S,S,S,21,,,98
S,S,56,,27,S,74
S,S,T,50,,,43
S,S,7,29,,,94
S,S,64,44,,,161
S,S,50,,85,S,141
S,S,36,,,,228
S,S,111,T,,,33
S,S,S,151,,,205
S,S,60,,,,199
S,S,S,,,,132
S,S,S,172,,,40
S,S,S,42,,,232
S,S,9,,S,S,21
S,S,S,16,,,84
S,S,31,,46,S,127
S,S,51,,25,S,116
S,S,59,T,,,S
S,S,S,59,,,68
S,S,17,,,,46
S,S,113,,,,60
S,S,49,30,,,184
S,S,146,,30,S,72
S,S,6,,S,S,58
S,S,81,T,,,20
S,S,29,,,,97
S,S,55,,,,17
S,S,9,,S,S,28
S,S,28,104,,,198
S,S,26,82,,,382
S,S,16,8,,,S
S,S,S,,,,68
S,S,34,57,,,64
S,S,22,,S,S,41
S,S,74,16,,,53
S,S,102,25,,,9
S,S,39,,28,S,70
S,S,S,55,,,247
S,S,11,32,,,20
S,S,169,,,,18
S,S,30,T,,,146
S,S,54,49,,,152
S,S,120,32,,,53
S,S,43,59,,,289
S,S,26,,S,S,41
S,S,55,,22,S,104
S,S,T,96,,,57
S,S,S,44,,,90
S,S,77,,12,S,19
S,S,S,66,,,125
S,S,23,T,,,662
S,S,S,31,,,38
S,S,13,T,16,S,24
S,S,38,T,,,131
S,S,70,,,,19
S,S,75,,27,S,40
S,S,23,60,,,68
S,S,87,,124,S,181
S,S,34,,10,S,35
S,S,23,15,,,62
S,S,176,,48,S,58
S,S,S,51,,,34
S,S,69,35,,,124
S,S,144,53,,,49
S,S,S,,,,97
S,S,38,49,,,139
S,S,19,,50,S,43
S,S,75,,,,T
S,S,32,,17,S,94
S,S,41,17,,,21
S,S,41,,,,154
S,S,15,,,,114
S,S,70,T,,,59
S,S,246,,,,25
S,S,15,,,,154
S,S,8,T,,,199
S,S,17,,20,S,34
S,S,S,,,,20
S,S,31,39,,,110
S,S,21,,,,69
S,S,T,64,,,31
S,S,30,23,,,54
S,S,53,,19,S,200
S,S,123,25,,,7
S,S,30,,6,S,S
S,S,62,,,,38
S,S,29,30,,,125
S,S,95,T,,,250
S,,21,,S,S,11
S,S,18,,S,S,17
S,S,93,T,,,25
S,S,10,32,,,48
S,S,9,,35,S,144
S,S,27,41,,,140
S,S,18,,16,S,27
S,S,46,55,,,243
S,S,59,14,,,20
S,S,33,,11,S,17
S,S,103,103,,,371
S,S,71,,S,S,30
S,S,S,131,,,156
S,S,94,20,,,33
S,S,48,,,,27
S,S,119,64,,,61
S,S,11,,,,39
S,S,S,46,,,29
S,S,37,,28,S,98
S,S,S,,6,S,85
S,S,17,T,,,59
S,S,47,11,,,52
S,S,16,,29,S,95
S,S,34,89,,,310
S,S,25,,,,18
S,S,55,23,,,34
S,S,73,,,,20
S,S,228,,22,S,42
S,S,S,,51,S,190
S,S,9,60,,,38
S,S,S,67,,,118
S,S,10,,,,57
S,S,67,,11,S,8
S,S,86,,,,60
S,S,31,,,,19
S,S,65,,57,S,401
S,S,40,,22,S,135
S,S,12,,,,14
S,S,17,,18,S,36
S,S,24,52,,,206
S,S,29,,10,S,68
S,S,57,17,,,70
S,S,31,,S,S,19
S,S,34,,121,S,403
S,S,17,,,,20
S,S,39,65,,,343
S,S,T,60,,,10
S,S,84,,,,308
S,S,27,,30,S,79
S,S,S,T,,,6
S,S,32,T,,,18
S,S,44,20,,,193
S,S,75,,49,S,78
S,S,58,24,,,49
S,S,73,,16,S,7
S,S,104,,51,S,109
S,S,48,,T,S,55
S,S,17,T,,,93
S,S,301,40,,,145
S,S,15,,,,50
S,S,59,,28,S,117
S,S,S,,,,141
S,S,66,,12,S,71
S,S,37,,21,S,50
S,S,33,,23,S,111
S,S,S,,,,139
S,S,T,,T,S,262
S,S,33,,48,S,75
S,S,10,,,,15
S,S,53,34,,,185
S,S,75,,39,S,109
S,S,43,,,,241
S,S,36,,9,S,16
S,S,35,28,,,100
S,S,16,,,,47
S,S,S,,S,S,16
S,S,35,T,,,67
S,S,23,15,,,35
S,S,87,,,,84
S,S,29,10,,,68
S,S,22,,S,S,14
S,S,33,,18,S,103
S,S,117,34,,,31
S,S,34,,25,S,132
S,S,9,,14,S,39
S,S,54,,12,S,15
S,S,38,,S,S,104
S,S,48,,,,190
S,S,42,,14,S,116
S,S,49,,,,17
S,S,21,,50,S,84
S,S,S,,13,S,114
S,S,S,59,,,110
S,S,28,,,,195
S,S,37,,52,S,119
S,S,14,37,,,77
S,S,27,,17,S,47
