shelter,grade_02,grade_05,grade_02_1,grade_09,asian_or_pacific_islander_1,hispanic_of_any_race_1
S,,,,61,,S
S,T,12,S,,,S
S,,,,40,S,S
S,41,49,S,,S,S
S,15,27,S,,S,S
11,40,T,S,,S,S
S,,,,82,S,S
7,,,,,S,S
11,36,29,S,,S,S
S,132,146,S,,S,S
T,,,,,S,S
S,,,,,,S
,186,183,S,,S,S
,80,95,S,,S,S
S,,,,S,S,S
24,27,T,S,,,S
S,,,,58,S,S
S,,,,92,S,S
S,11,27,S,,S,S
S,70,67,S,,S,S
S,,,,,,S
S,,,,,S,S
6,52,70,S,,S,S
7,,,,32,S,S
S,,,,27,S,S
S,28,T,S,,S,S
S,,,,,S,S
S,,,,,S,S
S,,,,15,S,S
S,92,64,S,,S,S
S,76,94,S,,S,S
S,S,14,S,,,S
S,,,,,,S
S,71,77,S,,S,S
S,,,,30,S,S
8,T,14,S,,S,S
7,26,28,S,,S,S
S,,,,33,S,S
T,43,54,S,,S,S
S,43,34,S,,,S
S,,,,,S,S
S,T,30,S,,,S
7,62,64,S,,S,S
S,42,37,S,,S,S
24,57,85,S,,S,S
S,,,,46,S,S
S,,,,62,S,S
S,T,79,S,,S,S
S,37,67,S,,S,S
S,,,,37,S,S
S,16,12,S,,S,S
S,21,22,S,,S,S
S,92,92,S,,S,S
T,,,,,S,S
,125,143,S,,S,S
13,47,63,S,,S,S
11,,43,,,S,S
10,41,58,S,,S,S
S,,,,34,S,S
6,,,,21,S,S
S,,,,20,S,S
,39,53,S,,S,S
S,,,,T,S,S
S,,,,216,S,S
S,,,,,S,S
S,45,36,S,,S,S
,56,62,S,,S,S
S,46,43,S,,S,S
S,T,27,S,,S,S
S,,,,,S,S
22,76,85,S,,S,S
S,,,,18,S,S
S,9,16,S,,S,S
11,21,34,S,,S,S
S,,,,,S,S
S,S,10,S,,S,S
S,,,,,S,S
S,,,,25,S,S
14,,,,,S,S
S,42,37,S,,S,S
T,,,,66,S,S
S,,,,65,S,S
T,,,,,,S
,54,48,S,,S,S
S,24,27,S,,S,S
,88,112,S,,S,S
S,21,13,S,,S,S
14,19,24,S,,S,S
S,,,,,S,S
,,,,,S,S
S,,,,11,S,S
S,135,137,S,,S,S
13,10,31,S,,S,S
20,T,T,S,,S,S
S,,,,,,S
T,33,26,S,,S,S
S,42,39,S,,S,S
T,,,,,S,S
S,53,72,S,,S,S
S,57,T,S,,S,S
6,,,,,S,S
T,66,62,S,,S,S
16,41,46,S,,S,S
,133,95,S,,S,S
S,,,,,S,S
S,23,34,S,,,S
S,111,114,S,,S,S
S,,,,56,S,S
S,,,,46,S,S
14,30,21,S,,S,S
18,37,54,S,,S,S
S,,,,77,,S
S,,,,,S,S
S,62,84,S,,S,S
T,T,T,S,,S,S
S,,,,27,S,S
S,62,56,S,,S,S
S,41,9,S,,,S
S,,,,57,S,S
S,,,,12,S,S
S,105,102,S,,S,S
S,,,,116,S,S
9,25,20,S,,S,S
S,,,,48,S,S
S,37,46,S,,S,S
T,58,81,S,,S,S
S,119,145,S,,S,S
S,55,39,S,,,S
S,,,,21,S,S
S,S,10,S,,S,S
21,57,66,S,,S,S
S,68,87,S,,S,S
T,,,,,S,S
6,,,,50,S,S
T,19,21,S,,S,S
S,,,,231,S,S
S,,,,,,S
S,,,,22,,S
S,T,T,S,,S,S
T,,,,55,S,S
S,,,,95,S,S
,89,89,S,,S,S
S,,,,,S,S
S,,,,,S,S
13,,,,,S,S
S,,,,S,S,S
S,,,,46,S,S
T,42,44,S,,S,S
S,,,,198,S,S
6,,,,56,S,S
S,43,59,S,,S,S
15,,,,,S,S
S,T,,S,,,S
S,,,,104,S,S
S,,,,83,S,S
T,55,33,S,,S,S
11,,,,40,S,S
S,,,,,S,S
S,,,,43,S,S
30,108,151,S,,S,S
,43,29,S,,S,S
S,,,,17,S,S
S,,,,47,S,S
S,,,,,S,S
S,,,,,S,S
S,,,,25,S,S
S,57,67,S,,S,S
S,T,T,S,,S,S
S,,,,33,S,S
22,9,9,S,,S,S
8,,,,50,S,S
S,69,65,S,,,S
S,20,T,S,,S,S
S,83,95,S,,S,S
18,,,,,S,S
S,188,178,S,,S,S
S,53,60,S,,S,S
29,22,66,S,,S,S
S,21,18,S,,S,S
S,18,20,S,,S,S
S,,,,40,S,S
S,,,,149,S,S
S,29,29,S,,S,S
,,,,,S,S
S,19,S,S,,S,S
S,,,,44,S,S
