address_1,alert_meter_has_gaps,energy_star_certification_5,district_chilled_water_use,other_weekly_operating_hours,residence_hall_dormitory,green_power_onsite_kwh,avoided_emissions_offsite,multifamily_housing_gross,retail_store_percent_that,laboratory_gross_floor_area,generation_date,multifamily_housing_number_1,retail_store_walk_in,convenience_store_without,college_university_number,green_power_offsite_kwh,national_median_total_ghg,fuel_oil_no_5_and_no_6_cost,estimated_data_flag_district,fuel_oil_no_4_cost,hotel_gross_floor_area_ft,financial_office_gross_floor,financial_office_weekly,enclosed_mall_gross_floor,electricity_use_generated,office_computer_density_number,municipally_supplied_potable_2,postcode,diesel_2_use_kbtu,propane_use_kbtu,egrid_output_emissions_rate,museum_gross_floor_area_ft,percent_of_total_electricity,energy_cost_intensity_ft,source_eui_kbtu_ft,latitude,indirect_ghg_emissions_metric,other_number_of_computers,water_use_all_water_sources,site_eui_kbtu_ft,medical_office_weekly,parking_gross_floor_area,retail_store_number_of_open,district_hot_water_use_kbtu,veterinary_office_gross_floor,hospital_general_medical_10,date_property_last_modified,multifamily_housing_number_2,alert_gross_floor_area_is,weather_normalized_source_1,energy_star_certification_4,city,office_number_of_computers,number_of_buildings,percent_of_recs_retained,national_median_source_energy,adult_education_gross_floor,refrigerated_warehouse_gross,hotel_gym_fitness_center,weather_normalized_site_2
300 Riverside Drive,Ok,No,Not Available,Not Available,Not Available,Not Available,0,204525,Not Available,Not Available,2015-07-31T14:52:20.000,57,Not Available,Not Available,Not Available,0,1038.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10025,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,78.4,40.799781,157.3,Not Available,Not Available,56.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,18,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,24968208,Not Available,Not Available,Not Available,95978.3
30 Vesey Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,100,Not Available,2015-05-01T17:06:00.000,Not Available,0,Not Available,Not Available,0,946.8,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2,592.3,10007,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,49164.4,40.711977,208644.5,Not Available,592.3,40798.6,Not Available,Not Available,0,Not Available,Not Available,Not Available,09/03/2014 11:19 PM EDT,Not Available,Ok,3445055718,Not Available,New York,144,1,Not Available,17177929.5,Not Available,Not Available,Not Available,Not Available
1010 Sherman Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,Not Available,80000,Not Available,Not Available,2015-05-01T17:22:03.000,0,Not Available,Not Available,Not Available,Not Available,309.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10456,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Not Available,40.829613,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,03/03/2015 03:46 PM EST,10,Ok,Not Available,Not Available,Bronx,Not Available,1,Not Available,10234415.1,Not Available,Not Available,Not Available,Not Available
61-32 224 ST,Ok,No,Not Available,Not Available,Not Available,Not Available,Not Available,12150,Not Available,Not Available,2015-04-30T11:04:42.000,Not Available,Not Available,Not Available,Not Available,Not Available,47,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11364,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,Not Available,40.749026,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/29/2015 12:49 PM EDT,Not Available,Ok,Not Available,Not Available,Oakland Gardens,Not Available,1,Not Available,1554351.8,Not Available,Not Available,Not Available,11247.9
1265-1269 Olmstead Ave,Ok,No,Not Available,Not Available,Not Available,Not Available,0,92628,Not Available,Not Available,2015-05-18T14:10:51.000,5,Not Available,Not Available,Not Available,0,530.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6778.6,10462,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,121.7,40.833162,92.5,Not Available,6778.6,91.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,0,Ok,11025625,Not Available,Bronx,Not Available,1,Not Available,12315884.7,Not Available,Not Available,Not Available,71474.2
130 East 75th Street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,133557,100,Not Available,2015-07-31T14:52:34.000,92,0,Not Available,Not Available,0,740.7,73902.32,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10021,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,79.7,40.772627,201.7,Not Available,Not Available,42.3,65,Not Available,0,Not Available,Not Available,Not Available,05/01/2015 10:28 PM EDT,8,Ok,Not Available,Not Available,New York,Not Available,1,Not Available,17945791,Not Available,Not Available,Not Available,1913.6
192-24 64 Circle,Ok,No,Not Available,Not Available,Not Available,Not Available,0,42000,Not Available,Not Available,2015-04-24T12:08:26.000,Not Available,Not Available,Not Available,Not Available,0,201.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11365,Not Available,Not Available,82.9,Not Available,Not Available,1.51,204.9,40.739053,80,Not Available,Not Available,149.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:41 PM EDT,Not Available,Ok,8615220.4,Not Available,Fresh Meadows,Not Available,1,Not Available,4793022.4,Not Available,Not Available,Not Available,53088.3
84 Fifth Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,100,Not Available,2015-04-30T12:38:27.000,Not Available,0,Not Available,Not Available,0,1011.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1.37831,Not Available,10011,Not Available,Not Available,82.9,Not Available,Not Available,1.51,109,40.736112,235.1,Not Available,Not Available,58.9,Not Available,Not Available,0,Not Available,Not Available,Not Available,04/15/2015 04:45 PM EDT,Not Available,Ok,13195987.9,Not Available,New York,160,1,Not Available,28989224.6,Not Available,Not Available,Not Available,40905.4
47-59 Vandam street,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-28T15:24:12.000,Not Available,Not Available,Not Available,Not Available,0,280.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,306.5,10013,Not Available,Not Available,82.9,Not Available,Not Available,1.15,80.5,40.726475,268.6,Not Available,306.5,40.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:20 PM EDT,Not Available,Ok,13430201.3,Not Available,New York,Not Available,1,Not Available,8427811.5,Not Available,Not Available,Not Available,31825.5
733  Third  Avenue,Ok,No,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,2015-04-30T10:24:53.000,Not Available,Not Available,Not Available,Not Available,0,3715.3,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.41284,Not Available,10017,Not Available,Not Available,82.9,Not Available,Not Available,Not Available,220.7,40.753074,2731.4,Not Available,Not Available,100.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,09/03/2014 11:15 PM EDT,Not Available,Ok,77965782,Not Available,Manhattan,1600,1,Not Available,108844204.5,Not Available,Not Available,Not Available,Not Available
189-02 64 Ave,Ok,No,Not Available,Not Available,Not Available,Not Available,0,20000,Not Available,Not Available,2015-04-24T12:08:26.000,Not Available,Not Available,Not Available,Not Available,0,350.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11365,Not Available,Not Available,82.9,Not Available,Not Available,13.91,2022.9,40.739623,376.4,Not Available,Not Available,1474.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,04/15/2015 04:41 PM EDT,Not Available,Ok,40442111.4,Not Available,Fresh Meadows,Not Available,1,Not Available,8340017.9,Not Available,Not Available,Not Available,249607.2
