staten_island_condominium_property_market_value_per_sqft,comparable_rental_1_address,comparable_rental_2_full_market_value,staten_island_condominium_property_gross_sqft,staten_island_condominium_property_building_classification,census_tract,staten_island_condominium_property_boro_block_lot,comparable_rental_1_total_units,staten_island_condominium_property_year_built,comparable_rental_1_gross_income_per_sqft,comparable_rental_2_total_units,staten_island_condominium_property_neighborhood,longitude,comparable_rental_2_address,comparable_rental_2_boro_block_lot,comparable_rental_1_building_classification,staten_island_condominium_property_condo_section
32.5,150 PARKINSON AVENUE,4010000.0,166712,R4-ELEVATOR,11402,5-03585-7501,422,0,10.75,177.0,GRANT CITY,-74.107779,1950 CLOVE ROAD,5-03157-0001,D1-ELEVATOR,110-R1
51.0,610 VICTORY BOULEVARD,2510000.0,72970,R4-ELEVATOR,47,5-00631-7501,72,1987,12.77,61.0,GRYMES HILL,-74.093567,650 VICTORY BOULEVARD,5-00589-0035,D1-ELEVATOR,94-R1
40.2,121 FREEDOM AVENUE,,47880,R4-ELEVATOR,27702,5-02452-7503,56,0,13.73,,NEW SPRINGVILLE,-74.158746,,,C9-WALK-UP,122-R2
32.5,1000 TARGEE STREET,,65392,R4-ELEVATOR,47,5-00610-7501,98,1981,13.62,,SUNNYSIDE,-74.098392,,,D5-ELEVATOR,25-R1
37.3,121 FREEDOM AVENUE,,35212,R4-ELEVATOR,27702,5-02451-7501,56,1989,13.73,,NEW SPRINGVILLE,-74.156045,,,C9-WALK-UP,113-R3
27.1,55 BOWEN STREET,,176455,R4-ELEVATOR,27702,5-02450-7509,156,0,15.42,,NEW SPRINGVILLE,-74.162923,,,D1-ELEVATOR,4-R1
38.0,20 MERLE PLACE,3150000.0,38700,R2-WALK-UP,2001,5-03019-7501,64,0,14.56,98.0,ROSEBANK,-74.071714,1000 TARGEE STREET,5-03168-0161,D1-ELEVATOR,117-R1
