y_sp,inf_outlet,spc_common,tree_loc,inf_wires,tree_dbh,inf_paving,horz_plant,sidw_crack,the_geom
165063,No,LONDON PLANETREE,Across,No,13,No,Yes,No,"{'type': 'Point', 'coordinates': [-73.90100310651246, 40.619693599593674]}"
227049,No,"MAPLE, RED",Front,No,11,No,No,No,"{'type': 'Point', 'coordinates': [-73.9722289471261, 40.789869797681646]}"
229277,No,"ZELKOVA, JAPANESE",Assigned,No,6,No,No,No,"{'type': 'Point', 'coordinates': [-73.93247656540854, 40.79596862428954]}"
229369,No,HONEYLOCUST,Front,No,8,No,No,No,"{'type': 'Point', 'coordinates': [-73.93190205472257, 40.79622080090886]}"
226468,No,"OAK, NORTHERN RED",Front,No,5,No,No,No,"{'type': 'Point', 'coordinates': [-73.9684630962183, 40.78827413915099]}"
225626,No,GINKGO,Front,No,3,No,No,No,"{'type': 'Point', 'coordinates': [-73.94273504872382, 40.785953162211776]}"
227802,No,"OAK, PIN",Rear,No,9,No,No,No,"{'type': 'Point', 'coordinates': [-73.93837091481961, 40.79192344943906]}"
201219,No,HONEYLOCUST,Front,No,4,No,No,No,"{'type': 'Point', 'coordinates': [-73.98468985980357, 40.718975342213625]}"
201409,No,"OAK, PIN",Front,No,5,No,No,Yes,"{'type': 'Point', 'coordinates': [-73.986461025941, 40.7194970691711]}"
217632,No,HONEYLOCUST,Front,No,9,Yes,No,No,"{'type': 'Point', 'coordinates': [-73.99409778260888, 40.76402580677926]}"
229097,No,GINKGO,Side,Yes,12,No,No,No,"{'type': 'Point', 'coordinates': [-73.93417452959999, 40.79547555433382]}"
227250,No,"MAPLE, RED",Front,No,5,No,No,No,"{'type': 'Point', 'coordinates': [-73.93950628086931, 40.79040895862298]}"
226574,No,"LINDEN, LITTLE LEAF",Front,No,6,No,No,No,"{'type': 'Point', 'coordinates': [-73.97438179597543, 40.78856654865887]}"
229230,No,HONEYLOCUST,Front,Yes,9,No,No,No,"{'type': 'Point', 'coordinates': [-73.93504457407143, 40.79584109712403]}"
199848,No,HONEYLOCUST,Side,No,8,No,No,No,"{'type': 'Point', 'coordinates': [-74.01122944764272, 40.71521274662706]}"
228733,No,"ELM, AMERICAN",Side,No,6,No,No,No,"{'type': 'Point', 'coordinates': [-73.93356516233823, 40.79447612323213]}"
227507,No,GINKGO,Rear,No,3,No,No,Yes,"{'type': 'Point', 'coordinates': [-73.93896393178886, 40.79111406909616]}"
233658,No,"MAPLE, RED",Front,No,3,No,No,Yes,"{'type': 'Point', 'coordinates': [-73.95463668233194, 40.80800412164169]}"
226944,No,"POPLAR, OTHER",Front,No,6,No,No,No,"{'type': 'Point', 'coordinates': [-73.96766076703483, 40.78958040928639]}"
196398,No,HONEYLOCUST,Rear,No,3,No,No,No,"{'type': 'Point', 'coordinates': [-74.01338109023308, 40.705743085631944]}"
242787,No,"MAPLE, RED",Front,No,13,No,No,No,"{'type': 'Point', 'coordinates': [-73.94652499225111, 40.83305717826069]}"
226944,No,"POPLAR, OTHER",Front,No,9,No,No,No,"{'type': 'Point', 'coordinates': [-73.96766076703483, 40.78958040928639]}"
225626,No,HONEYLOCUST,Front,No,2,No,No,Yes,"{'type': 'Point', 'coordinates': [-73.94273504872382, 40.785953162211776]}"
226770,No,"POPLAR, OTHER",Front,No,9,No,No,Yes,"{'type': 'Point', 'coordinates': [-73.96851687264363, 40.78910306305915]}"
223985,No,HONEYLOCUST,Front,No,9,No,Yes,No,"{'type': 'Point', 'coordinates': [-73.98325281212725, 40.78146206407172]}"
225971,No,"LINDEN, LITTLE LEAF",Front,No,4,No,No,Yes,"{'type': 'Point', 'coordinates': [-73.973161860942, 40.786911197135865]}"
231728,No,LONDON PLANETREE,Across,No,18,No,No,No,"{'type': 'Point', 'coordinates': [-73.95851237441296, 40.80270826224405]}"
201399,No,Unknown Dead,Side/Across,No,2,No,No,No,"{'type': 'Point', 'coordinates': [-73.98637445155772, 40.71946961141922]}"
229331,No,"LINDEN, LITTLE LEAF",Front,No,4,No,No,No,"{'type': 'Point', 'coordinates': [-73.93236806554874, 40.796116775773456]}"
232112,No,"PEAR, CALLERY",Across,No,6,No,No,Yes,"{'type': 'Point', 'coordinates': [-73.95783987197481, 40.80376199357067]}"
223895,No,HONEYLOCUST,Front,No,6,No,Yes,No,"{'type': 'Point', 'coordinates': [-73.98343341643309, 40.781215064522804]}"
