zip_city,horz_other,inf_shoes,st_assem,inf_other,wire_prime
Brooklyn,No,No,59,No,No
New York,No,No,69,No,No
New York,No,No,68,Yes,No
New York,No,No,68,No,No
New York,No,No,69,No,No
New York,No,No,68,No,No
New York,No,No,68,No,No
New York,No,No,65,Yes,No
New York,No,No,65,No,No
New York,No,No,67,No,No
New York,No,No,68,No,No
New York,No,No,68,No,No
New York,No,No,67,No,No
New York,No,No,68,No,No
New York,No,No,66,No,No
New York,No,No,68,No,No
New York,No,No,68,No,No
New York,No,No,70,No,No
New York,No,No,69,No,No
New York,No,No,65,No,No
New York,No,No,71,No,No
New York,No,No,69,No,No
New York,No,No,68,No,No
New York,No,No,69,No,No
New York,No,No,67,No,No
New York,No,No,69,No,No
New York,No,No,70,No,No
New York,No,No,65,No,No
New York,No,No,68,No,No
New York,No,No,70,No,No
New York,No,No,67,No,No
New York,No,No,68,No,No
New York,No,No,71,No,No
New York,No,No,69,No,No
New York,No,No,69,No,No
New York,No,No,66,No,No
New York,No,No,66,No,No
New York,No,No,68,No,No
New York,No,No,69,No,No
New York,No,No,69,No,No
New York,No,No,66,No,No
New York,No,No,66,No,No
New York,No,No,67,No,No
New York,No,No,67,No,No
New York,No,No,69,No,No
New York,No,No,69,No,No
New York,No,No,66,No,No
New York,No,No,67,No,No
New York,No,No,70,No,No
New York,No,No,65,No,No
New York,No,No,68,No,No
New York,No,No,65,No,No
New York,No,No,66,No,No
New York,No,No,66,No,No
New York,No,No,68,No,No
New York,No,No,69,No,No
New York,No,No,69,No,No
New York,No,No,69,No,No
New York,No,No,68,No,No
New York,No,No,65,No,No
New York,No,No,69,No,No
New York,No,No,68,No,No
New York,No,No,69,No,No
New York,No,No,66,No,No
New York,No,No,68,No,No
New York,No,No,68,Yes,No
New York,No,No,66,No,No
New York,No,No,66,No,No
New York,No,No,68,No,No
New York,No,No,68,No,No
New York,No,No,69,No,No
New York,No,No,66,No,No
New York,No,No,71,No,No
New York,No,No,66,No,No
New York,Yes,No,71,No,No
New York,No,No,74,No,No
New York,No,No,68,Yes,No
New York,No,No,71,No,No
New York,No,No,66,No,No
New York,No,No,68,No,No
New York,No,No,68,No,No
New York,No,No,68,No,No
New York,No,No,69,No,No
New York,No,No,69,No,No
New York,No,No,68,No,No
New York,No,No,68,No,No
New York,No,No,68,No,No
New York,No,No,66,No,No
New York,No,No,68,No,No
New York,No,No,72,No,No
New York,No,No,68,No,No
New York,No,No,66,No,No
Brooklyn,No,No,48,No,Yes
New York,No,No,68,No,No
New York,No,No,67,No,No
New York,No,No,68,No,No
New York,No,No,69,No,No
New York,Yes,No,66,No,No
New York,No,No,67,No,No
New York,No,No,68,No,No
New York,No,No,68,No,No
New York,No,No,76,No,No
New York,No,No,68,No,No
New York,No,No,68,No,No
New York,No,No,66,No,No
New York,Yes,No,66,No,No
New York,No,No,69,No,No
New York,No,No,67,Yes,No
New York,No,No,70,No,No
New York,No,No,66,No,No
New York,No,No,67,No,No
New York,No,No,68,No,No
New York,No,No,68,No,No
New York,No,No,68,No,No
New York,No,No,68,No,No
New York,No,No,69,No,No
New York,No,No,67,No,No
New York,No,No,68,No,No
New York,No,No,66,No,No
New York,No,No,68,No,No
New York,No,No,68,Yes,No
New York,No,No,68,No,No
New York,No,No,70,No,No
New York,No,No,69,No,No
New York,No,No,67,No,No
New York,No,No,69,No,No
Brooklyn,Yes,No,59,Yes,Yes
New York,Yes,No,65,No,No
New York,No,No,67,No,No
New York,No,No,67,No,No
New York,No,No,66,No,No
New York,No,No,69,No,No
New York,No,No,68,No,No
New York,No,No,67,No,No
New York,No,No,69,No,No
New York,No,No,67,No,No
New York,No,No,66,No,No
New York,No,No,68,No,No
New York,No,No,65,No,No
New York,No,No,68,No,No
New York,No,No,69,No,No
New York,No,No,66,No,No
New York,No,No,69,No,No
New York,No,No,69,No,No
New York,No,No,68,No,No
New York,No,No,68,No,No
New York,No,No,65,No,No
New York,No,No,74,No,No
New York,No,No,67,No,No
New York,No,No,68,No,No
New York,No,No,68,No,No
New York,No,No,66,No,No
New York,No,No,66,No,No
New York,No,No,68,No,No
New York,No,No,68,No,No
New York,No,No,66,No,No
New York,No,No,68,No,No
New York,No,No,65,No,No
New York,No,No,66,No,No
New York,Yes,No,66,No,No
New York,No,No,66,No,No
New York,No,No,68,No,No
New York,No,No,67,No,No
New York,No,No,68,No,No
New York,No,No,66,No,No
New York,No,No,71,No,No
New York,No,No,67,No,No
New York,No,No,68,No,No
New York,No,No,68,No,No
New York,No,No,66,No,No
New York,No,No,69,No,No
New York,No,No,66,No,No
New York,No,No,69,No,No
New York,No,No,68,No,No
New York,Yes,No,67,No,No
New York,No,No,68,Yes,No
New York,No,No,68,No,No
New York,No,No,69,No,No
New York,No,No,68,No,No
New York,No,No,68,No,No
New York,No,No,68,No,No
New York,No,No,68,No,No
New York,No,No,69,No,No
New York,No,No,69,No,No
New York,No,No,68,No,No
New York,No,No,67,No,No
New York,No,No,68,No,No
New York,No,No,65,No,No
New York,No,No,68,No,No
New York,No,No,68,No,No
New York,No,No,66,No,No
New York,No,No,68,No,No
New York,No,No,67,No,No
New York,No,No,68,No,No
New York,No,No,65,No,No
New York,No,No,65,No,No
New York,No,No,68,No,No
New York,No,No,66,No,No
New York,No,No,68,No,No
New York,No,No,69,No,No
New York,No,No,68,No,No
New York,No,No,67,No,No
New York,No,No,70,No,No
New York,No,No,66,No,No
New York,No,No,76,No,No
New York,No,No,69,No,No
New York,No,No,67,No,No
New York,No,No,68,No,No
