wire_2_nd,spc_latin,state,sidw_raise,cncldist,nta_name,status,pit_type
No,PLATANUS ACERIFOLIA,New York,No,46,Georgetown-Marine Park-Bergen Beach-Mill Basin,Good,Sidewalk Pit
No,ACER RUBRUM,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,ZELKOVA SERRATA,New York,No,8,East Harlem North,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,8,East Harlem North,Good,Sidewalk Pit
No,QUERCUS RUBRA,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,GINKGO BILOBA,New York,No,8,East Harlem South,Poor,Sidewalk Pit
No,QUERCUS PALUSTRIS,New York,No,8,East Harlem South,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,1,Lower East Side,Good,Sidewalk Pit
No,QUERCUS PALUSTRIS,New York,No,1,Lower East Side,Poor,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,3,Clinton,Good,Sidewalk Pit
No,GINKGO BILOBA,New York,Yes,8,East Harlem North,Poor,Sidewalk Pit
No,ACER RUBRUM,New York,No,8,East Harlem South,Excellent,Sidewalk Pit
No,TILIA CORDATA,New York,No,6,Upper West Side,Excellent,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,8,East Harlem North,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,1,SoHo-TriBeCa-Civic Center-Little Italy,Excellent,Sidewalk Pit
No,ULMUS AMERICANA,New York,No,8,East Harlem North,Good,Sidewalk Pit
No,GINKGO BILOBA,New York,No,8,East Harlem South,Good,Sidewalk Pit
No,ACER RUBRUM,New York,No,9,Central Harlem South,Good,Sidewalk Pit
No,POPLAR SPECIES,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,1,Battery Park City-Lower Manhattan,Good,Sidewalk Pit
No,ACER RUBRUM,New York,No,7,Hamilton Heights,Good,Sidewalk Pit
No,POPLAR SPECIES,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,8,East Harlem South,Good,Sidewalk Pit
No,POPLAR SPECIES,New York,No,6,Upper West Side,Good,Sidewalk Pit
No,GLEDITSIA TRIACANTHOS,New York,No,6,Upper West Side,Good,Sidewalk Pit
