soil_lvl,latitude,inf_guard,horz_grate,vert_other,longitude,cb_num
Level,40.6196935996,No,No,No,-73.9010031077,318
Level,40.7898697977,No,No,No,-73.9722289471,107
Level,40.7959686243,No,No,No,-73.9324765654,111
Above,40.7962208009,No,No,No,-73.9319020547,111
Level,40.7882741392,No,No,No,-73.9684630962,107
Level,40.7859531622,No,No,No,-73.9427350487,111
Level,40.7919234485,No,No,No,-73.9383709148,111
Below,40.7189753422,No,No,Yes,-73.9846898598,103
Above,40.7194970692,No,No,No,-73.9864610259,103
Below,40.7640258059,No,No,No,-73.9940977826,104
Below,40.7954755552,No,No,No,-73.9341745296,111
Below,40.7904089586,No,No,No,-73.9395062809,111
Level,40.7885665487,No,No,No,-73.974381796,107
Level,40.7958410971,No,No,No,-73.9350445741,111
Level,40.7152127466,No,No,No,-74.0112294476,101
Level,40.7944761232,No,No,No,-73.9335651623,111
Level,40.7911140691,No,No,No,-73.9389639318,111
Below,40.8080041216,No,No,No,-73.9546366823,110
Above,40.7895804093,No,No,No,-73.9676607682,107
Level,40.7057430856,No,No,No,-74.0133810902,101
Level,40.8330571783,No,No,No,-73.9465249923,109
Above,40.7895804093,No,No,No,-73.9676607682,107
Level,40.7859531622,No,No,Yes,-73.9427350487,111
Level,40.7891030631,No,No,No,-73.9685168726,107
Above,40.7814620641,No,No,No,-73.9832528121,107
Above,40.7869111971,No,No,No,-73.9731618609,107
Above,40.8027082622,No,No,No,-73.9585123744,110
Level,40.7194696114,No,No,Yes,-73.9863744516,103
Level,40.7961167758,No,No,No,-73.9323680655,111
Above,40.8037619936,No,No,No,-73.957839872,110
Above,40.7812150645,No,No,No,-73.9834334164,107
Below,40.7894785953,No,No,Yes,-73.9396985247,111
Level,40.8333421106,No,No,No,-73.9454189769,112
Level,40.7866565114,No,No,No,-73.9757511549,107
Level,40.789750697,No,No,No,-73.9680687632,107
Level,40.7325762798,No,No,No,-74.0090024965,102
Level,40.7158551976,No,No,No,-74.0092347139,101
Below,40.7944761232,No,No,No,-73.9335651623,111
Level,40.789240881,No,No,No,-73.9707233037,107
Level,40.7880624753,No,No,No,-73.9673148277,107
Level,40.7160169805,No,Yes,No,-74.0110347871,101
Above,40.7267793404,No,No,No,-73.9907998513,103
Level,40.7826311949,No,No,No,-73.9824039494,107
Below,40.7853310108,No,No,No,-73.9767482945,107
Level,40.7890508797,No,No,No,-73.9683941142,107
Level,40.7867244506,No,No,No,-73.9727141534,107
Level,40.7327108243,No,No,No,-74.0083133444,102
Above,40.7700612735,No,No,No,-73.9907758209,104
Below,40.8046894225,No,No,No,-73.9570590648,110
Level,40.7188572737,No,No,No,-73.9843616064,103
Level,40.7953184141,No,No,No,-73.9329756282,111
Level,40.7866565114,No,No,No,-73.9757511549,107
Level,40.8041104438,No,No,No,-73.9574856657,110
Level,40.7158551976,No,No,No,-74.0092347139,101
Level,40.7957338836,No,No,No,-73.9347449132,111
Above,40.7885048343,No,No,No,-73.9689685616,107
Level,40.7328674343,Yes,No,No,-74.0056937888,102
Level,40.7883345508,No,No,No,-73.968564182,107
Level,40.7970508279,No,No,No,-73.9338226355,111
Above,40.802859185,No,No,No,-73.9584075318,110
Level,40.7328921352,No,No,No,-74.0057298732,102
Level,40.7051526838,No,No,No,-74.0155882901,101
Level,40.7057430856,No,No,No,-74.0133810902,101
Level,40.7152127466,No,No,No,-74.0112294476,101
Level,40.7860833762,No,No,No,-73.9783296993,107
Above,40.7922600529,No,No,No,-73.9365323749,111
Level,40.7944761232,No,No,No,-73.9335651623,111
Level,40.7285216049,No,No,No,-73.9846479787,103
Below,40.7854917206,No,No,No,-73.9420818396,111
Level,40.7880624753,No,No,No,-73.9673148277,107
Above,40.8022253136,No,No,No,-73.9588558151,110
Level,40.7160087483,No,No,No,-74.0110131419,101
Level,40.7190249259,No,No,No,-73.9860859433,103
Above,40.7258157254,No,No,No,-73.988512609,103
Above,40.7160169805,No,Yes,No,-74.0110347871,101
Level,40.834992303,No,No,No,-73.9467474902,112
Level,40.7152127466,No,No,No,-74.0112294476,101
Level,40.7142025002,Yes,Yes,No,-74.0128958135,101
Level,40.7695396719,No,No,No,-73.9895881315,104
Level,40.7152127466,No,No,No,-74.0112294476,101
Level,40.7882494079,No,No,No,-73.9683583824,107
Above,40.7944843678,No,No,No,-73.9335832119,111
Level,40.794109096,No,No,No,-73.9349090253,111
Level,40.7922600529,No,No,No,-73.9365323749,111
Level,40.7832120918,No,No,No,-73.9446151051,111
Level,40.7717849785,No,No,No,-73.9908838921,104
Above,40.7867333577,No,No,No,-73.9757222378,107
Level,40.7152127466,No,No,No,-74.0112294476,101
Level,40.6160933167,No,No,No,-73.9020385956,318
Below,40.7962647527,No,No,No,-73.931963408,111
Level,40.7161432766,No,No,No,-74.010638003,101
Level,40.7142025002,No,No,No,-74.0128958135,101
Level,40.7327329455,No,No,No,-74.0056143954,102
Level,40.7107409988,No,No,No,-73.9842408717,103
Level,40.7163355344,No,No,No,-74.0091987072,101
Above,40.7885405381,No,No,No,-73.9690516035,107
Level,40.7759095133,No,No,No,-73.9836008219,107
Below,40.7919234485,No,No,No,-73.9383709148,111
Level,40.7142328526,No,No,No,-74.0113771784,101
Above,40.728933278,No,No,Yes,-73.984348419,103
Level,40.7326890307,No,No,No,-74.0055891342,102
Level,40.7963428637,No,No,No,-73.934130332,111
Level,40.7958808451,No,No,Yes,-73.9325669454,111
Level,40.7266942403,No,No,No,-73.9906411159,103
Level,40.7849846212,No,No,No,-73.9434436485,111
Level,40.7894785953,No,No,No,-73.9396985247,111
Above,40.8333421106,No,No,No,-73.9454189769,112
Level,40.7883455474,No,No,No,-73.968629179,107
Level,40.7831983716,No,No,No,-73.9446223384,108
Level,40.7865110681,No,No,No,-73.9758812086,107
Level,40.7060093547,No,No,No,-74.0131503092,101
Level,40.834992303,No,No,No,-73.9467474902,112
Level,40.7944761232,No,No,No,-73.9335651623,111
