property_id,property_name,data_center_gross_floor_area,estimated_data_flag,hospital_general_medical_11,indirect_ghg_emissions_metric,office_number_of_workers,outdoor_water_use_all_water,hotel_gross_floor_area_ft,annual_maximum_demand_kw,medical_office_percent_that,multifamily_housing_number_1,temporary_values,other_number_of_workers_on,office_number_of_computers,supermarket_grocery_open,multifamily_housing_total,hospital_general_medical_8,refrigerated_warehouse_gross,senior_care_community_gross,data_center_it_energy,retail_store_gross_floor,district_chilled_water_use,data_quality_checker_run,alert_energy_meter_has_less,data_center_cooling_equipment,hospital_general_medical_6,egrid_output_emissions_rate,data_center_pue,natural_gas_use_kbtu,fuel_oil_2_use_kbtu,alert_property_has_no_uses,retail_store_number_of_open,restaurant_gross_floor_area,hospital_general_medical_2,parking_open_parking_lot,national_median_source_eui,hospital_general_medical_10,estimated_data_flag_1,medical_office_percent_that_1,primary_property_type_self,percent_of_recs_retained,office_worker_density_number,restaurant_worker_density,green_power_offsite_kwh,year_ending,retail_store_number_of_walk,movie_theater_gross_floor,hospital_general_medical_9,electricity_use_generated,hospital_general_medical_7,alert_energy_meter_has,medical_office_number_of,indoor_water_use_intensity,occupancy,multifamily_housing_gross,property_gfa_self_reported,third_party_certification_1
6151465,85 Broad Street,,No,,5100.2,5585.0,,,,,,No,,2360.0,,,,,,,,,No,Ok,,,88.7,,,,Ok,,14785.0,,,261.3,,,,Office,,4.79311,2.02908,0.0,2017-12-31T00:00:00.000,,,,,,Ok,,19.59,85,,1180000,
2664118,Sovereign - 425 East 58th Street,,No,,2633.0,,,,,100.0,360.0,No,,,,360.0,,,,,2790.0,,No,Ok,,,88.7,,86424630.4,2559996.7,Ok,0.0,,,0.0,127.9,,,100.0,Multifamily Housing,,,,0.0,2017-12-31T00:00:00.000,0.0,,,,,Ok,,51.65,100,903532.0,915329,
3524382,1701 W 3rd Street LLC,,No,,29.6,,,,,,0.0,No,,,,107.0,,,,,,,No,Ok,,,88.7,,8611425.0,,Ok,,,,,115.1,,,,Multifamily Housing,,,,0.0,2017-12-31T00:00:00.000,,,,,,Ok,,47.98,100,121680.0,121680,
5793733,The Jefferson Condominium,,No,,211.4,,,,71200.0,,,No,,,,83.0,,,,,,,Yes,Ok,,,88.7,,1282800.0,,Ok,,,,,117.7,,,,Multifamily Housing,,,,0.0,2017-12-31T00:00:00.000,,,,,,Ok,,29.37,90,91682.0,91682,
2941942,Melohn Foundation,,No,,0.0,,,,,,,No,,,,64.6,,,,,,,Yes,Ok,,,88.7,,,,Ok,,,,,115.1,,,,Multifamily Housing,,,,,2017-12-31T00:00:00.000,,,,,,Ok,,,100,53837.0,53837,
2703161,40 West 37th,,Yes,,137.1,143.48,,,,,,No,,176.34,,,,,,,7300.0,,Yes,Ok,,,88.7,,1309.1,1650341.9,Ok,1.0,,,,220.5,,,,Office,,3.02343,,0.0,2017-12-31T00:00:00.000,0.0,,,,,Ok,,6.92,100,,54756,
6222514,Two Waltons 2240 Walton Ave,,No,,90.0,,,,,,,No,,,,31.0,,,,,,,No,Ok,,,88.7,,2857532.4,,Ok,,,,,124.5,,,,Multifamily Housing,,,,0.0,2017-12-31T00:00:00.000,,,,,,Ok,,,100,45915.0,45915,
2947162,Brooklyn Excelsior Charter School,,No,,185.7,,,,,,,No,,,,,,,,,,,Yes,Ok,,,88.7,,2005898.4,,Ok,,,,,166.1,,,,K-12 School,,,,0.0,2017-12-31T00:00:00.000,,,,,,Ok,,8.01,100,,55627,
4041531,210 Amsterdam Avenue - 40508,,No,,438.0,,,,,,233.0,No,,,,233.0,,,,,6000.0,,Yes,Ok,,,88.7,,17237263.6,,Ok,0.0,3000.0,,,170.7,,,,Multifamily Housing,,,1.0,0.0,2017-12-31T00:00:00.000,0.0,,,,,Ok,,77.87,100,155000.0,165000,
6245205,209 (211) East 43rd Street,,No,,539.5,407.0,,,,,,No,,354.0,,,,,,,,,Yes,Ok,,,88.7,,2496263.6,,Ok,,,,,250.5,,,,Office,,2.29944,,0.0,2017-12-31T00:00:00.000,,,,,,Ok,,,100,,177000,
